    -0.975     1.411    -0.806     0.812    -0.080     0.002     0.997     0.001     0.000     0.000     0.000     2.000
    -0.099    -0.197     0.252    -0.820     0.776     0.003     0.076     0.918     0.002     0.001     0.000     3.000
    -0.318    -1.537     0.516    -1.859    -0.080     0.002     0.001     0.998     0.000     0.000     0.000     3.000
    -0.975    -1.068     0.516    -0.375    -1.506     0.262     0.189     0.549     0.000     0.000     0.000     3.000
    -1.413     0.138    -0.806     1.554     1.062     0.005     0.994     0.001     0.000     0.000     0.000     2.000
    -0.099    -1.403    -0.542     0.070    -0.080     0.612     0.173     0.214     0.000     0.000     0.000     1.000
    -0.756    -0.398     1.045    -3.046    -0.650     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     0.996     0.741     0.516     0.070     1.347     0.002     0.346     0.397     0.127     0.129     0.000     3.000
    -1.194     0.942    -0.013     1.554    -1.221     0.008     0.992     0.000     0.000     0.000     0.000     2.000
    -0.756     0.473    -0.013     0.812    -0.365     0.016     0.974     0.010     0.000     0.000     0.000     2.000
    -0.099    -0.264    -0.806     0.515     0.491     0.125     0.824     0.051     0.000     0.000     0.000     2.000
     0.120    -0.532     0.252    -0.227    -1.221     0.300     0.244     0.456     0.000     0.001     0.000     3.000
     1.215    -1.336    -0.013    -0.672    -0.365     0.190     0.014     0.766     0.000     0.029     0.000     3.000
    -0.537    -0.197     1.839    -0.969     0.491     0.000     0.011     0.978     0.010     0.000     0.000     3.000
     0.558     0.942     0.516     0.515     0.491     0.005     0.878     0.101     0.003     0.013     0.000     2.000
     1.215    -0.465    -1.600     0.218    -0.080     0.801     0.159     0.028     0.000     0.012     0.000     1.000
     0.339     0.808    -0.277     1.405    -0.365     0.028     0.970     0.002     0.000     0.000     0.000     2.000
     0.120    -1.671    -1.071     0.515    -1.791     0.989     0.010     0.001     0.000     0.000     0.000     1.000
    -0.537     1.411    -0.013     0.367     0.776     0.001     0.979     0.020     0.000     0.000     0.000     2.000
     0.120     0.808     1.045    -1.562     1.632     0.000     0.007     0.857     0.134     0.001     0.000     3.000
    -0.099    -0.331     0.781     0.664    -0.936     0.143     0.717     0.140     0.000     0.001     0.000     2.000
    -0.756    -0.264    -1.335     0.218    -0.080     0.206     0.769     0.026     0.000     0.000     0.000     2.000
     1.653     0.406     0.781    -0.672    -0.650     0.010     0.036     0.643     0.001     0.311     0.000     3.000
     0.996    -1.001     0.516    -1.265     0.776     0.002     0.002     0.983     0.003     0.011     0.000     3.000
