    -0.975     1.411    -0.806     0.812    -0.080     0.003     0.995     0.002     0.000     2.000
    -0.099    -0.197     0.252    -0.820     0.776     0.002     0.089     0.908     0.000     3.000
    -0.318    -1.537     0.516    -1.859    -0.080     0.002     0.001     0.997     0.000     3.000
    -0.975    -1.068     0.516    -0.375    -1.506     0.199     0.209     0.592     0.000     3.000
    -1.413     0.138    -0.806     1.554     1.062     0.008     0.991     0.001     0.000     2.000
    -0.099    -1.403    -0.542     0.070    -0.080     0.532     0.223     0.244     0.000     1.000
    -0.756    -0.398     1.045    -3.046    -0.650     0.000     0.000     1.000     0.000     3.000
     0.996     0.741     0.516     0.070     1.347     0.001     0.447     0.527     0.025     3.000
    -1.194     0.942    -0.013     1.554    -1.221     0.008     0.991     0.001     0.000     2.000
    -0.756     0.473    -0.013     0.812    -0.365     0.014     0.970     0.016     0.000     2.000
    -0.099    -0.264    -0.806     0.515     0.491     0.103     0.837     0.060     0.000     2.000
     0.120    -0.532     0.252    -0.227    -1.221     0.184     0.304     0.511     0.000     3.000
     1.215    -1.336    -0.013    -0.672    -0.365     0.118     0.026     0.855     0.000     3.000
    -0.537    -0.197     1.839    -0.969     0.491     0.000     0.012     0.987     0.001     3.000
     0.558     0.942     0.516     0.515     0.491     0.002     0.870     0.128     0.000     2.000
     1.215    -0.465    -1.600     0.218    -0.080     0.704     0.259     0.037     0.000     1.000
     0.339     0.808    -0.277     1.405    -0.365     0.017     0.979     0.003     0.000     2.000
     0.120    -1.671    -1.071     0.515    -1.791     0.983     0.015     0.002     0.000     1.000
    -0.537     1.411    -0.013     0.367     0.776     0.001     0.970     0.030     0.000     2.000
     0.120     0.808     1.045    -1.562     1.632     0.000     0.010     0.970     0.020     3.000
    -0.099    -0.331     0.781     0.664    -0.936     0.074     0.744     0.182     0.000     2.000
    -0.756    -0.264    -1.335     0.218    -0.080     0.230     0.741     0.029     0.000     2.000
     1.653     0.406     0.781    -0.672    -0.650     0.005     0.073     0.922     0.000     3.000
     0.996    -1.001     0.516    -1.265     0.776     0.001     0.004     0.995     0.000     3.000
    -0.318     1.478     0.252    -0.227    -0.936     0.003     0.897     0.099     0.000     2.000
    -2.509     1.747    -0.277     0.218     1.632     0.000     0.993     0.007     0.000     2.000
    -0.099     0.741    -0.542     0.960     0.776     0.006     0.984     0.010     0.000     2.000
     0.339    -1.202    -1.071    -1.117     0.206     0.198     0.051     0.751     0.000     3.000
    -1.632    -1.068    -0.806     0.812    -0.936     0.543     0.449     0.008     0.000     1.000
     1.434     0.004     0.252    -0.078    -0.080     0.034     0.288     0.677     0.000     3.000
    -1.632     1.680    -0.277     1.702     0.491     0.000     1.000     0.000     0.000     2.000
    -1.194     1.210     1.574    -1.414     0.206     0.000     0.054     0.946     0.000     3.000
     0.120     0.138     1.045     0.812     1.632     0.001     0.615     0.268     0.116     2.000
    -0.099     1.277     0.516     0.070    -0.080     0.001     0.865     0.133     0.000     2.000
    -0.318     0.674     1.045    -0.078    -0.365     0.002     0.571     0.426     0.000     2.000
     1.434    -0.063    -0.806    -1.710    -0.650     0.039     0.026     0.936     0.000     3.000
    -0.318    -0.398     0.516    -0.820     0.206     0.004     0.073     0.923     0.000     3.000
     1.215     1.344     1.310    -0.820     3.915     0.000     0.000     0.001     0.999     4.000
    -1.413     1.948     0.252    -0.672     1.062     0.000     0.829     0.171     0.000     2.000
    -0.756    -1.470     2.897    -1.562     0.206     0.000     0.000     0.999     0.000     3.000
    -0.537     0.071    -0.542    -0.375    -0.365     0.070     0.683     0.246     0.000     2.000
    -1.194     1.076    -0.542    -1.414     0.206     0.002     0.446     0.552     0.000     3.000
    -0.537     1.009     0.781    -1.265     1.062     0.000     0.077     0.921     0.001     3.000
    -0.975     0.741     0.252    -0.672    -0.080     0.003     0.554     0.444     0.000     2.000
    -0.099     1.009     0.516    -0.672     0.491     0.001     0.343     0.656     0.000     3.000
    -0.099    -1.202    -1.335     1.702    -1.221     0.912     0.087     0.000     0.000     1.000
     0.558     0.674     3.426     0.070     1.918     0.000     0.000     0.007     0.992     4.000
     0.339     1.277    -1.071     0.812     0.776     0.005     0.990     0.005     0.000     2.000
     2.529     0.942     1.045    -0.523     0.776     0.000     0.045     0.931     0.024     3.000
    -0.099     1.948    -1.600     0.664    -0.080     0.005     0.995     0.001     0.000     2.000
     0.996     1.478     1.310     0.367    -0.936     0.002     0.804     0.194     0.000     2.000
    -0.318     0.942    -1.600     0.218     1.062     0.011     0.977     0.013     0.000     2.000
    -0.756     0.205    -0.806    -0.078    -0.936     0.134     0.812     0.054     0.000     2.000
