    -0.975     1.411    -0.806     0.812    -0.080     0.003     0.000     0.997     3.000
    -0.099    -0.197     0.252    -0.820     0.776     0.063     0.911     0.026     2.000
    -0.318    -1.537     0.516    -1.859    -0.080     0.165     0.834     0.001     2.000
    -0.975    -1.068     0.516    -0.375    -1.506     0.318     0.440     0.242     2.000
    -1.413     0.138    -0.806     1.554     1.062     0.019     0.000     0.981     3.000
    -0.099    -1.403    -0.542     0.070    -0.080     0.211     0.028     0.761     3.000
    -0.756    -0.398     1.045    -3.046    -0.650     0.944     0.056     0.000     1.000
     0.996     0.741     0.516     0.070     1.347     0.541     0.205     0.254     1.000
    -1.194     0.942    -0.013     1.554    -1.221     0.007     0.000     0.993     3.000
    -0.756     0.473    -0.013     0.812    -0.365     0.010     0.001     0.989     3.000
    -0.099    -0.264    -0.806     0.515     0.491     0.058     0.001     0.942     3.000
     0.120    -0.532     0.252    -0.227    -1.221     0.287     0.302     0.411     3.000
     1.215    -1.336    -0.013    -0.672    -0.365     0.792     0.153     0.055     1.000
    -0.537    -0.197     1.839    -0.969     0.491     0.315     0.681     0.004     2.000
     0.558     0.942     0.516     0.515     0.491     0.100     0.040     0.860     3.000
     1.215    -0.465    -1.600     0.218    -0.080     0.558     0.000     0.442     1.000
     0.339     0.808    -0.277     1.405    -0.365     0.016     0.000     0.984     3.000
     0.120    -1.671    -1.071     0.515    -1.791     0.520     0.000     0.480     1.000
    -0.537     1.411    -0.013     0.367     0.776     0.019     0.027     0.955     3.000
     0.120     0.808     1.045    -1.562     1.632     0.138     0.862     0.000     2.000
    -0.099    -0.331     0.781     0.664    -0.936     0.145     0.019     0.836     3.000
    -0.756    -0.264    -1.335     0.218    -0.080     0.049     0.000     0.951     3.000
     1.653     0.406     0.781    -0.672    -0.650     0.832     0.127     0.041     1.000
     0.996    -1.001     0.516    -1.265     0.776     0.407     0.591     0.002     2.000
    -0.318     1.478     0.252    -0.227    -0.936     0.040     0.249     0.711     3.000
    -2.509     1.747    -0.277     0.218     1.632     0.046     0.002     0.952     3.000
    -0.099     0.741    -0.542     0.960     0.776     0.021     0.000     0.979     3.000
     0.339    -1.202    -1.071    -1.117     0.206     0.904     0.028     0.068     1.000
    -1.632    -1.068    -0.806     0.812    -0.936     0.030     0.000     0.970     3.000
     1.434     0.004     0.252    -0.078    -0.080     0.586     0.068     0.346     1.000
    -1.632     1.680    -0.277     1.702     0.491     0.003     0.000     0.997     3.000
    -1.194     1.210     1.574    -1.414     0.206     0.110     0.885     0.005     2.000
     0.120     0.138     1.045     0.812     1.632     0.623     0.030     0.347     1.000
    -0.099     1.277     0.516     0.070    -0.080     0.038     0.236     0.726     3.000
    -0.318     0.674     1.045    -0.078    -0.365     0.092     0.537     0.371     2.000
     1.434    -0.063    -0.806    -1.710    -0.650     0.991     0.004     0.004     1.000
    -0.318    -0.398     0.516    -0.820     0.206     0.043     0.935     0.022     2.000
     1.215     1.344     1.310    -0.820     3.915     0.999     0.001     0.000     1.000
    -1.413     1.948     0.252    -0.672     1.062     0.034     0.752     0.214     2.000
    -0.756    -1.470     2.897    -1.562     0.206     0.999     0.001     0.000     1.000
    -0.537     0.071    -0.542    -0.375    -0.365     0.083     0.082     0.835     3.000
    -1.194     1.076    -0.542    -1.414     0.206     0.206     0.571     0.223     2.000
    -0.537     1.009     0.781    -1.265     1.062     0.026     0.971     0.003     2.000
    -0.975     0.741     0.252    -0.672    -0.080     0.031     0.764     0.205     2.000
    -0.099     1.009     0.516    -0.672     0.491     0.030     0.914     0.055     2.000
    -0.099    -1.202    -1.335     1.702    -1.221     0.135     0.000     0.865     3.000
     0.558     0.674     3.426     0.070     1.918     1.000     0.000     0.000     1.000
     0.339     1.277    -1.071     0.812     0.776     0.032     0.000     0.968     3.000
     2.529     0.942     1.045    -0.523     0.776     0.993     0.003     0.004     1.000
    -0.099     1.948    -1.600     0.664    -0.080     0.012     0.000     0.988     3.000
     0.996     1.478     1.310     0.367    -0.936     0.475     0.025     0.499     3.000
    -0.318     0.942    -1.600     0.218     1.062     0.101     0.000     0.899     3.000
    -0.756     0.205    -0.806    -0.078    -0.936     0.047     0.004     0.950     3.000
     0.339    -1.604     1.574    -0.820     0.491     0.485     0.513     0.002     2.000
    -0.537     0.205     0.252    -0.523    -0.650     0.063     0.662     0.274     2.000
    -0.756     1.009     0.781    -1.562    -0.936     0.063     0.931     0.007     2.000
    -0.537     0.473    -2.658    -0.227    -1.221     0.650     0.000     0.350     1.000
    -2.509     0.205    -0.542     0.515    -1.506     0.023     0.000     0.977     3.000
    -0.099    -2.408     0.781    -1.117     1.632     0.277     0.722     0.000     2.000
    -0.099     0.272    -0.806     1.109     0.206     0.017     0.000     0.983     3.000
    -0.099    -0.264     0.516    -0.227    -1.506     0.298     0.356     0.347     2.000
    -0.318     0.607     0.516     0.664    -0.936     0.035     0.008     0.957     3.000
     0.558     1.411     1.310    -1.414     0.776     0.155     0.844     0.002     2.000
    -0.756     0.674    -1.600     1.702     0.491     0.017     0.000     0.983     3.000
    -1.852     0.473    -0.542     1.109    -1.791     0.016     0.000     0.984     3.000
    -1.194     1.076    -0.013     0.812     0.776     0.010     0.001     0.989     3.000
    -0.537    -0.264     0.252    -2.007    -0.936     0.268     0.729     0.002     2.000
     0.558     0.473     1.574    -2.452     0.776     0.869     0.131     0.000     1.000
    -0.099     0.339     0.516    -0.375    -0.650     0.080     0.664     0.256     2.000
     0.120     1.076    -1.864     1.702    -1.506     0.069     0.000     0.931     3.000
