    -0.975     1.411    -0.806     0.812    -0.080     0.005     0.995     2.000
    -0.099    -0.197     0.252    -0.820     0.776     0.905     0.095     1.000
    -0.318    -1.537     0.516    -1.859    -0.080     0.995     0.005     1.000
    -0.975    -1.068     0.516    -0.375    -1.506     0.480     0.520     2.000
    -1.413     0.138    -0.806     1.554     1.062     0.002     0.998     2.000
    -0.099    -1.403    -0.542     0.070    -0.080     0.234     0.766     2.000
    -0.756    -0.398     1.045    -3.046    -0.650     1.000     0.000     1.000
     0.996     0.741     0.516     0.070     1.347     0.677     0.323     1.000
    -1.194     0.942    -0.013     1.554    -1.221     0.001     0.999     2.000
    -0.756     0.473    -0.013     0.812    -0.365     0.020     0.980     2.000
    -0.099    -0.264    -0.806     0.515     0.491     0.051     0.949     2.000
     0.120    -0.532     0.252    -0.227    -1.221     0.429     0.571     2.000
     1.215    -1.336    -0.013    -0.672    -0.365     0.889     0.111     1.000
    -0.537    -0.197     1.839    -0.969     0.491     0.987     0.013     1.000
     0.558     0.942     0.516     0.515     0.491     0.210     0.790     2.000
     1.215    -0.465    -1.600     0.218    -0.080     0.063     0.937     2.000
     0.339     0.808    -0.277     1.405    -0.365     0.005     0.995     2.000
     0.120    -1.671    -1.071     0.515    -1.791     0.020     0.980     2.000
    -0.537     1.411    -0.013     0.367     0.776     0.091     0.909     2.000
     0.120     0.808     1.045    -1.562     1.632     0.996     0.004     1.000
    -0.099    -0.331     0.781     0.664    -0.936     0.117     0.883     2.000
    -0.756    -0.264    -1.335     0.218    -0.080     0.028     0.972     2.000
     1.653     0.406     0.781    -0.672    -0.650     0.918     0.082     1.000
     0.996    -1.001     0.516    -1.265     0.776     0.992     0.008     1.000
    -0.318     1.478     0.252    -0.227    -0.936     0.216     0.784     2.000
    -2.509     1.747    -0.277     0.218     1.632     0.047     0.953     2.000
    -0.099     0.741    -0.542     0.960     0.776     0.017     0.983     2.000
     0.339    -1.202    -1.071    -1.117     0.206     0.838     0.162     1.000
    -1.632    -1.068    -0.806     0.812    -0.936     0.006     0.994     2.000
     1.434     0.004     0.252    -0.078    -0.080     0.625     0.375     1.000
    -1.632     1.680    -0.277     1.702     0.491     0.001     0.999     2.000
    -1.194     1.210     1.574    -1.414     0.206     0.982     0.018     1.000
     0.120     0.138     1.045     0.812     1.632     0.353     0.647     2.000
    -0.099     1.277     0.516     0.070    -0.080     0.269     0.731     2.000
    -0.318     0.674     1.045    -0.078    -0.365     0.524     0.476     1.000
     1.434    -0.063    -0.806    -1.710    -0.650     0.960     0.040     1.000
    -0.318    -0.398     0.516    -0.820     0.206     0.903     0.097     1.000
     1.215     1.344     1.310    -0.820     3.915     0.996     0.004     1.000
    -1.413     1.948     0.252    -0.672     1.062     0.571     0.429     1.000
    -0.756    -1.470     2.897    -1.562     0.206     1.000     0.000     1.000
    -0.537     0.071    -0.542    -0.375    -0.365     0.253     0.747     2.000
    -1.194     1.076    -0.542    -1.414     0.206     0.774     0.226     1.000
    -0.537     1.009     0.781    -1.265     1.062     0.972     0.028     1.000
    -0.975     0.741     0.252    -0.672    -0.080     0.599     0.401     1.000
    -0.099     1.009     0.516    -0.672     0.491     0.814     0.186     1.000
    -0.099    -1.202    -1.335     1.702    -1.221     0.001     0.999     2.000
     0.558     0.674     3.426     0.070     1.918     0.992     0.008     1.000
     0.339     1.277    -1.071     0.812     0.776     0.013     0.987     2.000
     2.529     0.942     1.045    -0.523     0.776     0.970     0.030     1.000
    -0.099     1.948    -1.600     0.664    -0.080     0.003     0.997     2.000
     0.996     1.478     1.310     0.367    -0.936     0.328     0.672     2.000
    -0.318     0.942    -1.600     0.218     1.062     0.029     0.971     2.000
    -0.756     0.205    -0.806    -0.078    -0.936     0.059     0.941     2.000
     0.339    -1.604     1.574    -0.820     0.491     0.991     0.009     1.000
    -0.537     0.205     0.252    -0.523    -0.650     0.537     0.463     1.000
    -0.756     1.009     0.781    -1.562    -0.936     0.953     0.047     1.000
    -0.537     0.473    -2.658    -0.227    -1.221     0.006     0.994     2.000
    -2.509     0.205    -0.542     0.515    -1.506     0.005     0.995     2.000
    -0.099    -2.408     0.781    -1.117     1.632     0.995     0.005     1.000
    -0.099     0.272    -0.806     1.109     0.206     0.007     0.993     2.000
    -0.099    -0.264     0.516    -0.227    -1.506     0.413     0.587     2.000
    -0.318     0.607     0.516     0.664    -0.936     0.050     0.950     2.000
     0.558     1.411     1.310    -1.414     0.776     0.993     0.007     1.000
    -0.756     0.674    -1.600     1.702     0.491     0.000     1.000     2.000
    -1.852     0.473    -0.542     1.109    -1.791     0.001     0.999     2.000
    -1.194     1.076    -0.013     0.812     0.776     0.023     0.977     2.000
    -0.537    -0.264     0.252    -2.007    -0.936     0.985     0.015     1.000
     0.558     0.473     1.574    -2.452     0.776     1.000     0.000     1.000
    -0.099     0.339     0.516    -0.375    -0.650     0.572     0.428     1.000
     0.120     1.076    -1.864     1.702    -1.506     0.000     1.000     2.000
     0.996    -2.073    -0.542    -3.046     0.491     1.000     0.000     1.000
    -1.194    -0.063    -4.510     0.515     0.206     0.000     1.000     2.000
    -0.099     0.339    -0.013    -1.117    -0.365     0.853     0.147     1.000
     0.120    -2.073     0.252    -0.672     0.206     0.924     0.076     1.000
    -0.099     0.339    -1.335     0.070    -0.365     0.038     0.962     2.000
     1.653     0.272     0.516     0.367    -0.936     0.298     0.702     2.000
     0.120    -0.130    -0.542     0.812    -0.936     0.015     0.985     2.000
    -0.318    -0.800    -0.277    -0.227    -0.650     0.315     0.685     2.000
     1.215     1.277    -0.806     0.812     1.062     0.034     0.966     2.000
     0.339    -0.197    -0.277     0.960    -1.221     0.014     0.986     2.000
     0.339     0.540    -0.013    -0.969    -0.936     0.763     0.237     1.000
     1.215    -0.465    -1.335    -0.969    -0.080     0.705     0.295     1.000
     0.120    -0.063    -0.013    -1.414     0.491     0.967     0.033     1.000
     0.996    -0.733    -0.277     0.515    -0.650     0.113     0.887     2.000
    -0.975     1.411    -0.277    -0.078    -1.221     0.051     0.949     2.000
     0.996     0.272    -0.542     0.367    -1.221     0.056     0.944     2.000
    -0.975     0.674    -0.013     0.218    -0.650     0.064     0.936     2.000
    -1.194     0.674    -0.542     0.515     1.062     0.036     0.964     2.000
    -0.537    -2.810    -0.013     0.664    -2.077     0.053     0.947     2.000
    -0.756     0.071    -0.806     1.702    -0.936     0.001     0.999     2.000
    -0.099     0.674    -0.806     0.218    -0.080     0.052     0.948     2.000
     0.120     1.344    -0.806     0.664    -0.080     0.014     0.986     2.000
    -0.537     0.071     0.516    -0.820    -0.650     0.797     0.203     1.000
    -0.756     0.339    -0.806     1.257     1.632     0.007     0.993     2.000
     1.434     0.272     1.574    -0.672     0.491     0.984     0.016     1.000
     1.215     0.205     2.103    -1.265    -0.936     0.996     0.004     1.000
    -0.318     0.339    -0.013     0.664    -0.365     0.040     0.960     2.000
     0.339    -1.269     1.574    -1.562     1.632     0.999     0.001     1.000
