    -0.975     1.411    -0.806     0.812    -0.080     0.001     0.002     0.996     0.000     0.000     3.000
    -0.099    -0.197     0.252    -0.820     0.776     0.910     0.004     0.084     0.001     0.000     1.000
    -0.318    -1.537     0.516    -1.859    -0.080     0.997     0.002     0.001     0.000     0.000     1.000
    -0.975    -1.068     0.516    -0.375    -1.506     0.555     0.241     0.204     0.000     0.000     1.000
    -1.413     0.138    -0.806     1.554     1.062     0.001     0.006     0.993     0.000     0.000     3.000
    -0.099    -1.403    -0.542     0.070    -0.080     0.210     0.620     0.169     0.000     0.000     2.000
    -0.756    -0.398     1.045    -3.046    -0.650     1.000     0.000     0.000     0.000     0.000     1.000
     0.996     0.741     0.516     0.070     1.347     0.453     0.003     0.369     0.130     0.046     1.000
    -1.194     0.942    -0.013     1.554    -1.221     0.000     0.007     0.992     0.000     0.000     3.000
    -0.756     0.473    -0.013     0.812    -0.365     0.012     0.016     0.972     0.000     0.000     3.000
    -0.099    -0.264    -0.806     0.515     0.491     0.054     0.139     0.807     0.000     0.000     3.000
     0.120    -0.532     0.252    -0.227    -1.221     0.465     0.282     0.252     0.001     0.000     1.000
     1.215    -1.336    -0.013    -0.672    -0.365     0.753     0.203     0.015     0.029     0.000     1.000
    -0.537    -0.197     1.839    -0.969     0.491     0.986     0.000     0.013     0.000     0.001     1.000
     0.558     0.942     0.516     0.515     0.491     0.114     0.005     0.867     0.013     0.001     3.000
     1.215    -0.465    -1.600     0.218    -0.080     0.028     0.813     0.149     0.011     0.000     2.000
     0.339     0.808    -0.277     1.405    -0.365     0.003     0.029     0.968     0.000     0.000     3.000
     0.120    -1.671    -1.071     0.515    -1.791     0.002     0.987     0.011     0.000     0.000     2.000
    -0.537     1.411    -0.013     0.367     0.776     0.021     0.001     0.978     0.000     0.000     3.000
     0.120     0.808     1.045    -1.562     1.632     0.968     0.000     0.010     0.001     0.021     1.000
    -0.099    -0.331     0.781     0.664    -0.936     0.158     0.133     0.709     0.001     0.000     3.000
    -0.756    -0.264    -1.335     0.218    -0.080     0.025     0.213     0.761     0.000     0.000     3.000
     1.653     0.406     0.781    -0.672    -0.650     0.642     0.010     0.037     0.310     0.000     1.000
     0.996    -1.001     0.516    -1.265     0.776     0.984     0.002     0.002     0.011     0.000     1.000
    -0.318     1.478     0.252    -0.227    -0.936     0.080     0.005     0.915     0.000     0.000     3.000
    -2.509     1.747    -0.277     0.218     1.632     0.003     0.000     0.997     0.000     0.000     3.000
    -0.099     0.741    -0.542     0.960     0.776     0.008     0.009     0.983     0.000     0.000     3.000
     0.339    -1.202    -1.071    -1.117     0.206     0.731     0.232     0.036     0.001     0.000     1.000
    -1.632    -1.068    -0.806     0.812    -0.936     0.007     0.449     0.544     0.000     0.000     3.000
     1.434     0.004     0.252    -0.078    -0.080     0.513     0.069     0.169     0.249     0.000     1.000
    -1.632     1.680    -0.277     1.702     0.491     0.000     0.000     1.000     0.000     0.000     3.000
    -1.194     1.210     1.574    -1.414     0.206     0.930     0.000     0.070     0.000     0.000     1.000
     0.120     0.138     1.045     0.812     1.632     0.229     0.002     0.614     0.005     0.149     3.000
    -0.099     1.277     0.516     0.070    -0.080     0.109     0.003     0.887     0.001     0.000     3.000
    -0.318     0.674     1.045    -0.078    -0.365     0.382     0.005     0.613     0.001     0.000     3.000
     1.434    -0.063    -0.806    -1.710    -0.650     0.875     0.059     0.015     0.051     0.000     1.000
    -0.318    -0.398     0.516    -0.820     0.206     0.923     0.007     0.070     0.000     0.000     1.000
     1.215     1.344     1.310    -0.820     3.915     0.000     0.000     0.000     0.000     1.000     5.000
    -1.413     1.948     0.252    -0.672     1.062     0.113     0.000     0.887     0.000     0.000     3.000
    -0.756    -1.470     2.897    -1.562     0.206     1.000     0.000     0.000     0.000     0.000     1.000
    -0.537     0.071    -0.542    -0.375    -0.365     0.228     0.083     0.689     0.000     0.000     3.000
    -1.194     1.076    -0.542    -1.414     0.206     0.498     0.002     0.500     0.000     0.000     3.000
    -0.537     1.009     0.781    -1.265     1.062     0.911     0.000     0.087     0.000     0.001     1.000
    -0.975     0.741     0.252    -0.672    -0.080     0.386     0.003     0.610     0.000     0.000     3.000
    -0.099     1.009     0.516    -0.672     0.491     0.630     0.001     0.367     0.002     0.000     1.000
    -0.099    -1.202    -1.335     1.702    -1.221     0.000     0.922     0.077     0.000     0.000     2.000
     0.558     0.674     3.426     0.070     1.918     0.006     0.000     0.000     0.000     0.994     5.000
     0.339     1.277    -1.071     0.812     0.776     0.004     0.008     0.988     0.001     0.000     3.000
     2.529     0.942     1.045    -0.523     0.776     0.044     0.000     0.001     0.950     0.004     4.000
    -0.099     1.948    -1.600     0.664    -0.080     0.001     0.005     0.995     0.000     0.000     3.000
     0.996     1.478     1.310     0.367    -0.936     0.169     0.005     0.758     0.067     0.000     3.000
    -0.318     0.942    -1.600     0.218     1.062     0.010     0.011     0.979     0.000     0.000     3.000
    -0.756     0.205    -0.806    -0.078    -0.936     0.046     0.130     0.824     0.000     0.000     3.000
     0.339    -1.604     1.574    -0.820     0.491     0.995     0.001     0.002     0.001     0.001     1.000
    -0.537     0.205     0.252    -0.523    -0.650     0.497     0.027     0.476     0.000     0.000     1.000
    -0.756     1.009     0.781    -1.562    -0.936     0.897     0.001     0.103     0.000     0.000     1.000
    -0.537     0.473    -2.658    -0.227    -1.221     0.003     0.502     0.496     0.000     0.000     2.000
    -2.509     0.205    -0.542     0.515    -1.506     0.002     0.026     0.972     0.000     0.000     3.000
    -0.099    -2.408     0.781    -1.117     1.632     0.996     0.001     0.001     0.000     0.002     1.000
    -0.099     0.272    -0.806     1.109     0.206     0.005     0.056     0.938     0.000     0.000     3.000
    -0.099    -0.264     0.516    -0.227    -1.506     0.468     0.177     0.355     0.001     0.000     1.000
    -0.318     0.607     0.516     0.664    -0.936     0.033     0.022     0.945     0.000     0.000     3.000
     0.558     1.411     1.310    -1.414     0.776     0.963     0.000     0.022     0.010     0.005     1.000
    -0.756     0.674    -1.600     1.702     0.491     0.000     0.016     0.984     0.000     0.000     3.000
    -1.852     0.473    -0.542     1.109    -1.791     0.001     0.034     0.965     0.000     0.000     3.000
    -1.194     1.076    -0.013     0.812     0.776     0.006     0.001     0.994     0.000     0.000     3.000
    -0.537    -0.264     0.252    -2.007    -0.936     0.987     0.003     0.009     0.000     0.000     1.000
     0.558     0.473     1.574    -2.452     0.776     0.998     0.000     0.000     0.001     0.001     1.000
    -0.099     0.339     0.516    -0.375    -0.650     0.535     0.023     0.441     0.001     0.000     1.000
     0.120     1.076    -1.864     1.702    -1.506     0.000     0.170     0.830     0.000     0.000     3.000
     0.996    -2.073    -0.542    -3.046     0.491     0.998     0.001     0.000     0.001     0.000     1.000
    -1.194    -0.063    -4.510     0.515     0.206     0.000     0.640     0.360     0.000     0.000     2.000
    -0.099     0.339    -0.013    -1.117    -0.365     0.828     0.012     0.159     0.001     0.000     1.000
     0.120    -2.073     0.252    -0.672     0.206     0.906     0.084     0.010     0.000     0.000     1.000
    -0.099     0.339    -1.335     0.070    -0.365     0.028     0.172     0.800     0.000     0.000     3.000
     1.653     0.272     0.516     0.367    -0.936     0.208     0.137     0.275     0.380     0.000     4.000
     0.120    -0.130    -0.542     0.812    -0.936     0.015     0.352     0.632     0.000     0.000     3.000
    -0.318    -0.800    -0.277    -0.227    -0.650     0.346     0.347     0.307     0.000     0.000     2.000
     1.215     1.277    -0.806     0.812     1.062     0.014     0.011     0.930     0.045     0.000     3.000
     0.339    -0.197    -0.277     0.960    -1.221     0.015     0.450     0.535     0.001     0.000     3.000
     0.339     0.540    -0.013    -0.969    -0.936     0.728     0.034     0.234     0.003     0.000     1.000
     1.215    -0.465    -1.335    -0.969    -0.080     0.488     0.406     0.071     0.035     0.000     1.000
     0.120    -0.063    -0.013    -1.414     0.491     0.969     0.003     0.028     0.001     0.000     1.000
     0.996    -0.733    -0.277     0.515    -0.650     0.086     0.704     0.197     0.013     0.000     2.000
    -0.975     1.411    -0.277    -0.078    -1.221     0.015     0.006     0.978     0.000     0.000     3.000
     0.996     0.272    -0.542     0.367    -1.221     0.045     0.456     0.488     0.011     0.000     3.000
    -0.975     0.674    -0.013     0.218    -0.650     0.032     0.012     0.955     0.000     0.000     3.000
    -1.194     0.674    -0.542     0.515     1.062     0.012     0.002     0.986     0.000     0.000     3.000
    -0.537    -2.810    -0.013     0.664    -2.077     0.004     0.992     0.004     0.000     0.000     2.000
    -0.756     0.071    -0.806     1.702    -0.936     0.000     0.119     0.881     0.000     0.000     3.000
    -0.099     0.674    -0.806     0.218    -0.080     0.031     0.039     0.930     0.000     0.000     3.000
     0.120     1.344    -0.806     0.664    -0.080     0.005     0.010     0.985     0.000     0.000     3.000
    -0.537     0.071     0.516    -0.820    -0.650     0.790     0.013     0.197     0.000     0.000     1.000
    -0.756     0.339    -0.806     1.257     1.632     0.003     0.005     0.992     0.000     0.000     3.000
     1.434     0.272     1.574    -0.672     0.491     0.810     0.000     0.011     0.170     0.010     1.000
     1.215     0.205     2.103    -1.265    -0.936     0.970     0.000     0.002     0.027     0.000     1.000
    -0.318     0.339    -0.013     0.664    -0.365     0.030     0.035     0.934     0.000     0.000     3.000
     0.339    -1.269     1.574    -1.562     1.632     0.983     0.000     0.000     0.001     0.016     1.000
     2.748     0.406    -0.277     0.515     1.062     0.005     0.002     0.006     0.986     0.000     4.000
    -0.756    -0.331    -0.542     0.515    -0.080     0.039     0.115     0.846     0.000     0.000     3.000
    -0.099     0.339    -1.071     1.702    -0.080     0.001     0.073     0.926     0.000     0.000     3.000
    -0.537     0.205     0.252     0.515     0.206     0.077     0.015     0.907     0.000     0.000     3.000
     1.215     0.004     0.516    -1.414     0.491     0.956     0.001     0.006     0.037     0.000     1.000
     1.653     0.071    -0.013    -0.672     0.206     0.605     0.022     0.044     0.328     0.000     1.000
    -0.537    -1.135    -2.129     0.664    -2.647     0.000     0.989     0.011     0.000     0.000     2.000
     1.653    -1.604    -2.129     0.515    -2.077     0.000     0.999     0.001     0.000     0.000     2.000
    -0.756     0.071    -0.013     0.070    -0.080     0.148     0.030     0.823     0.000     0.000     3.000
     0.120    -1.135    -0.542    -0.078    -2.933     0.008     0.976     0.016     0.000     0.000     2.000
    -0.756     0.339     0.781    -0.969    -1.221     0.787     0.008     0.205     0.000     0.000     1.000
    -0.099    -0.666     0.516    -0.969    -1.221     0.904     0.050     0.046     0.000     0.000     1.000
     0.558    -2.140     0.252    -0.969    -0.080     0.922     0.073     0.003     0.001     0.000     1.000
     2.748    -1.269    -1.864    -1.117    -1.791     0.012     0.926     0.000     0.061     0.000     2.000
    -0.537    -0.197    -0.013    -0.078     0.776     0.393     0.020     0.587     0.000     0.000     3.000
    -0.099    -0.264    -1.071     0.070    -0.080     0.080     0.295     0.625     0.000     0.000     3.000
     0.339     0.875    -0.542     0.812    -0.080     0.010     0.027     0.962     0.001     0.000     3.000
    -0.975    -0.197    -0.542     0.664     0.206     0.022     0.051     0.927     0.000     0.000     3.000
    -0.099    -0.733     1.045    -1.414    -0.365     0.993     0.002     0.005     0.000     0.000     1.000
    -1.413     1.210    -1.071     0.070    -0.936     0.004     0.009     0.987     0.000     0.000     3.000
     0.777    -0.599    -0.277    -1.710    -2.362     0.729     0.258     0.011     0.002     0.000     1.000
    -1.194     1.411    -0.277     1.702    -0.080     0.000     0.001     0.999     0.000     0.000     3.000
