         *         *         *    51.100         *         *    44.422     2.531    44.159     2.591     0.060     0.940     2.000
    41.740         *         *         *         *         *    43.426     2.743    43.162     2.720     0.053     0.947     2.000
    29.490    28.470    44.650    40.690    33.070    36.770    33.202     1.123    33.202     1.123     0.000     1.000     2.000
    57.010         *    61.700    66.540    71.670    68.140    57.232     3.023    57.679     2.950     0.859     0.141     1.000
    49.230    49.750    43.090    55.750    49.700    53.910    45.582     1.759    45.558     1.767     0.013     0.987     2.000
    50.820    54.040    58.290         *    55.550         *    50.338     1.927    49.200     2.274     0.303     0.697     2.000
         *         *         *    52.660    58.480         *    46.238     2.801    45.684     2.926     0.137     0.863     2.000
         *         *         *    54.750    57.160    59.320    47.273     2.473    45.831     2.793     0.288     0.712     2.000
         *         *         *    76.070    80.050    76.600    65.646     3.123    66.161     3.032     0.939     0.061     1.000
    48.760    44.890    52.990    59.620    65.490         *    47.236     3.838    47.311     3.789     0.096     0.904     2.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.894     2.824    64.906     2.821     0.996     0.004     1.000
    54.850         *    66.910    72.520    73.890    75.380    59.347     3.581    59.646     3.529     0.927     0.073     1.000
         *         *         *    64.450    68.460    70.550    56.258     2.899    57.360     2.681     0.809     0.191     1.000
         *         *         *    76.990    80.300    84.870    65.005     3.791    65.191     3.756     0.973     0.027     1.000
    54.220    52.140         *         *         *         *    51.016     2.747    50.320     2.846     0.352     0.648     2.000
         *         *         *    53.940         *         *    46.101     2.670    45.510     2.790     0.120     0.880     2.000
         *         *         *    64.140    69.440    69.870    56.293     2.951    57.520     2.716     0.788     0.212     1.000
    44.200    48.800         *         *         *         *    45.322     2.824    45.101     2.816     0.092     0.908     2.000
    39.440    43.630    50.990    52.130    50.540    45.200    42.349     1.896    42.284     1.909     0.021     0.979     2.000
         *         *         *    46.950    52.660    55.430    42.696     2.428    42.580     2.457     0.038     0.962     2.000
    48.870    58.050         *         *    61.060         *    51.044     2.655    49.668     2.967     0.349     0.651     2.000
         *         *         *    58.050    62.090         *    50.179     2.822    48.117     3.266     0.411     0.589     2.000
         *         *         *    49.880    67.890    68.710    47.723     3.835    47.723     3.835     0.001     0.999     2.000
         *         *         *    51.740         *    53.390    44.273     2.194    43.766     2.296     0.090     0.910     2.000
    52.480    49.330    60.970         *         *         *    50.342     3.165    50.037     3.152     0.191     0.809     2.000
    58.670    57.330    63.450    62.620    62.560    58.840    57.627     1.256    58.087     1.148     0.885     0.115     1.000
         *         *         *    58.640    62.430    66.950    50.772     2.922    53.018     2.434     0.508     0.492     1.000
    55.470         *         *         *         *         *    54.657     2.919    56.961     2.909     0.571     0.429     1.000
         *         *         *    56.720    67.270    67.600    49.926     3.547    49.229     3.675     0.196     0.804     2.000
    54.000    49.560         *         *         *         *    49.707     2.677    49.420     2.738     0.208     0.792     2.000
    56.300    69.560    67.830         *         *         *    61.587     3.269    62.218     3.188     0.868     0.132     1.000
         *         *         *    53.160         *         *    45.617     2.635    45.139     2.736     0.100     0.900     2.000
    37.100    34.860    28.660    43.670    37.900         *    35.269     1.276    35.269     1.276     0.000     1.000     2.000
    49.580         *         *    64.120         *         *    51.627     3.429    50.014     3.537     0.415     0.585     2.000
    47.050    48.070    42.290         *         *         *    44.259     2.185    44.246     2.196     0.013     0.987     2.000
         *         *         *    48.380    51.810    62.320    43.041     2.817    43.005     2.829     0.018     0.982     2.000
         *         *         *    61.750    68.500    69.760    54.188     3.170    55.817     2.857     0.670     0.330     1.000
         *         *         *    60.120    65.330    69.220    52.372     3.099    54.171     2.725     0.602     0.398     1.000
         *         *         *    60.540    58.090         *    49.494     2.532    47.643     2.962     0.277     0.723     2.000
         *         *         *    48.440    68.580    71.870    47.668     4.069    47.668     4.069     0.000     1.000     2.000
    37.950    38.360    56.990         *         *         *    41.743     3.217    41.742     3.216     0.001     0.999     2.000
    49.440    62.480    64.950    71.550    73.240    75.570    57.132     3.966    57.461     3.913     0.905     0.095     1.000
         *         *         *    35.720    67.940         *    43.906     3.548    43.906     3.548     0.000     1.000     2.000
         *         *         *    49.550    48.830    41.260    41.851     1.380    41.674     1.417     0.024     0.976     2.000
         *         *         *    70.280    72.040         *    60.143     3.007    60.954     2.849     0.881     0.119     1.000
    60.560    67.420    69.810    72.810    70.790    74.880    63.510     2.291    63.617     2.265     0.977     0.023     1.000
         *         *         *    53.070    50.900    55.830    44.115     2.245    43.679     2.351     0.081     0.919     2.000
         *         *         *    63.230    60.380         *    51.596     2.581    48.995     3.171     0.369     0.631     2.000
         *         *         *    57.440    52.230         *    45.564     2.363    45.176     2.460     0.056     0.944     2.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.813     3.265    54.842     2.813     0.531     0.469     1.000
         *         *         *    43.030    40.850    39.160    37.968     1.032    37.934     1.041     0.006     0.994     2.000
         *         *         *    60.820    71.230    67.880    52.949     3.519    51.270     3.806     0.340     0.660     2.000
         *         *         *    62.220    54.650    56.030    47.469     2.299    46.925     2.419     0.062     0.938     2.000
    45.970         *    62.210    61.220         *         *    50.386     3.509    49.115     3.659     0.335     0.665     2.000
         *         *         *    64.490    74.540    69.760    55.979     3.535    53.104     4.014     0.494     0.506     2.000
         *         *         *    52.610    58.360    57.530    46.347     2.581    45.527     2.752     0.179     0.821     2.000
         *         *         *    53.230         *         *    45.660     2.638    45.172     2.740     0.102     0.898     2.000
         *         *         *    60.400    63.120         *    51.991     2.734    54.573     2.182     0.535     0.465     1.000
         *         *         *    52.360         *    47.090    43.287     1.730    42.945     1.795     0.045     0.955     2.000
         *         *         *    41.110         *         *    39.416     1.890    39.409     1.893     0.003     0.997     2.000
    58.310    62.040    63.990    65.660    71.340    64.730    59.103     2.398    59.409     2.342     0.913     0.087     1.000
    48.380    43.040    65.570    68.470    80.570         *    50.426     5.769    50.427     5.769     0.000     1.000     2.000
         *         *         *    83.380    83.650    84.770    69.763     3.447    70.009     3.402     0.973     0.027     1.000
    41.080         *    61.940         *         *         *    47.083     3.666    46.558     3.624     0.107     0.893     2.000
    27.130         *    39.480         *         *         *    34.280     2.513    34.278     2.513     0.001     0.999     2.000
         *         *         *    69.570    71.190    66.340    60.202     2.349    62.035     2.006     0.788     0.212     1.000
         *    51.740    66.060    69.150         *         *    53.033     4.115    52.541     4.057     0.260     0.740     2.000
         *         *         *    59.880         *         *    50.496     2.849    48.335     3.206     0.364     0.636     2.000
         *         *         *    75.160    73.370         *    62.821     2.928    63.899     2.713     0.867     0.133     1.000
    64.270    70.910    73.380    79.330    80.970    82.220    66.536     3.527    66.557     3.523     0.995     0.005     1.000
         *         *         *    44.120         *    41.670    39.299     1.319    39.253     1.329     0.008     0.992     2.000
    56.590    62.410    65.240    71.140    72.140         *    58.947     3.392    59.085     3.365     0.954     0.046     1.000
    47.430    45.810    57.330    54.030    61.440    65.910    46.820     3.435    46.749     3.445     0.125     0.875     2.000
         *         *         *    62.850         *         *    53.079     2.913    56.198     2.445     0.517     0.483     1.000
    49.540    54.090    53.980    54.970    66.500         *    49.100     3.475    48.985     3.485     0.129     0.871     2.000
    45.910    38.080    34.930    31.150         *         *    38.266     0.520    38.266     0.520     0.000     1.000     2.000
         *         *         *    55.870    53.680    64.940    45.693     2.925    45.459     2.987     0.056     0.944     2.000
    71.990    75.240    77.850    81.310    79.760    76.200    72.235     1.915    72.249     1.912     0.998     0.002     1.000
