         *         *         *    41.070         *         *    40.038     1.387    40.943     0.367     0.010     0.001     0.371     0.617     4.000
    54.330    56.620    61.160    58.090         *    59.950    53.645     1.904    54.711     1.732     0.000     0.551     0.415     0.034     2.000
         *         *         *    51.560         *    43.160    45.620     0.698    47.152     0.252     0.004     0.005     0.233     0.758     4.000
         *         *         *    69.980         *    64.050    55.118     2.711    52.553     2.936     0.023     0.357     0.619     0.002     3.000
    26.140    31.320    42.620    44.380         *         *    32.296     3.871    32.286     3.969     0.050     0.001     0.808     0.141     3.000
         *         *         *    75.900    75.690    81.030    63.901     3.226    64.255     3.155     0.010     0.965     0.025     0.000     2.000
         *         *         *    60.900    63.180    70.820    51.514     3.188    49.890     3.544     0.004     0.479     0.515     0.002     3.000
    48.770    61.100    61.940    61.890         *         *    53.930     2.997    55.181     2.840     0.003     0.621     0.374     0.003     2.000
         *         *         *    52.570    53.590    50.780    44.969     1.975    43.068     2.506     0.001     0.075     0.676     0.248     3.000
         *         *         *    51.100         *         *    44.591     2.664    44.012     3.063     0.015     0.039     0.774     0.172     3.000
    41.740         *         *         *         *         *    43.302     2.849    43.461     3.319     0.036     0.045     0.694     0.225     3.000
    29.490    28.470    44.650    40.690    33.070    36.770    33.496     0.871    33.701     0.763     0.000     0.000     0.087     0.913     4.000
    57.010         *    61.700    66.540    71.670    68.140    57.225     3.005    57.534     2.987     0.000     0.853     0.147     0.000     2.000
    49.230    49.750    43.090    55.750    49.700    53.910    46.296     1.566    45.317     2.040     0.000     0.008     0.662     0.330     3.000
    50.820    54.040    58.290         *    55.550         *    50.133     2.045    49.312     2.410     0.000     0.172     0.708     0.121     3.000
         *         *         *    52.660    58.480         *    45.772     2.995    45.290     3.147     0.004     0.098     0.857     0.041     3.000
         *         *         *    54.750    57.160    59.320    46.354     2.739    45.398     2.978     0.001     0.185     0.776     0.038     3.000
         *         *         *    76.070    80.050    76.600    65.695     3.142    66.003     3.073     0.009     0.966     0.025     0.000     2.000
    48.760    44.890    52.990    59.620    65.490         *    47.425     3.743    47.446     3.717     0.000     0.082     0.917     0.001     3.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.814     2.864    64.818     2.864     0.000     0.996     0.004     0.000     2.000
    54.850         *    66.910    72.520    73.890    75.380    59.668     3.490    59.833     3.475     0.000     0.950     0.050     0.000     2.000
         *         *         *    64.450    68.460    70.550    55.847     2.987    56.904     2.806     0.006     0.775     0.219     0.000     2.000
         *         *         *    76.990    80.300    84.870    65.637     3.633    65.790     3.595     0.007     0.987     0.006     0.000     2.000
    54.220    52.140         *         *         *         *    51.319     2.542    50.859     2.844     0.002     0.300     0.592     0.106     3.000
         *         *         *    53.940         *         *    46.020     2.876    45.505     3.106     0.016     0.085     0.804     0.095     3.000
         *         *         *    64.140    69.440    69.870    55.916     3.024    57.075     2.833     0.007     0.756     0.236     0.000     2.000
    44.200    48.800         *         *         *         *    45.425     2.794    45.202     3.229     0.015     0.077     0.734     0.175     3.000
    39.440    43.630    50.990    52.130    50.540    45.200    42.906     1.752    41.494     2.261     0.000     0.019     0.498     0.483     3.000
         *         *         *    46.950    52.660    55.430    42.207     2.604    41.374     2.905     0.000     0.026     0.826     0.147     3.000
    48.870    58.050         *         *    61.060         *    50.773     2.750    49.827     2.957     0.000     0.282     0.706     0.012     3.000
         *         *         *    58.050    62.090         *    49.491     3.000    48.280     3.249     0.006     0.326     0.657     0.010     3.000
         *         *         *    49.880    67.890    68.710    46.925     4.178    47.898     3.779     0.093     0.001     0.906     0.000     3.000
         *         *         *    51.740         *    53.390    44.201     2.258    43.031     2.677     0.003     0.056     0.751     0.190     3.000
    52.480    49.330    60.970         *         *         *    50.652     2.987    50.336     3.050     0.003     0.183     0.773     0.041     3.000
    58.670    57.330    63.450    62.620    62.560    58.840    56.722     1.544    57.295     1.453     0.000     0.756     0.227     0.018     2.000
         *         *         *    58.640    62.430    66.950    50.158     3.072    48.722     3.375     0.003     0.406     0.586     0.004     3.000
    55.470         *         *         *         *         *    54.806     2.783    57.021     3.030     0.002     0.539     0.405     0.054     2.000
         *         *         *    56.720    67.270    67.600    49.893     3.537    49.702     3.527     0.021     0.160     0.818     0.001     3.000
