         *         *         *    45.480    42.420         *    39.181     1.382    39.181     1.382     1.000     1.000
    33.130    34.290         *    30.910    40.870         *    32.846     1.668    32.846     1.668     1.000     1.000
         *         *         *    63.480    65.020    64.320    53.865     2.611    53.865     2.611     1.000     1.000
    54.930         *         *         *         *         *    54.086     2.814    54.086     2.814     1.000     1.000
    46.930    42.970    53.630    65.350         *         *    46.721     3.976    46.721     3.976     1.000     1.000
    26.750         *         *         *         *         *    32.148     2.701    32.148     2.701     1.000     1.000
         *         *         *    76.340    79.140    74.980    63.779     3.238    63.779     3.238     1.000     1.000
         *         *         *    61.860         *    64.860    52.462     2.684    52.462     2.684     1.000     1.000
    41.690    42.920    65.820    64.900         *         *    47.234     4.750    47.234     4.750     1.000     1.000
         *         *         *    41.740    53.550    52.600    41.230     2.436    41.230     2.436     1.000     1.000
    48.570    64.170    64.350    69.030    70.270    82.070    55.070     4.373    55.070     4.373     1.000     1.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.979     2.437    45.979     2.437     1.000     1.000
         *         *         *    49.290    45.110    49.820    41.524     1.569    41.524     1.569     1.000     1.000
         *         *         *    64.860    67.450    69.560    54.967     3.038    54.967     3.038     1.000     1.000
         *         *         *    39.250         *         *    37.169     1.731    37.169     1.731     1.000     1.000
    56.800         *         *         *         *         *    55.542     2.822    55.542     2.822     1.000     1.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.072     3.864    65.072     3.864     1.000     1.000
         *         *         *    37.090    37.440    38.310    34.339     1.033    34.339     1.033     1.000     1.000
         *         *         *    75.810    82.050         *    63.926     4.131    63.926     4.131     1.000     1.000
         *         *         *    75.050    75.050    80.210    61.334     3.606    61.334     3.606     1.000     1.000
         *         *         *    44.580    57.040    53.780    43.643     2.490    43.643     2.490     1.000     1.000
    63.140    69.450    67.580    66.260         *         *    62.164     2.422    62.164     2.422     1.000     1.000
    42.360    38.330         *    58.930         *         *    42.548     3.691    42.548     3.691     1.000     1.000
         *         *         *    59.590    66.700    64.730    52.801     2.895    52.801     2.895     1.000     1.000
         *         *         *    75.220    76.680    81.400    61.922     3.742    61.922     3.742     1.000     1.000
         *         *         *    44.700    50.760    53.250    41.410     2.253    41.410     2.253     1.000     1.000
         *         *         *    69.910    70.070    70.740    57.998     2.953    57.998     2.953     1.000     1.000
    42.220         *    58.070    58.810    55.810    61.100    47.253     2.748    47.253     2.748     1.000     1.000
         *         *         *    65.660         *         *    55.349     3.123    55.349     3.123     1.000     1.000
         *         *         *    62.630         *         *    53.263     2.963    53.263     2.963     1.000     1.000
    62.870    70.370         *         *         *         *    63.507     3.215    63.507     3.215     1.000     1.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.606     1.889    42.606     1.889     1.000     1.000
    58.540    53.940    64.920    62.940    65.670         *    55.459     2.662    55.459     2.662     1.000     1.000
    41.000    56.530    55.490         *    51.250    42.660    48.148     0.621    48.148     0.621     1.000     1.000
         *         *         *    50.580    58.170    60.390    46.130     2.752    46.130     2.752     1.000     1.000
         *         *         *    59.480    58.070    64.850    49.553     2.652    49.553     2.652     1.000     1.000
    35.130    44.930         *    37.510    41.130         *    37.891     1.098    37.891     1.098     1.000     1.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.527     2.452    57.527     2.452     1.000     1.000
    54.500    63.890    63.110    70.720    66.910         *    57.391     2.881    57.391     2.881     1.000     1.000
         *         *         *    58.920         *    63.410    50.585     2.659    50.585     2.659     1.000     1.000
    46.770    44.100         *    58.250         *    62.160    45.986     3.206    45.986     3.206     1.000     1.000
         *         *         *    60.830         *         *    52.024     2.868    52.024     2.868     1.000     1.000
    74.590    71.100    76.640    82.700    87.700    85.920    70.132     3.728    70.132     3.728     1.000     1.000
    52.750    69.480         *         *         *         *    58.767     3.531    58.767     3.531     1.000     1.000
    48.240    55.280         *         *         *         *    50.492     2.971    50.492     2.971     1.000     1.000
         *         *         *    62.110         *    67.500    52.896     2.928    52.896     2.928     1.000     1.000
         *         *         *    50.430    54.420    60.700    44.656     2.672    44.656     2.672     1.000     1.000
         *         *         *    66.460         *         *    55.900     3.165    55.900     3.165     1.000     1.000
         *         *         *    47.250         *         *    42.676     2.153    42.676     2.153     1.000     1.000
    47.270    47.980    49.510    53.690    61.730    60.570    46.391     3.124    46.391     3.124     1.000     1.000
         *         *         *    41.070         *         *    38.421     1.827    38.421     1.827     1.000     1.000
    54.330    56.620    61.160    58.090         *    59.950    53.886     1.769    53.886     1.769     1.000     1.000
         *         *         *    51.560         *    43.160    44.076     1.000    44.076     1.000     1.000     1.000
         *         *         *    69.980         *    64.050    57.121     2.293    57.121     2.293     1.000     1.000
    26.140    31.320    42.620    44.380         *         *    32.352     3.453    32.352     3.453     1.000     1.000
         *         *         *    75.900    75.690    81.030    61.872     3.648    61.872     3.648     1.000     1.000
         *         *         *    60.900    63.180    70.820    51.610     3.217    51.610     3.217     1.000     1.000
    48.770    61.100    61.940    61.890         *         *    53.593     3.194    53.593     3.194     1.000     1.000
         *         *         *    52.570    53.590    50.780    45.986     1.732    45.986     1.732     1.000     1.000
         *         *         *    51.100         *         *    45.326     2.355    45.326     2.355     1.000     1.000
    41.740         *         *         *         *         *    43.818     2.761    43.818     2.761     1.000     1.000
    29.490    28.470    44.650    40.690    33.070    36.770    32.750     1.099    32.750     1.099     1.000     1.000
    57.010         *    61.700    66.540    71.670    68.140    56.804     3.050    56.804     3.050     1.000     1.000
    49.230    49.750    43.090    55.750    49.700    53.910    46.315     1.449    46.315     1.449     1.000     1.000
    50.820    54.040    58.290         *    55.550         *    50.965     1.702    50.965     1.702     1.000     1.000
         *         *         *    52.660    58.480         *    47.129     2.655    47.129     2.655     1.000     1.000
         *         *         *    54.750    57.160    59.320    47.609     2.420    47.609     2.420     1.000     1.000
         *         *         *    76.070    80.050    76.600    63.882     3.410    63.882     3.410     1.000     1.000
    48.760    44.890    52.990    59.620    65.490         *    47.151     4.000    47.151     4.000     1.000     1.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.791     2.824    64.791     2.824     1.000     1.000
    54.850         *    66.910    72.520    73.890    75.380    58.016     3.800    58.016     3.800     1.000     1.000
         *         *         *    64.450    68.460    70.550    55.094     3.170    55.094     3.170     1.000     1.000
         *         *         *    76.990    80.300    84.870    63.760     4.041    63.760     4.041     1.000     1.000
    54.220    52.140         *         *         *         *    51.656     2.598    51.656     2.598     1.000     1.000
         *         *         *    53.940         *         *    47.281     2.505    47.281     2.505     1.000     1.000
         *         *         *    64.140    69.440    69.870    55.374     3.160    55.374     3.160     1.000     1.000
    44.200    48.800         *         *         *         *    45.865     2.786    45.865     2.786     1.000     1.000
    39.440    43.630    50.990    52.130    50.540    45.200    43.197     1.698    43.197     1.698     1.000     1.000
         *         *         *    46.950    52.660    55.430    42.910     2.371    42.910     2.371     1.000     1.000
    48.870    58.050         *         *    61.060         *    51.478     2.568    51.478     2.568     1.000     1.000
         *         *         *    58.050    62.090         *    50.452     2.824    50.452     2.824     1.000     1.000
         *         *         *    49.880    67.890    68.710    48.818     3.754    48.818     3.754     1.000     1.000
         *         *         *    51.740         *    53.390    45.296     1.975    45.296     1.975     1.000     1.000
    52.480    49.330    60.970         *         *         *    51.164     3.046    51.164     3.046     1.000     1.000
    58.670    57.330    63.450    62.620    62.560    58.840    56.641     1.445    56.641     1.445     1.000     1.000
         *         *         *    58.640    62.430    66.950    50.655     2.996    50.655     2.996     1.000     1.000
    55.470         *         *         *         *         *    54.507     2.817    54.507     2.817     1.000     1.000
         *         *         *    56.720    67.270    67.600    51.580     3.293    51.580     3.293     1.000     1.000
    54.000    49.560         *         *         *         *    50.410     2.475    50.410     2.475     1.000     1.000
    56.300    69.560    67.830         *         *         *    60.491     3.466    60.491     3.466     1.000     1.000
         *         *         *    53.160         *         *    46.744     2.464    46.744     2.464     1.000     1.000
    37.100    34.860    28.660    43.670    37.900         *    34.219     1.332    34.219     1.332     1.000     1.000
    49.580         *         *    64.120         *         *    51.868     3.430    51.868     3.430     1.000     1.000
    47.050    48.070    42.290         *         *         *    44.415     1.826    44.415     1.826     1.000     1.000
         *         *         *    48.380    51.810    62.320    42.700     2.831    42.700     2.831     1.000     1.000
         *         *         *    61.750    68.500    69.760    54.017     3.246    54.017     3.246     1.000     1.000
         *         *         *    60.120    65.330    69.220    52.191     3.191    52.191     3.191     1.000     1.000
         *         *         *    60.540    58.090         *    50.214     2.374    50.214     2.374     1.000     1.000
         *         *         *    48.440    68.580    71.870    48.229     4.105    48.229     4.105     1.000     1.000
    37.950    38.360    56.990         *         *         *    41.768     3.615    41.768     3.615     1.000     1.000
    49.440    62.480    64.950    71.550    73.240    75.570    55.912     4.165    55.912     4.165     1.000     1.000
         *         *         *    35.720    67.940         *    43.193     4.062    43.193     4.062     1.000     1.000
         *         *         *    49.550    48.830    41.260    43.638     0.972    43.638     0.972     1.000     1.000
         *         *         *    70.280    72.040         *    58.544     3.371    58.544     3.371     1.000     1.000
    60.560    67.420    69.810    72.810    70.790    74.880    61.889     2.682    61.889     2.682     1.000     1.000
         *         *         *    53.070    50.900    55.830    44.834     2.035    44.834     2.035     1.000     1.000
         *         *         *    63.230    60.380         *    52.026     2.503    52.026     2.503     1.000     1.000
         *         *         *    57.440    52.230         *    47.119     1.924    47.119     1.924     1.000     1.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.366     3.386    52.366     3.386     1.000     1.000
         *         *         *    43.030    40.850    39.160    38.066     0.898    38.066     0.898     1.000     1.000
         *         *         *    60.820    71.230    67.880    54.769     3.224    54.769     3.224     1.000     1.000
         *         *         *    62.220    54.650    56.030    50.100     1.693    50.100     1.693     1.000     1.000
    45.970         *    62.210    61.220         *         *    50.758     3.561    50.758     3.561     1.000     1.000
         *         *         *    64.490    74.540    69.760    57.418     3.286    57.418     3.286     1.000     1.000
         *         *         *    52.610    58.360    57.530    47.273     2.421    47.273     2.421     1.000     1.000
         *         *         *    53.230         *         *    46.792     2.468    46.792     2.468     1.000     1.000
         *         *         *    60.400    63.120         *    51.731     2.846    51.731     2.846     1.000     1.000
         *         *         *    52.360         *    47.090    44.971     1.346    44.971     1.346     1.000     1.000
         *         *         *    41.110         *         *    38.449     1.829    38.449     1.829     1.000     1.000
    58.310    62.040    63.990    65.660    71.340    64.730    58.393     2.476    58.393     2.476     1.000     1.000
    48.380    43.040    65.570    68.470    80.570         *    49.838     6.415    49.838     6.415     1.000     1.000
         *         *         *    83.380    83.650    84.770    67.726     3.805    67.726     3.805     1.000     1.000
    41.080         *    61.940         *         *         *    48.424     3.891    48.424     3.891     1.000     1.000
    27.130         *    39.480         *         *         *    33.080     2.843    33.080     2.843     1.000     1.000
         *         *         *    69.570    71.190    66.340    58.590     2.647    58.590     2.647     1.000     1.000
         *    51.740    66.060    69.150         *         *    54.346     3.915    54.346     3.915     1.000     1.000
         *         *         *    59.880         *         *    51.370     2.818    51.370     2.818     1.000     1.000
         *         *         *    75.160    73.370         *    60.946     3.343    60.946     3.343     1.000     1.000
    64.270    70.910    73.380    79.330    80.970    82.220    65.598     3.671    65.598     3.671     1.000     1.000
         *         *         *    44.120         *    41.670    39.563     1.145    39.563     1.145     1.000     1.000
    56.590    62.410    65.240    71.140    72.140         *    58.124     3.542    58.124     3.542     1.000     1.000
    47.430    45.810    57.330    54.030    61.440    65.910    47.013     3.441    47.013     3.441     1.000     1.000
         *         *         *    62.850         *         *    53.415     2.975    53.415     2.975     1.000     1.000
    49.540    54.090    53.980    54.970    66.500         *    49.680     3.452    49.680     3.452     1.000     1.000
    45.910    38.080    34.930    31.150         *         *    37.872     0.013    37.872     0.013     1.000     1.000
         *         *         *    55.870    53.680    64.940    46.387     2.714    46.387     2.714     1.000     1.000
    71.990    75.240    77.850    81.310    79.760    76.200    70.757     2.187    70.757     2.187     1.000     1.000
         *         *         *    44.540    38.750    44.310    37.554     1.176    37.554     1.176     1.000     1.000
    55.550    55.450    63.010    64.360    64.230    68.360    54.667     2.701    54.667     2.701     1.000     1.000
         *         *         *    42.620    51.360    46.670    41.229     1.844    41.229     1.844     1.000     1.000
    27.750    31.030    43.010    36.300         *         *    32.014     2.497    32.014     2.497     1.000     1.000
    44.500         *         *         *         *         *    45.966     2.772    45.966     2.772     1.000     1.000
    62.340    55.620    64.850    70.680    74.120    85.510    57.382     4.417    57.382     4.417     1.000     1.000
         *         *         *    63.280    67.680    68.060    54.490     3.005    54.490     3.005     1.000     1.000
         *         *         *    59.720         *    62.120    50.912     2.504    50.912     2.504     1.000     1.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.437     2.783    51.437     2.783     1.000     1.000
    57.310         *    62.030    61.080         *         *    55.443     2.513    55.443     2.513     1.000     1.000
    37.830         *         *         *         *         *    40.774     2.746    40.774     2.746     1.000     1.000
    35.810         *         *         *         *         *    39.201     2.737    39.201     2.737     1.000     1.000
    34.660    35.730    41.630    50.260         *         *    36.816     3.215    36.816     3.215     1.000     1.000
         *         *         *    64.130    64.840    64.130    54.089     2.557    54.089     2.557     1.000     1.000
    51.710    53.550    64.210    63.470    57.600    67.220    52.738     2.374    52.738     2.374     1.000     1.000
         *         *         *    52.270    48.270    53.430    43.697     1.803    43.697     1.803     1.000     1.000
         *         *         *    63.380    66.600    63.690    54.453     2.613    54.453     2.613     1.000     1.000
    63.540    66.070    70.580    67.280    74.980         *    62.029     3.016    62.029     3.016     1.000     1.000
    43.590    53.990         *         *    62.400         *    48.267     3.418    48.267     3.418     1.000     1.000
         *         *         *    52.260         *         *    46.125     2.417    46.125     2.417     1.000     1.000
         *         *         *    74.330    79.780    81.010    62.719     3.850    62.719     3.850     1.000     1.000
         *         *         *    48.520    43.630    39.610    41.397     0.736    41.397     0.736     1.000     1.000
    64.470    69.870    74.240    67.960    78.470         *    64.163     3.218    64.163     3.218     1.000     1.000
         *         *         *    60.710    65.230    65.940    52.645     2.892    52.645     2.892     1.000     1.000
    50.430    53.700    57.840    51.850         *         *    50.230     2.095    50.230     2.095     1.000     1.000
         *         *         *    64.100    65.660         *    54.032     2.968    54.032     2.968     1.000     1.000
    52.490    46.480    67.950    79.240         *         *    53.692     5.341    53.692     5.341     1.000     1.000
    52.040         *         *         *         *         *    51.837     2.803    51.837     2.803     1.000     1.000
    52.410    53.450         *         *         *         *    51.464     2.729    51.464     2.729     1.000     1.000
    36.570         *    45.830         *         *         *    40.010     2.789    40.010     2.789     1.000     1.000
         *         *         *    55.340    58.820    65.100    48.051     2.908    48.051     2.908     1.000     1.000
    35.710    38.340         *    47.010    57.450    60.290    38.382     4.124    38.382     4.124     1.000     1.000
    54.290    51.440    61.970    65.460    68.930    68.790    53.298     3.503    53.298     3.503     1.000     1.000
    44.470    37.110    33.970    49.460         *         *    38.892     2.046    38.892     2.046     1.000     1.000
    48.020    47.170    60.060    55.660    52.840    55.030    48.592     1.651    48.592     1.651     1.000     1.000
    51.160         *         *         *         *         *    51.151     2.799    51.151     2.799     1.000     1.000
    45.760    48.950    57.910         *         *         *    48.003     3.229    48.003     3.229     1.000     1.000
    74.280    75.470    75.440    78.030    79.940    80.640    70.396     2.394    70.396     2.394     1.000     1.000
         *         *         *    53.140    64.650    63.140    49.415     3.037    49.415     3.037     1.000     1.000
    47.140    59.060    56.420    47.460         *         *    49.919     1.696    49.919     1.696     1.000     1.000
         *         *         *    62.770         *         *    53.359     2.970    53.359     2.970     1.000     1.000
    47.920    52.090    60.910    64.870    64.940    65.780    51.139     3.374    51.139     3.374     1.000     1.000
    44.030    51.600    62.250    61.720    66.370    61.420    50.009     3.423    50.009     3.423     1.000     1.000
         *         *         *    75.290    80.550    82.390    63.311     3.935    63.311     3.935     1.000     1.000
    44.150    45.160         *         *         *         *    44.218     2.603    44.218     2.603     1.000     1.000
         *         *         *    46.130         *    42.670    40.847     1.163    40.847     1.163     1.000     1.000
         *         *         *    64.100    70.590    68.610    55.875     3.095    55.875     3.095     1.000     1.000
         *         *         *    51.870    52.750    46.790    45.670     1.419    45.670     1.419     1.000     1.000
    70.490    75.400    76.640    77.190    82.850    88.120    68.930     3.493    68.930     3.493     1.000     1.000
    54.850    62.450    65.170    64.960    69.150    71.100    56.977     2.982    56.977     2.982     1.000     1.000
         *         *         *    60.110    56.750    61.570    49.573     2.314    49.573     2.314     1.000     1.000
    48.510    49.090    60.280    53.710    58.790         *    48.963     2.540    48.963     2.540     1.000     1.000
    58.500    69.760         *    68.050         *         *    60.742     2.945    60.742     2.945     1.000     1.000
    43.270         *         *         *         *         *    45.009     2.768    45.009     2.768     1.000     1.000
    64.050    62.040    75.760    74.650         *         *    62.816     3.713    62.816     3.713     1.000     1.000
         *         *         *    60.370    70.170    67.890    54.185     3.216    54.185     3.216     1.000     1.000
    58.430    64.380    61.420    59.240    66.240         *    57.301     2.147    57.301     2.147     1.000     1.000
    41.750         *         *         *         *         *    43.825     2.761    43.825     2.761     1.000     1.000
         *         *         *    54.930    55.080    55.170    47.220     2.011    47.220     2.011     1.000     1.000
         *         *         *    55.550    66.970    68.540    50.903     3.421    50.903     3.421     1.000     1.000
    50.540    46.310    56.010    52.080    61.460         *    47.894     2.935    47.894     2.935     1.000     1.000
         *         *         *    46.800    39.000    33.020    39.435     0.151    39.435     0.151     1.000     1.000
         *         *         *    52.540    66.320    72.240    49.111     3.856    49.111     3.856     1.000     1.000
         *         *         *    54.270    63.190         *    49.258     3.043    49.258     3.043     1.000     1.000
         *         *         *    82.020         *         *    66.611     3.985    66.611     3.985     1.000     1.000
         *         *         *    64.640    68.590    68.710    55.357     3.015    55.357     3.015     1.000     1.000
    48.910    50.450    54.220    68.420    67.320    62.000    50.517     3.493    50.517     3.493     1.000     1.000
    66.490    76.290    76.360         *    81.330         *    68.095     3.381    68.095     3.381     1.000     1.000
         *         *         *    41.330    39.360    48.160    36.132     1.672    36.132     1.672     1.000     1.000
    49.260         *         *         *         *         *    49.672     2.792    49.672     2.792     1.000     1.000
    50.640         *         *         *    58.570    79.120    49.915     3.615    49.915     3.615     1.000     1.000
    63.890    70.260    68.140    74.800    82.210         *    63.668     4.071    63.668     4.071     1.000     1.000
         *         *         *    70.100    67.120         *    56.931     2.918    56.931     2.918     1.000     1.000
         *         *         *    52.370    63.860    66.220    48.569     3.303    48.569     3.303     1.000     1.000
    56.610         *         *         *    58.410         *    52.818     1.706    52.818     1.706     1.000     1.000
    45.460    43.820    43.400    50.200    54.300         *    42.956     2.556    42.956     2.556     1.000     1.000
    44.380    46.800    56.550         *    54.980    50.660    46.632     1.849    46.632     1.849     1.000     1.000
         *         *         *    59.120    65.930    66.200    52.209     3.016    52.209     3.016     1.000     1.000
         *         *         *    70.430         *         *    58.632     3.374    58.632     3.374     1.000     1.000
    41.090    50.060    63.470         *    63.580    64.410    48.201     3.662    48.201     3.662     1.000     1.000
    65.040         *         *         *         *         *    61.957     2.855    61.957     2.855     1.000     1.000
         *         *         *    62.230    60.430    58.250    52.080     2.046    52.080     2.046     1.000     1.000
    62.860    71.400    72.100    78.000    73.450    79.320    64.657     2.868    64.657     2.868     1.000     1.000
         *         *         *    62.560         *    57.550    52.075     1.956    52.075     1.956     1.000     1.000
    35.500    31.940    30.620    28.290    36.630         *    31.638     0.984    31.638     0.984     1.000     1.000
    38.840    44.520         *         *         *         *    41.654     2.760    41.654     2.760     1.000     1.000
    44.460    46.800         *    54.310    55.970    57.110    45.353     2.594    45.353     2.594     1.000     1.000
         *         *         *    71.020         *    79.720    59.437     3.756    59.437     3.756     1.000     1.000
    44.580    44.490         *    39.620    41.560         *    41.517     0.438    41.517     0.438     1.000     1.000
    65.460    66.540    78.910         *    78.180    85.210    65.072     3.645    65.072     3.645     1.000     1.000
    49.260    58.090    58.880    59.450    58.810         *    52.059     2.177    52.059     2.177     1.000     1.000
    51.550    61.880    57.400    56.300    63.370    58.070    53.778     1.834    53.778     1.834     1.000     1.000
    47.040    50.890    64.880    66.780         *    68.650    51.418     3.805    51.418     3.805     1.000     1.000
    56.630    53.410    63.220    71.440    74.020         *    55.284     4.335    55.284     4.335     1.000     1.000
         *         *         *    49.380         *    47.920    43.320     1.541    43.320     1.541     1.000     1.000
    52.610         *    46.860         *         *         *    47.975     1.853    47.975     1.853     1.000     1.000
         *         *         *    72.680    77.540    69.930    62.000     2.968    62.000     2.968     1.000     1.000
         *         *         *    68.140    77.220         *    59.293     3.920    59.293     3.920     1.000     1.000
         *         *         *    60.340         *    62.060    51.268     2.474    51.268     2.474     1.000     1.000
    44.290    36.310    46.750         *    42.020    37.100    40.722     0.346    40.722     0.346     1.000     1.000
         *         *         *    51.220         *         *    45.409     2.362    45.409     2.362     1.000     1.000
    55.430    54.570    63.090    65.270    66.620    69.570    54.556     3.073    54.556     3.073     1.000     1.000
    50.590    60.740    59.340         *    62.520    64.970    53.549     2.424    53.549     2.424     1.000     1.000
         *         *         *    61.920         *    48.390    50.702     1.102    50.702     1.102     1.000     1.000
    47.750    46.130    59.790         *         *         *    48.250     3.242    48.250     3.242     1.000     1.000
         *         *         *    56.190    50.190    49.060    46.395     1.304    46.395     1.304     1.000     1.000
         *         *         *    41.870         *         *    38.972     1.869    38.972     1.869     1.000     1.000
    50.490    58.070    61.690    61.200    62.960         *    53.180     2.697    53.180     2.697     1.000     1.000
         *         *         *    68.200    73.190    77.840    57.905     3.710    57.905     3.710     1.000     1.000
    36.810         *         *         *         *         *    39.980     2.741    39.980     2.741     1.000     1.000
    49.370    46.300         *         *         *         *    46.967     2.475    46.967     2.475     1.000     1.000
    47.080    49.540    66.800    63.890         *         *    50.930     4.042    50.930     4.042     1.000     1.000
         *         *         *    51.290    56.850    61.480    45.864     2.764    45.864     2.764     1.000     1.000
    46.680    45.120    53.630         *         *         *    46.084     2.790    46.084     2.790     1.000     1.000
    57.140    60.210         *         *         *         *    56.512     2.904    56.512     2.904     1.000     1.000
         *         *         *    58.010    54.110    57.650    47.990     2.025    47.990     2.025     1.000     1.000
    32.190    31.060         *         *         *         *    32.791     2.314    32.791     2.314     1.000     1.000
    38.010         *    39.040    34.200         *         *    36.158     1.130    36.158     1.130     1.000     1.000
    66.480         *    69.770    70.120    73.560         *    63.030     2.675    63.030     2.675     1.000     1.000
         *         *         *    62.410    71.330         *    55.118     3.549    55.118     3.549     1.000     1.000
         *         *         *    54.770    61.280         *    48.864     2.850    48.864     2.850     1.000     1.000
         *         *         *    56.270         *         *    48.885     2.628    48.885     2.628     1.000     1.000
         *         *         *    54.360    67.710    63.990    51.004     3.135    51.004     3.135     1.000     1.000
    55.180    64.680    71.350    62.720    64.170    63.500    58.892     1.632    58.892     1.632     1.000     1.000
         *         *         *    74.280    77.250         *    61.802     3.732    61.802     3.732     1.000     1.000
    53.830    58.890         *         *         *         *    54.502     2.955    54.502     2.955     1.000     1.000
         *         *         *    60.360         *    68.640    51.997     3.105    51.997     3.105     1.000     1.000
    42.620    36.040         *         *         *         *    39.490     2.195    39.490     2.195     1.000     1.000
         *         *         *    48.280    60.350    64.810    45.634     3.294    45.634     3.294     1.000     1.000
         *         *         *         *    54.560    60.730    46.055     2.515    46.055     2.515     1.000     1.000
    52.100    49.770         *         *         *         *    49.688     2.553    49.688     2.553     1.000     1.000
         *         *         *    69.530         *         *    58.013     3.327    58.013     3.327     1.000     1.000
         *         *         *    62.540    68.580    62.490    54.916     2.618    54.916     2.618     1.000     1.000
         *         *         *    58.120         *         *    50.158     2.725    50.158     2.725     1.000     1.000
         *         *         *    48.430    42.340         *    40.357     1.282    40.357     1.282     1.000     1.000
         *         *         *    52.660    58.320    61.630    46.980     2.750    46.980     2.750     1.000     1.000
    49.510         *         *         *         *         *    49.867     2.793    49.867     2.793     1.000     1.000
    51.870    49.700    56.100    48.530    64.350    69.690    48.527     3.434    48.527     3.434     1.000     1.000
         *         *         *    60.060    62.310    67.660    51.162     2.977    51.162     2.977     1.000     1.000
    48.920    57.870    58.730    64.700         *         *    52.433     3.468    52.433     3.468     1.000     1.000
    59.190         *         *    63.150         *         *    56.484     2.531    56.484     2.531     1.000     1.000
         *         *         *    60.020    62.600         *    51.414     2.810    51.414     2.810     1.000     1.000
    69.030    71.360    72.240    72.770    73.410    82.830    65.784     2.629    65.784     2.629     1.000     1.000
    44.480    48.990    44.630    60.500         *         *    45.396     3.195    45.396     3.195     1.000     1.000
    88.030    83.260    84.660    91.330         *         *    80.058     3.175    80.058     3.175     1.000     1.000
         *         *         *    53.200    55.110    65.040    45.772     2.902    45.772     2.902     1.000     1.000
         *         *         *    61.470    62.010    65.250    51.828     2.700    51.828     2.700     1.000     1.000
    42.250         *    34.930    31.160    33.970    30.900    36.337    -0.494    36.337    -0.494     1.000     1.000
         *         *         *    46.180    52.260    57.770    42.263     2.588    42.263     2.588     1.000     1.000
         *         *         *    53.260         *         *    46.813     2.469    46.813     2.469     1.000     1.000
    44.890    57.000    58.250    63.410    63.370         *    50.635     3.382    50.635     3.382     1.000     1.000
    46.420    55.230    60.630    61.070         *         *    50.847     3.431    50.847     3.431     1.000     1.000
    32.840    34.180    52.420         *    64.290         *    38.361     5.580    38.361     5.580     1.000     1.000
         *         *         *    77.530    80.770    77.020    64.739     3.391    64.739     3.391     1.000     1.000
         *         *         *    57.920         *         *    50.021     2.715    50.021     2.715     1.000     1.000
    36.030    35.250         *         *         *         *    36.309     2.390    36.309     2.390     1.000     1.000
