    26.140    31.320    42.620    44.380         *         *    32.653     3.795    31.790     4.882     0.002     0.573     0.426     2.000
         *         *         *    75.900    75.690    81.030    63.907     3.214    64.063     3.190     0.977     0.019     0.003     1.000
         *         *         *    60.900    63.180    70.820    51.314     3.261    53.454     2.755     0.535     0.369     0.096     1.000
    48.770    61.100    61.940    61.890         *         *    54.146     2.954    55.244     2.804     0.703     0.211     0.086     1.000
         *         *         *    52.570    53.590    50.780    45.966     1.722    46.394     1.589     0.118     0.136     0.746     3.000
         *         *         *    51.100         *         *    44.708     2.591    45.638     1.679     0.057     0.428     0.514     3.000
    41.740         *         *         *         *         *    43.321     2.774    42.713     1.561     0.061     0.454     0.485     3.000
    29.490    28.470    44.650    40.690    33.070    36.770    33.473     0.950    33.482     0.946     0.000     0.003     0.997     3.000
    57.010         *    61.700    66.540    71.670    68.140    57.253     3.013    57.517     3.000     0.893     0.075     0.031     1.000
    49.230    49.750    43.090    55.750    49.700    53.910    46.524     1.430    46.839     1.279     0.012     0.146     0.841     3.000
    50.820    54.040    58.290         *    55.550         *    50.569     1.842    50.732     1.586     0.229     0.240     0.531     3.000
         *         *         *    52.660    58.480         *    45.988     2.947    43.722     3.752     0.142     0.493     0.365     2.000
         *         *         *    54.750    57.160    59.320    46.804     2.595    43.624     3.442     0.272     0.404     0.324     2.000
         *         *         *    76.070    80.050    76.600    65.682     3.130    65.888     3.107     0.974     0.023     0.003     1.000
    48.760    44.890    52.990    59.620    65.490         *    47.037     3.936    46.815     4.047     0.132     0.716     0.152     2.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.772     2.869    64.776     2.870     0.998     0.001     0.001     1.000
    54.850         *    66.910    72.520    73.890    75.380    59.549     3.526    59.713     3.509     0.959     0.034     0.006     1.000
         *         *         *    64.450    68.460    70.550    55.795     2.995    56.926     2.796     0.805     0.165     0.030     1.000
         *         *         *    76.990    80.300    84.870    65.404     3.689    65.435     3.685     0.995     0.004     0.001     1.000
    54.220    52.140         *         *         *         *    51.239     2.540    52.211     2.748     0.366     0.301     0.333     1.000
         *         *         *    53.940         *         *    46.187     2.790    44.442     3.773     0.119     0.472     0.410     2.000
         *         *         *    64.140    69.440    69.870    55.856     3.031    57.098     2.827     0.787     0.181     0.032     1.000
    44.200    48.800         *         *         *         *    45.430     2.714    45.483     1.698     0.103     0.406     0.491     3.000
    39.440    43.630    50.990    52.130    50.540    45.200    43.255     1.710    43.281     1.700     0.020     0.022     0.958     3.000
         *         *         *    46.950    52.660    55.430    42.817     2.373    44.391     1.802     0.045     0.353     0.602     3.000
    48.870    58.050         *         *    61.060         *    51.002     2.691    48.831     3.364     0.363     0.407     0.230     2.000
         *         *         *    58.050    62.090         *    49.674     2.974    52.349     2.410     0.408     0.405     0.187     1.000
         *         *         *    49.880    67.890    68.710    46.420     4.248    46.299     4.292     0.000     0.966     0.034     2.000
         *         *         *    51.740         *    53.390    44.964     1.987    45.866     1.651     0.092     0.241     0.667     3.000
    52.480    49.330    60.970         *         *         *    50.570     3.002    49.807     3.487     0.245     0.462     0.293     2.000
    58.670    57.330    63.450    62.620    62.560    58.840    57.123     1.424    57.521     1.359     0.810     0.042     0.148     1.000
         *         *         *    58.640    62.430    66.950    50.016     3.119    52.454     2.582     0.476     0.408     0.116     1.000
    55.470         *         *         *         *         *    54.824     2.812    56.873     3.000     0.594     0.229     0.177     1.000
         *         *         *    56.720    67.270    67.600    49.131     3.704    47.834     3.993     0.188     0.712     0.100     2.000
    54.000    49.560         *         *         *         *    49.974     2.436    49.756     1.518     0.222     0.366     0.412     3.000
    56.300    69.560    67.830         *         *         *    61.641     3.199    62.109     3.213     0.908     0.077     0.016     1.000
         *         *         *    53.160         *         *    45.764     2.742    44.106     3.772     0.098     0.463     0.439     2.000
    37.100    34.860    28.660    43.670    37.900         *    35.663     0.942    35.694     0.913     0.000     0.014     0.986     3.000
