0	0	0	0	0	0	0	0	1	0	0	0	1	196.375	0	1	101101
1	1	1	1	1	1	1	1	1	1	1	1	1	28.6822	0	0	101102
0	0	0	1	0	0	1	0	0	1	1	0	0	666.7643	0	1	101104
1	1	1	1	1	1	1	1	1	0	0	1	1	271.4467	0	1	101105
1	1	1	0	0	1	1	1	1	1	1	1	1	170.8671	0	0	101106
1	1	1	0	0	1	1	.	.	.	.	.	.	258.123	.	0	101107
1	0	0	0	0	0	1	1	0	0	0	1	1	202.8046	0	1	101108
1	0	1	1	1	1	1	1	.	.	.	.	.	751.2914	0	1	101109
1	0	1	1	1	1	1	1	.	.	.	.	.	0	.	1	101110
1	0	1	1	1	1	1	1	0	0	0	0	0	280.6561	0	1	101111
1	0	1	0	0	0	0	0	.	.	.	.	.	73.7161	0	1	101112
1	1	1	0	0	0	0	0	1	1	1	1	1	185.7237	0	0	101113
1	0	1	0	0	0	1	1	.	.	.	.	.	239.2099	0	1	101114
1	1	1	0	0	1	1	1	1	1	1	1	1	39.5646	0	1	101115
0	0	0	1	1	1	1	1	0	0	0	0	1	31.2373	0	1	101116
0	0	0	1	1	1	.	.	0	0	0	0	0	0	.	1	101117
1	0	0	0	0	0	0	0	0	0	0	1	1	244.1716	0	1	101118
1	0	0	0	0	1	0	0	.	.	.	.	.	0	.	0	101119
0	0	0	0	0	0	0	0	.	.	.	.	.	864.8287	1	1	101120
0	1	1	1	1	1	1	1	1	1	1	1	1	32.061	0	0	101121
0	0	0	0	0	0	0	0	1	1	0	1	1	208.3492	1	0	101122
0	0	0	1	1	1	1	1	1	1	1	1	1	230.0786	0	0	101123
1	1	1	1	1	0	1	1	0	0	0	0	0	0	.	1	101124
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	101125
1	1	1	1	.	.	.	.	1	0	0	1	1	31.3238	0	0	101126
1	0	0	0	0	0	1	1	1	0	0	1	1	31.8494	0	0	101127
1	1	1	1	1	0	0	1	1	1	1	1	1	0	.	0	101128
0	0	0	0	0	1	1	1	0	0	0	0	0	775.7066	0	1	101129
0	0	0	1	1	1	1	1	.	.	.	.	.	708.4777	1	1	101131
1	0	0	0	0	0	0	0	.	.	.	.	.	0	.	1	101132
0	0	0	0	0	0	.	0	1	1	1	1	1	0	.	1	101133
.	.	.	.	.	.	.	.	0	0	0	0	0	218.4957	0	0	101201
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	1	101203
.	.	.	.	.	.	.	.	0	0	0	1	1	215.0544	0	1	101207
.	.	.	.	.	.	.	.	1	0	0	1	1	0	.	1	101209
.	.	.	.	.	.	.	.	1	1	1	1	1	214.88	1	1	101210
.	.	.	.	.	.	.	.	0	0	0	1	1	172.3952	0	1	101211
.	.	.	.	.	.	.	.	.	.	.	.	.	246.7952	.	1	101212
1	0	1	.	.	.	.	.	0	0	0	1	0	221.5542	0	1	101214
.	.	.	.	.	.	.	.	0	0	0	1	1	0	.	1	101215
0	0	0	1	1	1	1	1	.	.	.	.	.	0	.	1	101217
0	0	0	0	0	.	.	.	0	0	0	0	0	169.4561	0	1	101219
1	1	1	1	1	.	.	.	1	1	1	1	1	209.4799	0	1	101221
.	.	.	.	.	.	.	.	.	.	.	.	.	608.2185	0	.	101222
.	.	.	.	.	.	.	.	0	0	0	0	0	226.3635	0	1	101223
0	0	0	0	0	0	0	.	0	0	0	0	0	0	.	1	101226
.	.	.	.	.	.	.	.	.	.	.	.	.	235.6428	1	1	101227
0	0	1	1	1	1	1	1	0	0	0	0	0	45.0328	0	1	102101
0	0	1	1	1	1	1	1	.	.	.	.	.	276.7414	1	1	102103
.	.	.	.	.	.	.	.	.	.	.	.	.	300.3896	0	1	102104
.	.	.	.	.	.	.	.	0	1	0	0	0	310.2792	0	1	102105
0	1	1	1	1	1	1	1	0	0	1	1	0	38.5349	0	0	102106
1	0	0	0	0	.	.	.	.	.	.	.	.	310.0034	.	1	102107
.	.	1	0	0	1	1	1	.	.	.	.	.	314.0446	1	1	102108
1	1	1	1	0	1	1	1	.	.	.	.	.	241.8125	.	1	102109
.	.	.	.	.	.	.	.	.	.	.	.	.	40.3535	0	1	102111
.	.	.	.	.	.	.	.	1	1	1	1	1	19.2341	0	1	102112
1	1	1	1	1	1	1	1	.	.	.	.	.	298.9628	0	1	102113
0	0	0	0	0	0	1	0	.	.	.	.	.	0	.	0	102116
1	1	1	0	1	1	1	1	1	0	1	0	1	41.182	0	1	102117
1	1	1	1	0	1	1	1	0	0	0	0	0	17.5268	0	0	102118
1	0	0	0	0	0	0	0	.	.	.	.	.	271.9975	0	1	102120
0	1	1	0	0	0	0	0	.	.	.	.	.	281.7671	1	1	102121
0	0	1	0	0	0	0	1	0	0	0	1	1	247.1358	0	1	102122
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	.	102162
.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	102163
.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	102164
1	1	1	1	1	.	1	1	0	0	0	0	0	0	.	1	102201
.	.	.	.	.	.	.	.	0	0	0	1	1	1165.9821	0	1	102202
0	1	0	0	0	0	0	0	0	0	0	0	1	30.8206	0	1	102203
1	1	1	1	1	1	1	1	1	1	1	1	1	26.2945	1	0	102204
.	.	.	.	.	.	.	.	0	0	1	1	1	0	.	1	102205
.	.	.	.	.	.	.	.	0	0	1	1	0	870.1291	0	1	102206
1	0	1	0	0	.	.	0	.	.	.	.	.	328.0729	0	0	102207
1	1	1	1	1	1	1	1	1	.	1	1	1	37.8097	1	0	102208
0	1	1	1	1	0	1	1	1	0	0	1	1	33.7199	0	1	102209
.	.	.	.	.	.	.	.	.	.	.	.	.	569.5098	0	0	102210
0	1	1	.	.	.	.	.	0	0	0	1	1	856.9756	1	1	102211
1	1	1	1	0	0	0	0	0	0	0	0	0	848.2546	1	1	102212
.	.	.	1	1	.	.	.	1	1	0	1	1	233.4211	0	1	102213
1	0	1	0	0	1	1	1	1	1	1	0	1	0	.	0	102214
1	1	0	1	1	1	1	1	.	.	.	.	.	0	0	1	102215
0	0	0	0	0	0	0	0	0	0	0	0	0	31.9687	0	0	102216
0	0	0	0	0	0	0	0	0	0	0	0	0	29.7772	0	1	102217
1	1	1	1	1	1	1	1	0	0	0	1	0	27.8616	0	1	102218
0	1	1	1	1	1	1	1	1	1	1	1	1	31.9823	1	0	102219
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	102220
0	0	1	1	1	1	1	1	0	1	0	1	0	42.8511	0	0	102221
1	1	1	1	1	1	1	1	1	0	1	1	1	0	.	1	102222
1	0	1	1	1	1	1	1	0	0	0	0	0	218.1844	0	1	102223
0	1	1	1	1	1	1	1	.	.	.	.	.	34.4416	1	0	102224
1	0	1	1	1	1	1	1	1	1	1	1	1	53.5419	1	0	102226
1	1	1	1	1	1	1	1	0	1	0	0	0	1163.4886	0	0	102227
0	0	0	0	0	1	1	1	0	0	0	0	0	235.8395	0	1	102228
1	1	1	0	1	1	1	1	1	1	1	1	1	32.8284	0	0	102232
0	0	0	1	0	0	0	0	0	0	0	0	0	32.4402	0	0	102233
0	0	1	1	0	.	.	.	1	1	1	1	1	242.0026	0	0	102234
1	1	1	1	0	1	1	1	1	1	1	1	1	0	.	1	102235
.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	102261
0	0	0	1	0	0	1	1	0	0	0	1	0	543.2071	0	1	103101
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	103102
1	0	0	0	0	0	0	0	1	1	1	1	1	322.9047	0	0	103103
0	0	1	0	0	0	1	0	1	1	1	1	1	582.919	1	1	103104
0	1	1	1	0	0	1	0	.	.	.	.	.	0	0	1	103107
1	0	0	0	0	0	0	0	1	1	1	1	1	625.9607	0	1	103108
0	0	0	0	0	0	0	0	0	0	0	0	0	530.1707	1	1	103109
0	0	0	0	0	0	0	0	1	0	0	1	1	0	.	1	103110
0	1	1	1	1	1	1	1	.	.	.	.	.	0	0	1	103111
1	0	1	0	0	0	1	1	.	.	.	.	.	0	.	1	103112
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	1	103114
1	0	0	0	0	0	0	0	0	0	0	1	0	244.6891	0	1	103115
1	0	1	1	1	1	1	1	0	0	0	0	0	512.403	0	1	103116
0	0	0	0	0	1	1	1	.	.	.	.	.	343.6709	1	0	103117
1	0	0	0	0	.	.	.	0	0	0	1	1	617.781	1	0	103118
0	0	1	1	1	0	1	1	0	0	1	1	1	0	.	1	103119
0	0	0	1	1	1	1	0	0	0	1	1	1	637.8604	0	1	103122
0	0	0	0	0	.	0	0	.	.	.	.	.	631.8437	0	1	103124
.	.	.	.	.	.	.	.	0	1	1	1	1	230.4433	0	0	103125
.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	.	103126
1	1	1	1	1	1	1	1	0	1	1	1	0	597.6809	0	1	103127
.	.	.	.	.	.	.	.	1	1	1	1	1	237.2761	0	0	103128
1	0	0	1	0	1	1	1	0	0	0	0	1	715.4267	1	1	103129
.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	103161
.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	103162
0	.	.	.	.	.	.	.	0	0	0	1	1	195.5124	1	0	103203
1	1	0	0	0	1	0	0	0	0	0	0	0	293.3861	0	0	103204
1	1	.	0	0	1	0	1	1	0	0	1	1	149.6036	1	0	103205
0	0	1	0	0	0	0	0	0	0	0	1	1	49.4844	0	0	103210
0	0	0	0	0	0	0	0	0	0	0	0	0	50.2058	0	0	103212
.	.	.	.	.	.	.	.	.	.	.	.	.	339.3432	0	.	103213
.	.	1	0	0	0	0	0	0	0	1	0	0	0	.	1	103214
.	.	.	.	.	.	.	.	0	0	0	0	1	0	.	1	103215
.	.	.	.	0	.	.	.	.	.	.	.	.	0	.	0	103218
0	0	0	0	1	0	0	0	.	.	.	.	.	168.1911	0	1	103219
1	1	1	0	0	0	0	1	0	0	0	0	0	0	.	0	103221
1	0	0	0	0	0	0	1	0	0	0	0	0	181.8944	0	0	103223
0	0	0	1	1	1	1	1	0	0	0	0	1	339.2623	0	1	103225
0	1	1	0	0	0	0	1	0	1	1	1	1	194.0006	0	1	103226
.	.	.	.	.	.	.	.	.	.	.	.	.	443.7056	0	.	103229
.	.	.	.	.	.	.	.	.	.	.	.	.	608.0924	0	.	103230
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	103231
1	0	1	1	0	1	1	0	1	1	1	1	1	0	.	1	103301
1	1	1	0	0	0	0	0	.	.	.	.	.	0	.	0	103302
1	0	1	1	0	1	1	1	.	.	.	.	.	88.7832	0	0	103303
1	0	1	0	0	0	0	0	0	0	0	0	0	649.6462	0	1	103304
0	0	0	0	0	0	0	0	.	.	.	.	.	0	.	0	103305
1	0	0	0	0	1	0	0	1	0	0	0	0	718.0307	0	1	103306
1	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	103307
.	.	.	.	.	.	.	.	1	0	1	1	1	699.5995	0	0	103308
0	0	0	0	0	0	0	0	0	0	0	0	0	70.6853	0	0	103309
1	1	0	1	1	.	.	.	.	.	.	.	.	0	.	1	103310
.	.	.	.	.	.	.	.	0	0	0	1	1	0	.	1	103312
0	0	0	0	0	0	0	0	.	.	.	.	.	0	.	1	103313
1	1	1	0	0	1	1	1	1	1	0	1	1	71.3561	1	0	103314
1	0	0	1	1	1	0	0	.	.	.	.	.	767.5233	0	0	103315
1	1	1	1	0	1	1	1	1	0	0	0	1	664.5438	0	0	103316
0	0	1	.	.	1	1	1	1	1	1	1	1	89.5635	.	0	103317
0	0	1	0	0	0	0	0	1	1	1	1	1	630.7675	0	1	103318
1	0	1	0	0	1	0	1	0	0	0	1	0	123.8022	1	0	103319
1	0	0	0	0	0	0	0	.	.	.	.	.	200.8984	0	0	103320
1	0	1	0	0	.	.	.	1	0	0	0	0	0	.	1	103321
0	0	0	0	0	1	1	1	0	0	0	0	0	65.1736	0	1	103322
0	0	0	1	1	1	1	1	1	1	1	1	1	718.5093	0	1	103323
.	.	.	.	.	.	.	.	.	.	.	.	.	963.6372	0	1	103324
1	0	0	0	0	0	0	0	0	0	0	0	0	278.1432	0	1	104101
.	.	.	.	.	.	.	.	.	.	.	.	.	442.4978	0	.	104102
1	0	1	0	0	1	1	1	.	.	.	.	.	515.6016	1	1	104103
0	0	0	0	0	0	0	0	.	.	.	.	.	247.2592	1	1	104104
1	1	1	1	1	.	0	.	1	1	1	1	1	0	.	0	104105
1	1	1	0	0	0	0	0	.	.	.	.	.	300.3784	0	0	104106
0	0	0	0	0	0	0	0	0	0	0	0	0	315.7277	0	1	104107
1	1	1	0	0	1	1	1	0	1	1	0	0	270.004	0	1	104108
.	.	.	.	.	.	.	.	.	.	.	.	.	477.3258	0	0	104109
1	0	1	1	1	1	0	0	0	0	0	0	0	292.7457	1	1	104110
.	.	.	.	.	.	.	.	1	1	0	1	1	600.3578	0	1	104111
.	.	.	.	.	.	.	.	1	1	0	1	1	268.8698	1	1	104112
.	.	.	.	.	.	.	.	.	.	.	.	.	446.5709	1	.	104113
1	1	1	0	0	0	0	0	1	0	1	.	1	506.8576	0	1	104115
0	0	0	0	0	0	0	0	1	1	1	1	1	529.8341	0	1	104116
1	0	0	0	0	0	0	0	0	0	1	1	1	71.2601	0	1	104117
1	0	0	.	.	0	.	.	0	0	0	0	0	0	.	1	104118
