ID,grading,exam,mark,ASCI1,ASCI2,ASCI3,ASCI4,ASCI5,ASCI6,ASCI7,ASCI8,AMSC01,AMSC02,AMSC03,AMSC04,AMSC05,AMSC06,AMSC07,AMSC08,AMSC09,AMSC10,AMSC11,AMSC12,AMSC13,AMSC14,AMSC15,AMSC16,AMSC17,AMSC18,AMSC19,AMSC20,AMSC21,AMSC22,AMSC23,AMSC24,AMSC25,AMSC26,AMSC27,AMSC28,EBN1,EBN2,EBN3,EBN4,EBN5,EBP1,EBP2,EBP3,EBP4,MSLQ05,MSLQ06,MSLQ12,MSLQ15,MSLQ20,MSLQ21,MSLQ29,MSLQ31,CSC24,CSC28,CSC20,CSC36,CSC16,CSC40,CSC04,CSC12,CSC32,CSC08,Age ,Major,Year,Year_6_TEXT,Credits ,Work ,FirstGen ,Gender ,Gender ,Race ,Race _8_TEXT
T49,trad,54,B-,5,2,2,5,5,5,5,2,3,5,5,2,1,5,5,3,3,5,3,2,5,5,2,4,1,3,1,4,4,2,5,5,4,1,5,5,1,2,2,1,1,4,5,5,4,5,4,5,5,5,5,4,5,4,4,1,4,2,2,1,5,3,1,23,chemical engineering,3,"I changed my major, so by actual time I'm a first semester junior but my class sequence I'm a first semester sophomore.",0,0,0,I am a man,2,7,
T50,trad,56,C,3,5,3,4,2,3,4,5,3,4,4,3,1,3,3,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,1,1,2,1,1,4,5,5,5,3,4,4,3,4,4,4,4,4,2,1,2,3,1,1,4,1,4,20,Pharmacology and Toxicology,3,,0,0,0,"I am gender nonconforming,I am genderqueer or genderfluid","5,6",7,
T51,trad,56,B-,4,4,5,2,2,5,3,5,3,2,2,1,1,2,3,3,2,2,2,1,2,4,4,2,3,1,1,2,3,2,2,4,2,1,2,2,3,2,1,1,3,3,1,4,4,5,4,4,4,4,4,4,3,3,2,1,3,4,1,1,3,2,2,19,Forensic science ,2,,0,0,0,I am a woman,9,7,
T52,trad,60,C+,3,5,3,2,3,5,3,3,4,3,5,5,1,1,1,4,3,5,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,1,4,4,2,1,1,1,1,5,5,5,5,3,4,5,3,4,4,4,4,5,1,1,4,4,2,2,4,4,4,18,chemical engineering,1,,0,0,1,I am a man,2,2,
T53,trad,52,A-,6,2,3,5,4,2,5,3,4,3,5,2,1,4,4,4,3,5,4,1,4,5,4,4,4,2,1,4,5,4,4,4,4,1,4,4,4,2,2,3,1,4,5,5,4,2,2,3,2,2,3,2,2,3,5,3,2,3,3,4,3,3,5,19,pharmacology and toxicology ,2,,0,0,0,I am a woman,9,7,
T54,trad,76,A-,5,3,3,5,2,3,3,5,3,3,5,3,1,3,2,4,3,5,2,1,3,3,4,3,3,3,1,3,2,4,3,5,3,1,3,2,2,3,2,2,2,4,4,5,5,4,4,5,4,4,4,4,4,4,2,1,2,3,1,1,4,4,3,19,Biology,2,,0,0,0,I am a man,2,7,
T55,trad,80,A,6,4,3,2,1,2,3,5,3,4,4,2,1,3,4,4,3,4,3,1,3,4,4,2,3,3,1,3,2,4,3,4,3,1,3,3,2,1,1,1,1,4,5,4,2,3,4,5,4,3,3,4,4,3,4,2,3,3,1,2,4,3,3,19,Chemistry,2,,0,0,0,I am a man,2,7,
T56,trad,86,A,5,5,5,4,4,6,4,4,2,3,4,2,1,4,4,4,3,4,3,1,3,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,3,1,1,2,3,5,5,5,4,3,2,4,3,3,3,2,4,2,3,2,2,2,3,2,3,3,4,19,Biochemistry,2,,0,0,0,I am a woman,9,1,
T57,trad,60,B,6,3,4,5,4,2,4,6,4,4,3,1,1,3,2,3,2,4,3,4,4,2,4,3,1,2,1,2,1,2,3,4,2,1,2,3,5,1,2,4,2,3,4,4,3,3,2,4,2,2,2,3,2,3,5,5,2,2,4,4,3,2,1,20,Plant Science,3,,0,1,0,I am a man,2,7,
T58,trad,72,A,5,4,3,3,2,2,4,5,4,4,5,3,1,5,5,5,4,5,3,1,4,4,5,4,5,3,1,4,5,5,4,5,4,2,3,5,4,2,1,2,2,2,5,5,4,3,3,4,3,4,3,3,4,3,4,2,3,3,2,1,4,2,1,19,Chemical Engineering,2,,0,0,0,I am a woman,9,7,
