     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000  9999.000     0.000     0.000     0.000     0.000    69.230    69.340    81.660    74.150     0.000     0.000    70.050    78.520    78.770     2.000  3819.000     0.000     0.118     0.461     0.422     3.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000    65.200    61.710    70.000    59.840     0.000     0.000    59.360    72.060    75.050     1.000  5881.000     0.975     0.004     0.021     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    66.080    60.920    82.120    73.850     1.000     1.000    61.660    70.000    90.010     4.000  5278.000     0.000     0.042     0.458     0.499     4.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000  9999.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000    65.750    58.800    76.040    73.940     1.000     0.000    69.870    74.470    80.020     1.000  6693.000     0.761     0.007     0.232     0.000     1.000
     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    63.880    58.530    78.310    57.670     1.000     0.000    64.220    61.900    79.070     2.000  4294.000     0.000     0.331     0.086     0.583     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000    62.040    59.650    72.380    65.820     1.000     0.000    60.130  9999.000    84.560     1.000  5682.000     0.000     0.000     0.999     0.001     3.000
     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000    56.930    58.050    66.640    65.220     1.000     0.000    59.610    64.520    69.560     4.000  2630.000     0.000     0.006     0.015     0.978     4.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    48.320    49.960    65.590    65.320     1.000     0.000    55.060    63.960    75.090     4.000  6080.000     0.000     0.012     0.036     0.951     4.000
     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    63.860    58.220    66.480    65.250     1.000     0.000    61.990    62.710    69.110     4.000  1730.000     0.000     0.979     0.018     0.003     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    62.210    49.730    67.680    64.780     1.000     0.000    60.090    63.670    69.660     2.000  5280.000     0.000     0.991     0.009     0.000     2.000
