     1.000     0.000     1.000     0.000     0.000     0.002     0.935     0.052     0.010     2.000 1112
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1113
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1114
     0.000     1.000     1.000     0.000     0.000     0.014     0.928     0.056     0.002     2.000 1115
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1118
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1121
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1123
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1125
     1.000     0.000     0.000     0.000     0.000     0.000     0.146     0.064     0.790     4.000 1128
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1132
     0.000     0.000     1.000     0.000         *     0.012     0.782     0.177     0.029     2.000 1133
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1135
     1.000     1.000     1.000     1.000     0.000     0.478     0.409     0.113     0.000     1.000 1139
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1140
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1141
     1.000     1.000     0.000     1.000     1.000     0.270     0.010     0.720     0.000     3.000 1142
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1143
     1.000     0.000     0.000     0.000     0.000     0.000     0.146     0.064     0.790     4.000 1146
     1.000     1.000     0.000     1.000     1.000     0.270     0.010     0.720     0.000     3.000 1147
     0.000     1.000     0.000     0.000     1.000     0.020     0.057     0.923     0.000     3.000 1148
     1.000     0.000         *     1.000     1.000     0.331     0.044     0.625     0.000     3.000 1149
     1.000     0.000     1.000     0.000     1.000     0.157     0.290     0.552     0.000     3.000 1154
     1.000     0.000     0.000     1.000     0.000     0.001     0.286     0.440     0.273     3.000 1155
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1156
     1.000     1.000     1.000     0.000     0.000     0.062     0.869     0.068     0.000     2.000 1157
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1158
     1.000     0.000     0.000     1.000     1.000     0.016     0.018     0.966     0.000     3.000 1161
     0.000     1.000     1.000     0.000     0.000     0.014     0.928     0.056     0.002     2.000 1164
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1166
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1167
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1168
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1171
     0.000     1.000     0.000     0.000     0.000     0.001     0.406     0.192     0.401     2.000 1172
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1173
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1175
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1178
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1179
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1183
     1.000     0.000     1.000     0.000     0.000     0.002     0.935     0.052     0.010     2.000 1184
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1185
     1.000     0.000     1.000     1.000     0.000     0.029     0.810     0.160     0.002     2.000 1187
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1188
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1189
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1190
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1191
     0.000     1.000     1.000     0.000     0.000     0.014     0.928     0.056     0.002     2.000 1192
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1197
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1198
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1200
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1201
     1.000     0.000     0.000     0.000     1.000     0.003     0.063     0.934     0.000     3.000 1203
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1204
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1207
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1210
     1.000     0.000     1.000     0.000     1.000     0.157     0.290     0.552     0.000     3.000 1212
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1214
     1.000     1.000     1.000     0.000     0.000     0.062     0.869     0.068     0.000     2.000 1216
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1220
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1222
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1224
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1225
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1226
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1229
     0.000     0.000     1.000     1.000     1.000     0.231     0.124     0.644     0.000     3.000 1230
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1232
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1234
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1235
     0.000     0.000     1.000     0.000     1.000     0.044     0.387     0.569     0.000     3.000 1237
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1241
     1.000     0.000     0.000     1.000     0.000     0.001     0.286     0.440     0.273     3.000 1242
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1244
     0.000     1.000     0.000     1.000     0.000     0.008     0.348     0.583     0.061     3.000 1245
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1246
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1248
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1250
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1251
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1254
     1.000     1.000     0.000     0.000     1.000     0.072     0.042     0.886     0.000     3.000 1255
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1258
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1265
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1266
     1.000     1.000     0.000     1.000     1.000     0.270     0.010     0.720     0.000     3.000 1269
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1271
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1272
     0.000     0.000     1.000     0.000     1.000     0.044     0.387     0.569     0.000     3.000 1274
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1276
         *     0.000     1.000     0.000     0.000     0.001     0.926     0.045     0.028     2.000 1280
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1282
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1283
     1.000     1.000     1.000         *         *     0.877     0.072     0.051     0.000     1.000 1286
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1287
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1288
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1289
     1.000     1.000     1.000     0.000     0.000     0.062     0.869     0.068     0.000     2.000 1290
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1291
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1292
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1293
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1296
     0.000     0.000     1.000     0.000     1.000     0.044     0.387     0.569     0.000     3.000 1297
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1298
     0.000     0.000     0.000     1.000     0.000     0.000     0.171     0.203     0.627     4.000 1302
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1306
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1308
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1310
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1311
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1313
     1.000     1.000     1.000     1.000     0.000     0.478     0.409     0.113     0.000     1.000 1314
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1315
     0.000     1.000         *         *     1.000     0.660     0.040     0.300     0.000     1.000 1317
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1319
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1325
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1327
     0.000     0.000     0.000     0.000     1.000     0.001     0.080     0.919     0.000     3.000 1328
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1330
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1333
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1334
     0.000     0.000     0.000         *     0.000     0.000     0.056     0.032     0.911     4.000 1336
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1337
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1338
     1.000     1.000     1.000     1.000     0.000     0.478     0.409     0.113     0.000     1.000 1339
     1.000     0.000     0.000     0.000     0.000     0.000     0.146     0.064     0.790     4.000 1343
     1.000     0.000     0.000     0.000     0.000     0.000     0.146     0.064     0.790     4.000 1344
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1346
     1.000     0.000     1.000     1.000     0.000     0.029     0.810     0.160     0.002     2.000 1350
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1352
     0.000     0.000     0.000     1.000     1.000     0.004     0.024     0.972     0.000     3.000 1353
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1354
