1	1	1	1	1	0.965	0.003	0.032	0	1	1007	1	1	1	1	1	0.982	0.008	0.01	0	1
1	1	0	1	1	0.27	0.01	0.72	0	3	1008	0	0	0	0	0	0	0.031	0	0.969	4
1	1	1	1	1	0.965	0.003	0.032	0	1	1009	0	0	0	0	0	0	0.031	0	0.969	4
0	1	0	0	0	0.001	0.406	0.192	0.401	2	1010	0	0	0	0	0	0	0.031	0	0.969	4
1	1	1	1	1	0.965	0.003	0.032	0	1	1011	1	1	1	1	1	0.982	0.008	0.01	0	1
0	0	0	1	1	0.004	0.024	0.972	0	3	1012	0	0	0	0	0	0	0.031	0	0.969	4
1	1	1	1	1	0.965	0.003	0.032	0	1	1013	1	1	1	1	1	0.982	0.008	0.01	0	1
1	1	1	1	1	0.965	0.003	0.032	0	1	1014	1	1	1	1	1	0.982	0.008	0.01	0	1
1	1	1	1	0	0.478	0.409	0.113	0	1	1016	1	1	1	1	1	0.982	0.008	0.01	0	1
0	0	0	0	0	0	0.045	0.015	0.94	4	1018	0	0	0	0	0	0	0.031	0	0.969	4
1	1	1	1	1	0.965	0.003	0.032	0	1	1019	1	1	1	1	1	0.982	0.008	0.01	0	1
1	1	1	1	1	0.965	0.003	0.032	0	1	1020	1	1	1	0	1	0.801	0.157	0.042	0	1
1	1	1	0	0	0.062	0.869	0.068	0	2	1021	0	0	0	0	1	0.001	0.192	0.808	0	3
0	0	1	0	0	0	0.92	0.04	0.04	2	1025	1	1	1	0	0	0.037	0.961	0	0.002	2
1	1	1	0	1	0.827	0.047	0.126	0	1	1026	1	1	1	0	1	0.801	0.157	0.042	0	1
1	1	1	0	1	0.827	0.047	0.126	0	1	1027	0	0	0	0	0	0	0.031	0	0.969	4
0	0	0	1	1	0.004	0.024	0.972	0	3	1028	1	0	1	0	0	0.002	0.88	0	0.117	2
0	1	0	1	1	0.091	0.016	0.893	0	3	1029	1	0	0	0	0	0	0.173	0	0.827	4
0	1	1	1	1	0.879	0.015	0.106	0	1	1033	1	1	1	1	1	0.982	0.008	0.01	0	1
1	1	0	0	0	0.004	0.533	0.327	0.136	2	1036	0	0	0	0	0	0	0.031	0	0.969	4
0	0	1	1	1	0.231	0.124	0.644	0	3	1037	1	0	1	1	1	0.67	0.074	0.256	0	1
1	1	1	1	1	0.965	0.003	0.032	0	1	1038	1	0	1	1	1	0.67	0.074	0.256	0	1
0	0	0	0	0	0	0.045	0.015	0.94	4	1040	0	0	0	0	0	0	0.031	0	0.969	4
1	1	1	1	1	0.965	0.003	0.032	0	1	1042	1	0	1	0	1	0.178	0.476	0.347	0	2
0	0	1	0	0	0	0.92	0.04	0.04	2	1043	0	0	0	1	0	0	0.175	0	0.825	4
0	1	1	1	1	0.879	0.015	0.106	0	1	1045	1	1	1	1	1	0.982	0.008	0.01	0	1
0	1	1	0	0	0.014	0.928	0.056	0.002	2	1048	1	1	1	0	1	0.801	0.157	0.042	0	1
0	0	1	1	0	0.006	0.857	0.13	0.007	2	1049	0	0	1	0	1	0.04	0.647	0.313	0	2
1	1	1	1	1	0.965	0.003	0.032	0	1	1052	0	0	0	0	0	0	0.031	0	0.969	4
0	1	1	0	0	0.014	0.928	0.056	0.002	2	1054	1	0	1	0	0	0.002	0.88	0	0.117	2
1	0	0	0	0	0	0.146	0.064	0.79	4	1055	0	0	0	0	0	0	0.031	0	0.969	4
0	0	0	0	0	0	0.045	0.015	0.94	4	1056	0	0	0	0	0	0	0.031	0	0.969	4
0	0	0	0	0	0	0.045	0.015	0.94	4	1058	0	0	0	0	0	0	0.031	0	0.969	4
0	1	1	1	1	0.879	0.015	0.106	0	1	1059	0	0	1	0	0	0	0.534	0	0.466	2
