     0.000     0.000     0.000     0.000     0.000     1.000     0.000    52.190     0.992     0.000     0.008     0.000     1.000
         *         *         *         *         *     0.000     0.000    43.030     0.336     0.147     0.327     0.189     1.000
         *         *         *         *         *         *     1.000         *     0.184     0.496     0.117     0.203     2.000
         *         *         *         *         *     1.000     0.000    54.130     0.174     0.493     0.212     0.121     2.000
         *         *         *         *         *         *     0.000         *     0.177     0.501     0.195     0.127     2.000
     1.000     1.000     1.000     0.000     0.000         *     0.000         *     0.004     0.046     0.950     0.000     3.000
     0.000     0.000     0.000     0.000     0.000         *     0.000         *     0.992     0.000     0.008     0.000     1.000
         *         *         *         *         *         *     1.000    51.180     0.238     0.371     0.151     0.240     2.000
     0.000     1.000     1.000     1.000     1.000     1.000     1.000    48.000     0.005     0.584     0.003     0.408     2.000
     0.000     0.000     0.000     0.000     0.000         *     0.000    40.280     0.992     0.000     0.008     0.000     1.000
     0.000     0.000     1.000     1.000     1.000         *     0.000         *     0.053     0.031     0.001     0.915     4.000
     0.000     0.000     1.000     1.000     1.000     1.000     1.000    51.630     0.040     0.018     0.001     0.942     4.000
     0.000     1.000     0.000     0.000     1.000     1.000     0.000    36.560     0.632     0.020     0.034     0.314     1.000
     0.000     0.000     0.000     0.000     1.000     1.000     1.000    44.120     0.797     0.000     0.001     0.202     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000         *     0.000     0.973     0.002     0.025     2.000
     1.000     1.000     0.000     1.000     0.000     1.000     0.000    34.690     0.051     0.053     0.897     0.000     3.000
     0.000     1.000     1.000     1.000     1.000     1.000     1.000    56.130     0.003     0.684     0.002     0.311     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000         *     0.000     0.926     0.003     0.070     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     0.000    71.460     0.003     0.151     0.846     0.000     3.000
     0.000     0.000     0.000     0.000     1.000     1.000     0.000    42.400     0.861     0.000     0.001     0.137     1.000
     0.000     0.000     1.000     0.000     1.000         *     0.000         *     0.342     0.009     0.007     0.642     4.000
         *         *         *         *         *     1.000     1.000    49.110     0.224     0.408     0.159     0.209     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000         *     0.005     0.090     0.905     0.000     3.000
     1.000     0.000     0.000         *     1.000     0.000     1.000    36.610     0.289     0.003     0.011     0.697     4.000
     1.000     0.000     1.000     0.000     1.000         *     0.000         *     0.084     0.130     0.105     0.680     4.000
