0	0	1	1	1	0	0	71.05	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
0	1	1	1	1	0	1	68.89	-0.097	0.006	-0.019	1.11	0.05	0.002	0.159	0.789	4
1	0	1	1	1	1	.	.	-0.097	0.006	-0.019	1.11	0.104	0.004	0.21	0.682	4
0	0	1	.	1	1	0	71	-0.138	-0.182	1.544	-0.224	0.03	0.092	0.831	0.047	3
1	1	1	1	1	1	.	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	0	1	1	1	1	1	59.3	-0.097	0.006	-0.019	1.11	0.104	0.004	0.21	0.682	4
1	1	1	1	1	1	.	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	0	1	1	1	66.62	1.201	-0.049	-0.025	-0.127	0.688	0.001	0.015	0.296	1
1	1	1	1	0	0	.	.	1.201	-0.049	-0.025	-0.127	0.825	0.002	0	0.174	1
1	1	0	1	1	1	0	60.2	-0.097	0.006	-0.019	1.11	0.152	0.003	0.063	0.782	4
1	1	1	1	1	1	1	63.59	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
0	0	0	0	0	1	1	63.82	-0.079	1.196	-0.146	0.028	0.005	0.995	0	0	2
1	1	1	1	1	1	1	56.01	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
0	0	0	0	0	1	.	.	-0.079	1.196	-0.146	0.028	0.005	0.995	0	0	2
0	0	0	0	1	1	1	64.2	-0.079	1.196	-0.146	0.028	0.007	0.544	0.448	0	2
0	0	0	1	0	1	.	.	-0.079	1.196	-0.146	0.028	0.011	0.989	0	0	2
1	1	1	1	1	0	.	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	1	59.84	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	0	0	1	79.18	1.201	-0.049	-0.025	-0.127	0.825	0.002	0	0.174	1
1	1	1	1	1	0	1	55.87	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	1	1	66.97	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	0	1	1	0	47.17	1.201	-0.049	-0.025	-0.127	0.688	0.001	0.015	0.296	1
0	0	1	1	1	1	1	56.88	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
1	1	0	1	1	1	0	46.53	-0.097	0.006	-0.019	1.11	0.152	0.003	0.063	0.782	4
1	1	1	1	1	0	1	54.62	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	1	57.14	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	0	1	0	0	1	1	42.69	1.201	-0.049	-0.025	-0.127	0.822	0.177	0	0.001	1
1	1	1	1	1	1	0	64.58	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
0	0	1	1	1	0	1	41.55	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
1	1	1	1	1	0	.	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	0	0	.	.	1.201	-0.049	-0.025	-0.127	0.825	0.002	0	0.174	1
0	1	0	1	0	1	.	53.38	-0.079	1.196	-0.146	0.028	0.329	0.655	0	0.016	2
0	0	1	1	1	0	0	54.76	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
1	1	1	1	1	1	.	55.78	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	1	1	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	1	44.57	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	1	36.1	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	0	0	1	1	49.24	1.201	-0.049	-0.025	-0.127	0.991	0.005	0	0.005	1
1	1	1	1	1	0	.	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	.	46.37	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	1	1	49.26	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
1	1	1	1	1	0	0	.	-0.097	0.006	-0.019	1.11	0.051	0	0.005	0.944	4
0	1	0	1	1	0	0	43.03	-0.138	-0.182	1.544	-0.224	0.051	0.041	0.684	0.224	3
1	1	0	1	1	0	1	.	-0.097	0.006	-0.019	1.11	0.152	0.003	0.063	0.782	4
1	0	1	1	1	1	0	71.11	-0.097	0.006	-0.019	1.11	0.104	0.004	0.21	0.682	4
0	0	0	0	0	0	1	52.19	-0.079	1.196	-0.146	0.028	0.005	0.995	0	0	2
1	1	1	0	0	0	.	.	1.201	-0.049	-0.025	-0.127	0.991	0.005	0	0.005	1
0	0	0	0	0	0	.	.	-0.079	1.196	-0.146	0.028	0.005	0.995	0	0	2
0	1	1	1	1	1	1	48	-0.097	0.006	-0.019	1.11	0.05	0.002	0.159	0.789	4
0	0	0	0	0	0	.	40.28	-0.079	1.196	-0.146	0.028	0.005	0.995	0	0	2
0	0	1	1	1	0	.	.	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
0	0	1	1	1	1	1	51.63	-0.138	-0.182	1.544	-0.224	0.014	0.025	0.886	0.076	3
0	1	0	0	1	0	1	36.56	-0.138	-0.182	1.544	-0.224	0.177	0.28	0.526	0.018	3
