3819	0	1	0	1	1	1	0	0	0	0	0	0	70.05	78.52	78.77	0	0.946	0.049	0.005	2	0	1	1	1	0	1	0	0	.	0	0	0	70.05	78.52	78.77	0	0.459	0.495	0.045	3	0	1	1	0	0	1	0	0	0	0	0	0	70.05	78.52	78.77	0	0.532	0.086	0.382	2
5881	1	1	1	1	1	1	1	1	1	1	0	0	59.36	72.06	75.05	0.998	0	0.002	0	1	0	1	1	1	1	0	0	1	1	1	0	0	59.36	72.06	75.05	0.651	0.138	0.211	0	1	1	1	1	1	1	1	0	1	1	1	0	0	59.36	72.06	75.05	0.975	0.018	0.007	0	1
1435	1	0	0	0	0	0	0	0	0	0	0	1	68.47	.	.	0	0.003	0.008	0.99	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5278	0	0	0	0	0	0	0	0	0	0	1	1	61.66	70	90.01	0	0.001	0.003	0.996	4	0	0	1	0	0	0	0	0	0	0	1	1	61.66	70	90.01	0	0.003	0.02	0.978	4	1	0	1	0	0	0	0	1	0	0	1	1	61.66	70	90.01	0	0.575	0.034	0.391	2
6693	1	1	.	1	1	1	1	0	0	1	0	1	69.87	74.47	80.02	0.642	0.198	0.16	0	1	1	1	1	1	1	1	1	1	1	1	0	1	69.87	74.47	80.02	0.998	0	0.002	0	1	1	1	1	0	1	1	1	1	0	1	0	1	69.87	74.47	80.02	0.733	0.261	0.006	0	1
4294	1	0	1	1	1	0	0	0	0	0	0	1	64.22	61.9	79.07	0	0.97	0.022	0.008	2	0	0	1	1	1	0	0	0	0	0	0	1	64.22	61.9	79.07	0	0.84	0.07	0.09	2	0	1	0	0	1	0	0	0	0	0	0	1	64.22	61.9	79.07	0	0.074	0.386	0.541	4
5682	1	1	1	1	0	0	0	0	0	0	0	1	60.13	.	84.56	0	0.925	0.055	0.02	2	1	1	1	1	1	1	1	1	1	1	0	1	60.13	.	84.56	0.998	0	0.002	0	1	0	0	0	0	0	0	1	1	1	1	0	1	60.13	.	84.56	0	0.999	0	0	2
6485	1	1	1	1	1	1	0	0	0	1	0	0	60.66	72.15	.	0.046	0.885	0.069	0	2	1	1	1	1	1	1	0	0	0	0	0	0	60.66	72.15	.	0.001	0.973	0.025	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4938	0	1	1	1	1	1	1	1	0	1	0	0	71.66	86.79	.	0.904	0.012	0.085	0	1	0	1	0	1	0	1	0	0	.	0	0	0	71.66	86.79	.	0	0.263	0.404	0.333	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6080	0	1	1	0	1	0	0	0	0	0	0	1	55.06	63.96	75.09	0	0.905	0.064	0.031	2	0	0	0	0	1	0	0	0	0	0	0	1	55.06	63.96	75.09	0	0.021	0.017	0.961	4	1	0	1	0	0	0	0	0	0	0	0	1	55.06	63.96	75.09	0	0.04	0.011	0.949	4
1730	0	0	0	1	0	0	0	0	0	0	0	1	61.99	62.71	69.11	0	0.017	0.016	0.967	4	0	0	1	1	0	0	0	0	0	0	0	1	61.99	62.71	69.11	0	0.074	0.08	0.845	4	0	1	1	1	1	0	0	0	0	0	0	1	61.99	62.71	69.11	0	0.019	0.978	0.003	3
5280	1	1	1	0	1	0	0	0	0	0	0	1	60.09	63.67	69.66	0	0.963	0.03	0.006	2	1	1	1	1	1	1	0	1	0	0	0	1	60.09	63.67	69.66	0.037	0.864	0.099	0	2	1	1	1	1	1	0	0	0	0	0	0	1	60.09	63.67	69.66	0	0.008	0.991	0.001	3
2204	1	1	1	1	1	1	1	1	1	1	0	1	58.98	65.77	.	0.998	0	0.002	0	1	0	0	1	1	0	1	1	1	1	0	0	1	58.98	65.77	.	0.008	0.002	0.991	0	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6715	0	1	0	1	0	0	0	0	1	0	1	1	57.98	68.85	78.24	0	0.483	0.394	0.123	2	0	1	1	0	1	1	0	0	0	0	1	1	57.98	68.85	78.24	0	0.693	0.283	0.023	2	0	1	0	1	1	.	.	.	.	.	1	1	57.98	68.85	78.24	0.134	0.243	0.612	0.011	3
6821	1	1	1	1	1	1	1	1	0	1	0	0	47.49	56.32	.	0.972	0.007	0.021	0	1	1	0	1	0	0	0	0	0	0	0	0	0	47.49	56.32	.	0	0.013	0.043	0.944	4	1	0	1	0	0	0	0	0	0	0	0	0	47.49	56.32	.	0	0.04	0.011	0.949	4
2041	1	1	1	1	1	1	1	1	1	1	0	0	55.03	54.26	68.9	0.998	0	0.002	0	1	1	1	1	1	0	1	1	1	1	0	0	0	55.03	54.26	68.9	0.363	0.011	0.626	0	3	1	1	1	0	1	1	1	1	0	1	0	0	55.03	54.26	68.9	0.733	0.261	0.006	0	1
4888	1	1	1	1	1	1	1	1	0	1	1	0	66.3	82.49	91.44	0.972	0.007	0.021	0	1	1	1	0	0	1	1	1	0	0	1	1	0	66.3	82.49	91.44	0.027	0.078	0.895	0	3	1	0	0	0	1	1	0	1	0	1	1	0	66.3	82.49	91.44	0.001	0.965	0.031	0.003	2
6611	1	1	1	1	1	1	0	1	0	0	0	1	50.04	.	66.01	0.025	0.911	0.064	0	2	0	1	1	0	1	1	0	0	0	0	0	1	50.04	.	66.01	0	0.693	0.283	0.023	2	0	1	1	1	1	0	0	1	0	0	0	1	50.04	.	66.01	0.002	0.079	0.919	0	3
6800	0	1	0	1	1	0	0	0	0	0	1	1	50.1	55.21	59.19	0	0.973	0.014	0.013	2	1	1	0	0	0	0	0	0	0	0	1	1	50.1	55.21	59.19	0	0.039	0.037	0.923	4	0	0	1	0	0	0	0	0	0	0	1	1	50.1	55.21	59.19	0	0.018	0.002	0.98	4
6469	1	1	.	1	1	1	1	0	1	1	0	0	46.64	54.22	61.16	0.97	0.007	0.023	0	1	1	1	1	1	1	1	1	1	1	1	0	0	46.64	54.22	61.16	0.998	0	0.002	0	1	1	1	1	1	1	1	1	1	1	1	0	0	46.64	54.22	61.16	0.998	0.002	0	0	1
6115	1	0	0	1	1	1	1	1	0	1	1	1	40.12	.	.	0.182	0.035	0.782	0	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3803	1	1	0	1	1	0	.	1	0	0	0	1	55.69	.	64.75	0.002	0.951	0.047	0	2	1	0	0	0	0	0	0	0	0	0	0	1	55.69	.	64.75	0	0.001	0.005	0.994	4	1	0	1	1	1	1	0	1	1	1	0	1	55.69	.	64.75	0.745	0.237	0.017	0	1
4168	0	0	0	1	1	1	0	0	0	0	0	0	47.3	36.89	57.4	0	0.683	0.175	0.142	2	0	0	0	0	0	1	0	0	0	0	0	0	47.3	36.89	57.4	0	0.001	0.02	0.98	4	0	0	0	0	0	0	0	0	0	0	0	0	47.3	36.89	57.4	0	0.002	0	0.998	4
4618	1	1	1	1	1	1	0	1	1	1	0	0	49.28	31.45	.	0.969	0.013	0.019	0	1	1	1	1	1	1	1	1	1	1	1	0	0	49.28	31.45	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5374	1	1	1	1	1	1	0	0	0	0	1	1	44.11	.	.	0.001	0.983	0.016	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5353	1	0	1	1	1	1	0	1	.	0	0	0	51.78	62.25	.	0.032	0.65	0.318	0	2	1	1	1	1	1	1	0	0	0	0	0	0	51.78	62.25	.	0.001	0.973	0.025	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4533	1	0	1	0	1	1	0	0	0	0	1	0	47.81	43.23	.	0	0.606	0.332	0.063	2	1	1	1	1	1	1	1	1	1	1	1	0	47.81	43.23	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2417	1	1	1	0	0	1	1	0	0	0	1	1	49.73	61.09	67.63	0	0.07	0.925	0.005	3	1	0	0	0	0	0	0	0	0	0	1	1	49.73	61.09	67.63	0	0.001	0.005	0.994	4	1	1	0	1	1	0	0	0	0	0	1	1	49.73	61.09	67.63	0	0.012	0.98	0.008	3
6901	1	1	0	0	1	1	0	1	0	0	1	1	47.33	54.61	.	0.001	0.589	0.408	0.002	2	1	1	1	1	0	1	0	1	0	0	1	1	47.33	54.61	.	0.004	0.399	0.596	0.001	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3094	1	1	1	1	1	1	1	1	1	1	0	0	42.58	46.75	.	0.998	0	0.002	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42.58	46.75	.	0	0	0.002	0.998	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1976	1	1	1	1	1	1	1	1	1	1	0	0	48.33	46.61	.	0.998	0	0.002	0	1	1	.	.	.	.	.	.	.	.	.	0	0	48.33	46.61	.	0.439	0.27	0.189	0.102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2319	1	1	1	1	1	0	1	1	1	1	0	0	36.17	.	.	0.99	0.002	0.008	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5373	1	1	1	1	1	1	1	1	1	1	0	1	67.35	78.21	.	0.998	0	0.002	0	1	0	1	1	1	1	1	1	1	1	1	0	1	67.35	78.21	.	0.991	0	0.009	0	1	0	0	1	1	1	1	0	1	0	0	0	1	67.35	78.21	.	0.003	0.596	0.398	0.003	2
1033	0	1	1	1	1	1	0	1	0	1	0	0	44.24	45.14	52.57	0.338	0.372	0.291	0	2	1	1	1	1	1	1	1	1	0	1	0	0	44.24	45.14	52.57	0.974	0.004	0.022	0	1	0	1	1	1	1	1	1	1	1	1	0	0	44.24	45.14	52.57	0.991	0.009	0	0	1
2418	0	1	1	1	0	0	0	1	0	0	.	0	43.59	.	27.01	0	0.623	0.368	0.009	2	0	0	0	0	0	0	0	0	0	0	.	0	43.59	.	27.01	0	0	0.002	0.998	4	0	0	0	0	0	0	0	0	0	0	.	0	43.59	.	27.01	0	0.002	0	0.998	4
5318	0	1	1	1	0	0	1	0	1	0	0	1	.	.	.	0.004	0.159	0.837	0.001	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2212	0	0	0	0	0	0	0	0	0	0	0	0	40.21	.	.	0	0.001	0.003	0.996	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4916	0	1	1	1	1	1	0	0	1	1	0	1	49.85	.	.	0.405	0.338	0.257	0	1	1	1	1	1	1	0	1	1	1	1	0	1	49.85	.	.	0.991	0.001	0.008	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2310	1	1	0	1	0	0	0	0	0	0	1	1	52.57	55.21	56.85	0	0.733	0.062	0.205	2	0	1	0	0	0	0	0	0	0	0	1	1	52.57	55.21	56.85	0	0.008	0.017	0.974	4	1	1	0	0	1	0	0	0	0	0	1	1	52.57	55.21	56.85	0	0.062	0.736	0.202	3
1382	1	1	0	1	0	0	0	0	0	0	1	0	35.06	48.05	.	0	0.733	0.062	0.205	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1656	1	1	1	1	1	1	1	1	1	1	1	1	46.66	.	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2407	1	0	0	1	1	0	0	0	0	0	0	1	57.68	.	.	0	0.879	0.028	0.093	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4924	1	1	1	1	1	1	1	1	1	0	0	0	57.58	71.65	.	0.964	0.01	0.026	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4853	1	1	0	1	1	1	1	1	1	1	0	1	36.78	43.51	50.27	0.975	0.001	0.024	0	1	1	1	1	1	1	1	1	1	1	1	0	1	36.78	43.51	50.27	0.998	0	0.002	0	1	0	1	0	0	0	0	1	0	0	0	0	1	36.78	43.51	50.27	0	0.386	0.017	0.597	4
2834	1	1	0	0	1	1	1	1	1	1	1	1	44.06	39.89	36.18	0.705	0.002	0.293	0	1	1	0	1	0	0	0	0	1	0	1	1	1	44.06	39.89	36.18	0	0.014	0.967	0.019	3	1	1	1	0	0	0	0	0	1	1	1	1	44.06	39.89	36.18	0.002	0.937	0.058	0.004	2
3830	1	1	1	0	0	0	0	0	1	1	1	0	36.86	57.5	.	0.002	0.105	0.892	0.002	3	1	1	1	1	1	1	1	1	1	1	1	0	36.86	57.5	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5401	0	1	1	1	1	0	0	0	1	0	0	1	57.84	.	.	0.001	0.956	0.042	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6085	0	1	1	1	1	0	1	1	1	1	1	0	41.62	46.97	.	0.963	0.004	0.033	0	1	1	1	1	1	1	1	1	1	1	1	1	0	41.62	46.97	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2132	1	0	0	0	1	0	0	0	1	1	1	1	35.41	48.57	37.24	0	0.176	0.807	0.017	3	0	1	1	1	1	1	1	0	0	0	1	1	35.41	48.57	37.24	0.035	0.625	0.339	0	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2561	1	1	1	1	1	0	1	1	1	1	1	1	32.04	.	51.34	0.99	0.002	0.008	0	1	1	1	1	1	1	1	1	1	1	1	1	1	32.04	.	51.34	0.998	0	0.002	0	1	1	1	1	1	1	1	1	1	1	1	1	1	32.04	.	51.34	0.998	0.002	0	0	1
3882	1	1	0	1	1	1	1	0	1	1	1	1	60.08	82.14	79.43	0.812	0.035	0.153	0	1	1	1	1	1	1	1	1	1	1	1	1	1	60.08	82.14	79.43	0.998	0	0.002	0	1	1	1	1	0	1	1	1	1	0	1	1	1	60.08	82.14	79.43	0.733	0.261	0.006	0	1
6809	1	1	1	0	1	0	0	0	0	0	0	0	42.35	.	.	0	0.963	0.03	0.006	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4501	1	0	0	1	1	0	1	1	1	0	1	1	39.9	.	80.4	0.039	0.148	0.813	0	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	1	1	0	1	1	1	0	1	1	39.9	.	80.4	0.854	0.087	0.059	0	1
1024	1	0	0	0	0	1	0	0	1	1	0	0	39.06	.	.	0	0.005	0.978	0.018	3	0	1	1	1	1	1	1	1	0	1	0	0	39.06	.	.	0.905	0.007	0.087	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2651	1	1	1	1	1	1	1	1	0	0	0	1	37.75	49.83	.	0.581	0.254	0.165	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5819	1	1	1	1	1	1	1	0	1	1	0	0	40.29	48.71	.	0.979	0.005	0.016	0	1	1	1	1	0	1	0	0	1	0	1	0	0	40.29	48.71	.	0.039	0.459	0.502	0	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5031	0	.	1	1	1	0	0	0	1	0	1	0	55.28	73.48	80.76	0.001	0.931	0.067	0.001	2	0	1	1	1	0	1	1	1	0	0	1	0	55.28	73.48	80.76	0.012	0.031	0.957	0	3	0	1	1	1	1	0	1	1	1	0	1	0	55.28	73.48	80.76	0.634	0.282	0.084	0	1
3409	1	1	1	1	1	1	1	1	0	0	0	0	41.37	.	.	0.581	0.254	0.165	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5326	1	1	1	1	1	1	1	1	1	1	0	0	47.01	.	.	0.998	0	0.002	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1697	1	1	1	1	1	1	1	1	1	1	1	0	54.29	55.44	67.69	0.998	0	0.002	0	1	1	1	1	1	1	1	1	1	1	1	1	0	54.29	55.44	67.69	0.998	0	0.002	0	1	0	0	1	0	1	0	0	1	0	1	1	0	54.29	55.44	67.69	0.001	0.928	0.065	0.005	2
