stu_id,strat_id,psu,bys87a,bys87c,bys87f,bys89a,bys89b,bys89l,bys89r,bys89u,f1s18a,f1s18b,f1s18c,f1s18d,f1s18e,bys70a,bys70b,bys70c,bys70d,bystlang,bytm12b,bysex,byrace_r,byses2qu,f3onet2curr,f3onet6curr,f3bytscwt,school
101101,101,1,3,3,3,2,1,2,2,1,3,2,2,2,3,-3,-3,-3,-3,1,0,2,-5,2,43,-5,196.375,1011
101102,101,1,2,2,2,4,3,4,4,4,3,3,3,3,3,1,1,1,1,0,-3,2,-5,4,29,-5,28.6822,1011
101104,101,1,3,3,3,3,2,2,3,2,2,3,3,2,2,-3,-3,-3,-3,1,-3,2,-5,1,27,-5,666.7643,1011
101105,101,1,2,2,1,4,3,3,3,4,3,2,2,3,4,-3,-3,-3,-3,1,-3,2,-5,1,39,-5,271.4467,1011
101106,101,1,2,2,2,2,2,3,3,3,3,3,3,4,4,1,1,1,1,0,-3,2,-5,1,29,-5,170.8671,1011
101107,101,1,2,2,1,2,2,3,3,-9,-8,-8,-8,-8,-8,1,1,1,1,0,0,1,-5,1,-9,-5,258.123,1011
101108,101,1,2,3,3,2,1,2,3,3,2,2,2,3,3,-3,-3,-3,-3,1,0,1,-5,3,53,-5,202.8046,1011
101109,101,1,2,3,1,4,3,3,3,3,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-3,1,-5,2,13,-5,751.2914,1011
101110,101,1,2,3,2,3,3,3,3,3,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-9,1,-5,1,-4,-5,0,1011
101111,101,1,2,3,1,4,3,3,3,3,2,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,1,33,-5,280.6561,1011
101112,101,1,2,3,2,1,2,2,2,1,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,2,55,-5,73.7161,1011
101113,101,1,2,2,2,2,2,1,1,1,4,4,4,4,4,1,1,1,1,0,0,2,-5,3,53,-5,185.7237,1011
101114,101,1,2,3,2,2,2,2,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,1,39,-5,239.2099,1011
101115,101,1,2,2,2,2,2,3,3,3,3,3,3,4,3,-3,-3,-3,-3,1,1,1,-5,1,43,-5,39.5646,1011
101116,101,1,4,4,4,4,3,3,4,4,2,2,2,2,3,-3,-3,-3,-3,1,-3,1,-5,4,55,-5,31.2373,1011
101117,101,1,3,3,3,3,3,3,-9,-9,2,2,1,2,2,-3,-3,-3,-3,1,0,1,-5,3,-4,-5,0,1011
101118,101,1,1,3,3,2,1,1,2,2,2,1,2,3,4,-3,-3,-3,-3,1,-4,2,-5,3,29,-5,244.1716,1011
101119,101,1,2,4,4,2,2,3,2,2,-4,-4,-4,-4,-4,1,1,1,1,0,0,2,-5,1,-4,-5,0,1011
101120,101,1,3,4,4,2,2,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,1,51,-5,864.8287,1011
101121,101,1,3,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,-3,2,-5,4,13,-5,32.061,1011
101122,101,1,4,4,4,2,2,2,2,2,3,3,2,4,4,1,1,1,1,0,0,1,-5,2,11,-5,208.3492,1011
101123,101,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,2,3,0,-3,1,-5,1,53,-5,230.0786,1011
101124,101,1,2,2,2,3,3,2,4,4,2,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,1,-4,-5,0,1011
101125,101,1,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,1,1,1,1,0,0,2,-5,1,-4,-5,0,1011
101126,101,1,2,2,2,3,-9,-9,-9,-9,3,2,2,3,3,2,2,2,3,0,-3,2,-5,1,43,-5,31.3238,1011
101127,101,1,2,3,3,2,2,2,3,3,3,2,2,3,3,1,1,1,1,0,-3,2,-5,3,29,-5,31.8494,1011
101128,101,1,2,2,2,3,3,2,2,3,3,3,4,4,3,2,3,3,3,0,1,1,-5,1,-4,-5,0,1011
101129,101,1,4,4,4,2,2,3,3,3,1,1,1,1,1,-3,-3,-3,-3,1,-3,1,-5,2,21,-5,775.7066,1011
101131,101,1,3,4,3,3,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,4,17,-5,708.4777,1011
101132,101,1,2,4,4,2,2,2,2,2,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-3,1,-5,2,-4,-5,0,1011
101133,101,1,3,4,4,2,2,2,-9,2,4,4,4,4,4,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1011
101201,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,1,1,2,2,1,1,1,1,0,-4,1,-5,2,53,-5,218.4957,1012
101203,101,2,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,1,-5,3,-8,-5,0,1012
101207,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,2,47,-5,215.0544,1012
101209,101,2,-9,-9,-9,-9,-9,-9,-9,-9,3,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,1,-8,-5,0,1012
101210,101,2,-9,-9,-9,-9,-9,-9,-9,-9,4,3,4,4,4,-3,-3,-3,-3,1,-3,1,-5,4,11,-5,214.88,1012
101211,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,2,-5,3,43,-5,172.3952,1012
101212,101,2,-9,-9,-9,-9,-9,-9,-9,-9,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,0,1,-5,3,-3,-5,246.7952,1012
101214,101,2,2,3,2,-9,-9,-9,-9,-9,2,2,2,3,2,-3,-3,-3,-3,1,0,2,-5,2,43,-5,221.5542,1012
101215,101,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,-4,1,-5,2,-4,-5,0,1012
101217,101,2,4,3,4,3,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,1,-4,-5,0,1012
101219,101,2,3,3,3,2,1,-9,-9,-9,2,2,2,2,2,-3,-3,-3,-3,1,-4,2,-5,3,29,-5,169.4561,1012
101221,101,2,2,2,2,3,3,-9,-9,-9,3,4,3,4,4,-3,-3,-3,-3,1,-3,2,-5,1,43,-5,209.4799,1012
101222,101,2,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,53,-5,608.2185,1012
101223,101,2,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,2,-3,-3,-3,-3,1,-4,2,-5,2,43,-5,226.3635,1012
101226,101,2,3,3,3,2,1,1,1,-9,2,2,2,2,2,-3,-3,-3,-3,1,-4,1,-5,4,-4,-5,0,1012
101227,101,2,-7,-7,-7,-7,-7,-7,-7,-7,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,0,1,-5,2,15,-5,235.6428,1012
102101,102,1,3,3,1,3,3,3,3,3,2,2,2,2,2,-3,-3,-3,-3,1,-4,1,-5,1,29,-5,45.0328,1021
102103,102,1,3,3,2,3,3,3,3,3,-4,-4,-4,-4,-4,-3,-3,-3,-3,1,-4,2,-5,3,25,-5,276.7414,1021
102104,102,1,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,3,31,-5,300.3896,1021
102105,102,1,-9,-9,-9,-9,-9,-9,-9,-9,2,3,2,2,2,-3,-3,-3,-3,1,-4,1,-5,1,43,-5,310.2792,1021
102106,102,1,3,2,1,3,3,4,4,4,2,2,3,3,1,1,1,1,1,0,-3,2,-5,3,31,-5,38.5349,1021
102107,102,1,2,4,4,1,2,-9,-9,-9,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,1,-5,1,-3,-5,310.0034,1021
102108,102,1,-9,-9,2,2,2,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,1,11,-5,314.0446,1021
102109,102,1,2,2,1,4,2,4,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,2,-5,2,-3,-5,241.8125,1021
102111,102,1,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,2,-5,1,39,-5,40.3535,1021
102112,102,1,-9,-9,-9,-9,-9,-9,-9,-9,3,4,3,3,4,-3,-3,-3,-3,1,-4,1,-5,3,35,-5,19.2341,1021
102113,102,1,2,2,2,3,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,2,53,-5,298.9628,1021
102116,102,1,3,3,3,2,2,2,3,2,-8,-8,-8,-8,-8,1,1,1,1,0,0,1,-5,1,-4,-5,0,1021
102117,102,1,2,2,2,2,3,3,3,4,3,2,3,2,4,-3,-3,-3,-3,1,0,1,-5,2,43,-5,41.182,1021
102118,102,1,2,2,2,4,2,3,3,4,2,2,2,2,2,1,1,1,1,0,-4,1,-5,2,33,-5,17.5268,1021
102120,102,1,1,3,4,1,2,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,4,21,-5,271.9975,1021
102121,102,1,4,2,2,2,1,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,1,-5,3,15,-5,281.7671,1021
102122,102,1,3,3,1,2,2,2,2,3,2,2,2,3,4,-3,-3,-3,-3,1,-4,2,-5,3,43,-5,247.1358,1021
102162,102,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-4,-5,0,1021
102163,102,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,53,-5,0,1021
102164,102,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,31,-5,0,1021
102201,102,2,2,2,2,4,3,-9,3,3,2,2,2,2,2,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1022
102202,102,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,4,3,-3,-3,-3,-3,1,-3,2,-5,3,43,-5,1165.9821,1022
102203,102,2,3,2,3,2,1,2,2,2,2,2,2,2,3,-3,-3,-3,-3,1,-3,2,-5,2,31,-5,30.8206,1022
102204,102,2,2,1,2,4,3,3,4,4,4,4,4,4,4,1,1,1,1,0,-3,2,-5,3,17,-5,26.2945,1022
102205,102,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,3,3,4,-3,-3,-3,-3,1,-3,1,-5,3,-4,-5,0,1022
102206,102,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,3,3,2,-3,-3,-3,-3,1,-3,1,-5,1,41,-5,870.1291,1022
102207,102,2,1,3,2,2,2,-9,-9,2,-8,-8,-8,-8,-8,1,1,1,1,0,-3,1,-5,1,49,-5,328.0729,1022
102208,102,2,1,1,1,4,4,4,4,4,4,-9,3,3,4,1,1,1,1,0,-3,1,-5,3,15,-5,37.8097,1022
102209,102,2,3,2,2,3,3,2,3,3,3,2,2,3,4,-3,-3,-3,-3,1,-3,1,-5,3,13,-5,33.7199,1022
102210,102,2,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-9,-9,-9,-9,0,1,1,-5,1,47,-5,569.5098,1022
102211,102,2,3,1,2,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,0,2,-5,4,11,-5,856.9756,1022
102212,102,2,2,2,2,3,2,2,2,2,1,2,2,2,2,-3,-3,-3,-3,1,0,2,-5,4,25,-5,848.2546,1022
102213,102,2,-9,-9,-9,3,3,-9,-9,-9,4,4,2,4,3,-3,-3,-3,-3,1,0,1,-5,4,41,-5,233.4211,1022
102214,102,2,2,3,2,2,2,4,3,3,3,3,3,2,3,2,2,2,2,0,-3,1,-5,1,-4,-5,0,1022
102215,102,2,2,2,3,4,3,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,1,-5,4,13,-5,0,1022
102216,102,2,3,3,3,2,1,2,2,2,2,2,2,2,2,1,1,1,1,0,-3,2,-5,3,29,-5,31.9687,1022
102217,102,2,4,4,4,1,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,1,-3,2,-5,4,27,-5,29.7772,1022
102218,102,2,1,1,2,3,3,3,3,3,2,2,2,3,1,-3,-3,-3,-3,1,-3,1,-5,4,43,-5,27.8616,1022
102219,102,2,3,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,-3,1,-5,1,11,-5,31.9823,1022
102220,102,2,-9,-9,-9,-9,-9,-9,-9,-9,-4,-4,-4,-4,-4,-9,-9,-9,-9,0,-3,1,-5,1,-4,-5,0,1022
102221,102,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,-9,2,2,0,0,1,-5,2,49,-5,42.8511,1022
102222,102,2,1,1,1,4,4,4,4,4,3,2,4,4,4,-3,-3,-3,-3,1,-3,2,-5,3,-4,-5,0,1022
102223,102,2,2,4,2,3,3,3,3,3,2,2,1,2,2,-3,-3,-3,-3,1,-3,2,-5,4,41,-5,218.1844,1022
102224,102,2,3,2,2,3,3,3,3,3,-8,-8,-8,-8,-8,1,1,1,1,0,-3,1,-5,4,15,-5,34.4416,1022
102226,102,2,2,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,-3,1,-5,1,11,-5,53.5419,1022
102227,102,2,2,2,2,3,3,4,4,4,2,3,2,2,2,2,2,2,2,0,-3,1,-5,3,31,-5,1163.4886,1022
102228,102,2,4,4,4,2,2,4,4,4,2,1,1,2,2,-3,-3,-3,-3,1,-3,2,-5,2,43,-5,235.8395,1022
102232,102,2,2,2,2,2,3,3,3,3,4,4,4,4,4,1,1,1,1,0,-3,2,-5,3,43,-5,32.8284,1022
102233,102,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,0,0,2,-5,1,13,-5,32.4402,1022
102234,102,2,3,3,2,4,2,-9,-9,-9,3,3,3,3,3,2,2,2,2,0,-3,2,-5,2,13,-5,242.0026,1022
102235,102,2,2,2,2,3,2,3,4,3,3,3,3,3,4,-3,-3,-3,-3,1,-3,1,-5,2,-4,-5,0,1022
102261,102,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,43,-5,0,1022
103101,103,1,3,4,4,4,2,2,4,4,2,1,1,3,2,-3,-3,-3,-3,1,-3,2,-5,4,27,-5,543.2071,1031
103102,103,1,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,1,1,1,1,0,-4,1,-5,1,-4,-5,0,1031
103103,103,1,1,3,3,2,2,2,1,2,3,3,4,3,3,2,2,1,2,0,0,1,-5,3,33,-5,322.9047,1031
103104,103,1,3,3,2,2,2,2,3,2,4,3,3,4,3,-3,-3,-3,-3,1,-3,2,-5,3,19,-5,582.919,1031
103107,103,1,3,2,2,4,2,2,4,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,1,-5,3,43,-5,0,1031
103108,103,1,2,3,3,2,1,2,2,2,3,3,3,3,3,-3,-3,-3,-3,1,-3,1,-5,4,53,-5,625.9607,1031
103109,103,1,3,3,3,2,2,2,2,2,2,2,2,2,2,-3,-3,-3,-3,1,-3,2,-5,4,19,-5,530.1707,1031
103110,103,1,3,4,4,2,1,2,2,2,3,2,2,3,3,-3,-3,-3,-3,1,-3,2,-5,3,-4,-5,0,1031
103111,103,1,3,2,2,4,4,4,4,4,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,2,-5,1,43,-5,0,1031
103112,103,1,2,3,2,2,2,2,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,1,-5,1,-8,-5,0,1031
103114,103,1,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-9,-9,-9,-9,1,0,1,-5,1,-4,-5,0,1031
103115,103,1,2,3,3,2,2,2,2,2,2,2,2,3,2,-3,-3,-3,-3,1,-3,2,-5,1,39,-5,244.6891,1031
103116,103,1,2,3,2,3,3,3,3,3,2,2,1,2,2,-3,-3,-3,-3,1,0,2,-5,3,43,-5,512.403,1031
103117,103,1,3,3,3,2,2,3,3,3,-8,-8,-8,-8,-8,-9,-9,-9,-9,0,0,1,-5,1,11,-5,343.6709,1031
103118,103,1,2,3,3,2,2,-9,-9,-9,2,2,2,3,3,1,1,1,1,0,-3,2,-5,1,11,-5,617.781,1031
103119,103,1,3,3,2,3,3,2,3,3,2,2,3,3,3,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1031
103122,103,1,3,4,3,3,3,3,3,2,2,2,3,3,3,-3,-3,-3,-3,1,-3,2,-5,3,41,-5,637.8604,1031
103124,103,1,4,4,4,2,2,-9,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,2,-5,1,53,-5,631.8437,1031
103125,103,1,-9,-9,-9,-9,-9,-9,-9,-9,2,3,4,3,4,1,1,1,1,0,0,2,-5,1,43,-5,230.4433,1031
103126,103,1,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,-8,-5,0,1031
103127,103,1,1,2,1,4,4,3,3,3,2,3,3,3,2,-3,-3,-3,-3,1,-3,1,-5,4,29,-5,597.6809,1031
103128,103,1,-9,-9,-9,-9,-9,-9,-9,-9,3,3,3,3,3,2,2,2,2,0,-3,1,-5,1,43,-5,237.2761,1031
103129,103,1,2,3,3,4,2,3,3,3,2,2,2,2,3,-3,-3,-3,-3,1,-3,1,-5,3,11,-5,715.4267,1031
103161,103,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,55,-5,0,1031
103162,103,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,53,-5,0,1031
103203,103,2,4,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,1,1,1,1,0,-3,2,-5,1,11,-5,195.5124,1032
103204,103,2,2,2,3,2,2,3,1,1,2,1,1,2,1,1,1,1,1,0,-4,2,-5,1,41,-5,293.3861,1032
103205,103,2,2,2,-9,2,2,3,2,3,3,2,2,3,3,2,2,2,2,0,-4,2,-5,3,11,-5,149.6036,1032
103210,103,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,0,-4,2,-5,2,43,-5,49.4844,1032
103212,103,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-4,2,-5,1,39,-5,50.2058,1032
103213,103,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4,2,-5,-8,39,-5,339.3432,1032
103214,103,2,-9,-9,2,2,2,2,2,2,2,2,3,2,2,-3,-3,-3,-3,1,0,1,-5,2,-4,-5,0,1032
103215,103,2,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,2,3,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1032
103218,103,2,-9,-9,-9,-9,2,-9,-9,-9,-8,-8,-8,-8,-8,-9,-9,-9,-9,0,0,1,-5,1,-4,-5,0,1032
103219,103,2,3,3,3,2,3,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-3,2,-5,2,41,-5,168.1911,1032
103221,103,2,2,2,2,2,2,2,2,3,1,1,1,2,1,2,3,2,2,0,-4,2,-5,3,-4,-5,0,1032
103223,103,2,2,3,3,2,2,1,1,3,1,2,1,2,2,1,1,1,2,0,-4,1,-5,3,33,-5,181.8944,1032
103225,103,2,3,3,3,3,3,3,3,3,2,1,2,2,3,-3,-3,-3,-3,1,-4,1,-5,4,41,-5,339.2623,1032
103226,103,2,3,2,2,2,2,2,2,3,2,3,3,3,3,-3,-3,-3,-3,1,-4,2,-5,1,21,-5,194.0006,1032
103229,103,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4,1,-5,-8,37,-5,443.7056,1032
103230,103,2,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,43,-5,608.0924,1032
103231,103,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,-3,1,-5,2,11,-5,0,1032
103301,103,3,1,3,1,4,2,3,3,2,3,3,3,3,3,-3,-3,-3,-3,1,0,1,-5,1,-4,-5,0,1033
103302,103,3,2,2,1,2,1,2,2,2,-8,-8,-8,-8,-8,1,1,1,1,0,0,1,-5,1,-8,-5,0,1033
103303,103,3,2,4,2,3,2,3,3,3,-8,-8,-8,-8,-8,2,2,2,2,0,-4,1,-5,2,43,-5,88.7832,1033
103304,103,3,1,4,2,1,1,1,1,1,2,1,1,2,2,-3,-3,-3,-3,1,0,2,-5,3,35,-5,649.6462,1033
103305,103,3,3,4,4,1,1,1,2,1,-8,-8,-8,-8,-8,1,1,1,1,0,0,2,-5,1,-4,-5,0,1033
103306,103,3,2,3,3,2,2,3,2,1,3,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,1,13,-5,718.0307,1033
103307,103,3,2,3,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,0,-3,1,-5,2,-4,-5,0,1033
103308,103,3,-9,-9,-9,-9,-9,-9,-9,-9,3,2,3,4,4,-9,-9,-9,-9,0,-3,2,-5,4,27,-5,699.5995,1033
103309,103,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,-3,2,-5,1,13,-5,70.6853,1033
103310,103,3,2,2,3,4,4,-9,-9,-9,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,1,-5,1,-4,-5,0,1033
103312,103,3,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,3,3,-3,-3,-3,-3,1,0,2,-5,4,-8,-5,0,1033
103313,103,3,4,4,4,2,1,2,2,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,2,-4,-5,0,1033
103314,103,3,2,2,2,2,2,4,3,4,3,3,2,3,3,1,1,1,1,0,-3,2,-5,1,51,-5,71.3561,1033
103315,103,3,2,3,3,3,3,3,2,2,-8,-8,-8,-8,-8,1,2,2,2,0,-4,2,-5,1,43,-5,767.5233,1033
103316,103,3,2,2,2,4,2,3,3,4,3,2,2,2,3,1,1,1,1,0,-3,2,-5,1,21,-5,664.5438,1033
103317,103,3,3,3,2,-6,-6,3,3,3,4,4,4,4,4,1,1,1,2,0,-3,1,-5,1,-3,-5,89.5635,1033
103318,103,3,3,3,2,2,2,2,2,2,3,3,3,4,3,-3,-3,-3,-3,1,-3,2,-5,4,13,-5,630.7675,1033
103319,103,3,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,3,0,-4,1,-5,1,15,-5,123.8022,1033
103320,103,3,2,3,3,2,1,2,2,2,-8,-8,-8,-8,-8,1,1,1,1,0,-4,2,-5,1,41,-5,200.8984,1033
103321,103,3,1,4,2,2,1,-9,-9,-9,3,2,2,2,2,-3,-3,-3,-3,1,-3,2,-5,2,-4,-5,0,1033
103322,103,3,3,3,3,2,2,3,3,3,2,2,2,2,2,-3,-3,-3,-3,1,-3,2,-5,2,43,-5,65.1736,1033
103323,103,3,3,3,3,4,4,3,3,3,3,3,3,3,3,-3,-3,-3,-3,1,-4,1,-5,1,41,-5,718.5093,1033
103324,103,3,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,1,-5,3,43,-5,963.6372,1033
104101,104,1,2,4,3,2,2,1,2,2,1,1,2,2,2,-3,-3,-3,-3,1,-3,2,-5,4,41,-5,278.1432,1041
104102,104,1,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,43,-5,442.4978,1041
104103,104,1,2,3,2,2,2,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,1,-5,4,25,-5,515.6016,1041
104104,104,1,4,4,4,2,2,1,1,2,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,0,2,-5,4,11,-5,247.2592,1041
104105,104,1,1,2,1,4,3,-9,2,-9,3,3,3,3,4,1,1,2,3,0,-3,1,-5,3,-8,-5,0,1041
104106,104,1,2,2,2,2,2,2,2,2,-8,-8,-8,-8,-8,2,2,2,2,0,-4,2,-5,2,35,-5,300.3784,1041
104107,104,1,4,4,4,2,1,1,1,1,1,1,1,2,1,-3,-3,-3,-3,1,-3,1,-5,3,39,-5,315.7277,1041
104108,104,1,2,2,1,2,2,3,3,3,2,3,3,2,2,-3,-3,-3,-3,1,-3,2,-5,4,43,-5,270.004,1041
104109,104,1,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,3,3,3,3,0,-4,1,-5,1,53,-5,477.3258,1041
104110,104,1,2,3,2,3,3,3,2,2,1,1,1,1,1,-3,-3,-3,-3,1,-3,1,-5,4,25,-5,292.7457,1041
104111,104,1,-9,-9,-9,-9,-9,-9,-9,-9,3,3,2,3,3,-3,-3,-3,-3,1,-3,1,-5,3,33,-5,600.3578,1041
104112,104,1,-7,-7,-7,-7,-7,-7,-7,-7,4,4,2,4,4,-3,-3,-3,-3,1,-3,1,-5,4,19,-5,268.8698,1041
104113,104,1,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,25,-5,446.5709,1041
104115,104,1,2,2,2,2,2,2,2,2,3,2,3,-9,3,-3,-3,-3,-3,1,0,1,-5,3,21,-5,506.8576,1041
104116,104,1,3,3,4,2,2,2,2,2,3,3,3,3,3,-3,-3,-3,-3,1,-3,1,-5,2,41,-5,529.8341,1041
104117,104,1,2,3,3,2,2,2,2,2,2,2,3,3,3,-3,-3,-3,-3,1,-4,2,-5,4,29,-5,71.2601,1041
104118,104,1,2,3,3,-9,-9,1,-9,-9,2,2,2,2,2,-3,-3,-3,-3,1,-3,1,-5,4,-4,-5,0,1041
104119,104,1,4,4,4,2,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,1,-3,1,-5,4,41,-5,278.0171,1041
104122,104,1,3,3,3,2,2,3,2,2,3,2,2,3,3,-3,-3,-3,-3,1,0,1,-5,4,23,-5,151.7269,1041
104123,104,1,1,4,2,2,2,3,2,-9,3,3,3,4,3,-3,-3,-3,-3,1,-3,2,-5,4,25,-5,465.6276,1041
104124,104,1,-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-5,-4,29,-5,482.2785,1041
104201,104,2,2,4,2,3,3,3,3,4,3,3,4,4,4,-3,-3,-3,-3,1,-3,1,-5,4,35,-5,959.1675,1042
104202,104,2,2,3,2,3,2,3,3,3,3,4,4,4,3,-3,-3,-3,-3,1,-3,1,-5,4,17,-5,544.4807,1042
104203,104,2,3,4,3,4,3,2,2,3,3,3,3,3,2,-3,-3,-3,-3,1,0,1,-5,4,49,-5,956.8857,1042
104204,104,2,3,3,3,3,2,3,3,3,-8,-8,-8,-8,-8,-3,-3,-3,-3,1,-4,2,-5,4,11,-5,433.6806,1042
104205,104,2,2,4,2,2,2,2,2,2,2,1,1,2,3,-3,-3,-3,-3,1,0,1,-5,1,25,-5,571.9873,1042
104206,104,2,-7,-7,-7,-7,-7,-7,-7,-7,1,2,1,1,2,-3,-3,-3,-3,1,-3,1,-5,4,49,-5,639.783,1042
