     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000         *     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    70.050    78.520    78.770    -0.014    -0.004     0.035    -0.002    -0.008    -0.002     0.021    -0.001     0.062     0.018    -0.156     0.009    -0.004    -0.001     0.009    -0.001     0.428     0.127    -1.076     0.064     0.251     0.074    -0.632     0.037    -1.895    -0.561     4.767    -0.282     0.116     0.034    -0.291     0.017    -0.041    -0.012     0.102    -0.006    -0.024    -0.007     0.060    -0.004     0.180     0.053    -0.453     0.027    -0.011    -0.003     0.028    -0.002    -0.010    -0.003     0.026    -0.002    -0.006    -0.002     0.015    -0.001     0.045     0.013    -0.114     0.007    -0.003    -0.001     0.007     0.000 3819
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000    59.360    72.060    75.050     1.207    -0.016    -0.051     0.002    -0.008     0.000     0.000     0.000    -0.058     0.001     0.002     0.000     0.004     0.000     0.000     0.000    -0.029     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.066     0.001     0.003     0.000     0.000     0.000     0.000     0.000     0.003     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.004     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000 5881
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *     0.000     1.000    68.470         *         *     0.014     0.000    -0.001     0.000     0.000     0.000     0.000     0.000    -0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.119     0.002     0.005     0.000     0.001     0.000     0.000     0.000     0.006     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.105     0.001     0.004     0.000     0.001     0.000     0.000     0.000     0.005     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.326    -0.018    -0.057     0.002    -0.009     0.000     0.000     0.000    -0.063     0.001     0.003     0.000     0.004     0.000     0.000     0.000 1435
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000    61.660    70.000    90.010     0.003     0.001    -0.007     0.000     0.000     0.000    -0.001     0.000     0.001     0.000    -0.002     0.000    -0.015    -0.005     0.039    -0.002    -0.025    -0.007     0.063    -0.004    -0.003    -0.001     0.008     0.000    -0.006    -0.002     0.016    -0.001     0.134     0.040    -0.337     0.020    -0.022    -0.007     0.055    -0.003    -0.003    -0.001     0.007     0.000    -0.006    -0.002     0.014    -0.001     0.119     0.035    -0.299     0.018     0.277     0.082    -0.697     0.041     0.035     0.010    -0.088     0.005     0.071     0.021    -0.179     0.011    -1.493    -0.442     3.756    -0.222 5278
     1.000     1.000         *     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000    69.870    74.470    80.020     1.207    -0.016    -0.051     0.002    -0.008     0.000     0.000     0.000    -0.058     0.001     0.002     0.000     0.004     0.000     0.000     0.000    -0.029     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.066     0.001     0.003     0.000     0.000     0.000     0.000     0.000     0.003     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.004     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000 6693
     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    64.220    61.900    79.070    -0.008    -0.001    -0.001     0.021     0.041     0.003     0.003    -0.103    -0.004     0.000     0.000     0.009    -0.001     0.000     0.000     0.003     0.252     0.017     0.020    -0.634    -1.262    -0.085    -0.099     3.169     0.110     0.007     0.009    -0.276     0.036     0.002     0.003    -0.091    -0.024    -0.002    -0.002     0.060     0.120     0.008     0.009    -0.301    -0.010    -0.001    -0.001     0.026    -0.003     0.000     0.000     0.009    -0.006     0.000     0.000     0.015     0.030     0.002     0.002    -0.076    -0.003     0.000     0.000     0.007    -0.001     0.000     0.000     0.002 4294
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000    60.130         *    84.560     0.038     0.011    -0.095     0.006     0.000     0.000     0.001     0.000    -0.002    -0.001     0.005     0.000     0.000     0.000     0.000     0.000    -1.160    -0.343     2.919    -0.173     0.008     0.002    -0.020     0.001     0.056     0.016    -0.140     0.008    -0.004    -0.001     0.009    -0.001     0.110     0.033    -0.277     0.016    -0.001     0.000     0.002     0.000    -0.005    -0.002     0.013    -0.001     0.000     0.000    -0.001     0.000     0.028     0.008    -0.070     0.004     0.000     0.000     0.000     0.000    -0.001     0.000     0.003     0.000     0.000     0.000     0.000     0.000 5682
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000         *         *         *         *         *         *         *         *         *         *     0.000     0.000    60.660    72.150         *     0.012     0.000    -0.001     0.000    -0.059     0.001     0.003     0.000     0.005     0.000     0.000     0.000     0.002     0.000     0.000     0.000    -0.365     0.005     0.016    -0.001     1.823    -0.024    -0.078     0.003    -0.159     0.002     0.007     0.000    -0.053     0.001     0.002     0.000     0.035     0.000    -0.001     0.000    -0.173     0.002     0.007     0.000     0.015     0.000    -0.001     0.000     0.005     0.000     0.000     0.000     0.009     0.000     0.000     0.000    -0.044     0.001     0.002     0.000     0.004     0.000     0.000     0.000     0.001     0.000     0.000     0.000 6485
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000         *     0.000         *         *         *         *         *         *         *         *         *         *     0.000     0.000    71.660    86.790         *    -0.445     0.006     0.019    -0.001    -0.261     0.003     0.011     0.000     1.971    -0.026    -0.084     0.003    -0.120     0.002     0.005     0.000     0.011     0.000     0.000     0.000     0.006     0.000     0.000     0.000    -0.048     0.001     0.002     0.000     0.003     0.000     0.000     0.000     0.024     0.000    -0.001     0.000     0.014     0.000    -0.001     0.000    -0.108     0.001     0.005     0.000     0.007     0.000     0.000     0.000    -0.002     0.000     0.000     0.000    -0.001     0.000     0.000     0.000     0.007     0.000     0.000     0.000     0.000     0.000     0.000     0.000 4938
     0.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    55.060    63.960    75.090    -0.007     0.000    -0.001     0.018    -0.001     0.000     0.000     0.002    -0.002     0.000     0.000     0.005     0.038     0.003     0.003    -0.095     0.215     0.015     0.017    -0.541     0.027     0.002     0.002    -0.068     0.055     0.004     0.004    -0.139    -1.161    -0.078    -0.091     2.915    -0.020    -0.001    -0.002     0.051    -0.003     0.000     0.000     0.006    -0.005     0.000     0.000     0.013     0.110     0.007     0.009    -0.277    -0.005     0.000     0.000     0.013    -0.001     0.000     0.000     0.002    -0.001     0.000     0.000     0.003     0.028     0.002     0.002    -0.070 6080
