CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
2238,1,NA,NA,NA,NA,54.37,49.57,55.4
2239,2,2,62.44,57.93,60.17,56.75,59.63,NA
2240,1,NA,NA,NA,NA,38.18,56.58,55.3
2241,2,NA,NA,NA,NA,55.85,NA,NA
2242,1,NA,NA,NA,NA,74.04,76.91,73.87
2243,2,2,62.61,75.05,76.22,82.09,82.55,84
2244,1,1,47.89,61.3,61.17,57.76,NA,62.87
2245,1,2,61.11,59.78,69.72,73.28,75.81,76.9
2246,1,1,34.42,NA,NA,NA,NA,NA
2247,2,1,54.29,55.56,62.33,62.22,66.05,NA
2248,1,NA,NA,NA,NA,55.85,62.85,60.71
2249,2,NA,NA,NA,NA,74.65,NA,NA
2250,1,1,58.4,59.76,68.24,71.76,76.49,88.23
2251,1,NA,NA,NA,NA,53.63,54.39,65.35
2252,2,NA,NA,NA,NA,64.25,NA,57.7
2253,2,NA,NA,NA,NA,71.76,70.66,74.86
2254,2,NA,42.1,51.71,53.77,NA,NA,NA
2255,2,NA,NA,NA,NA,NA,47.22,NA
2256,1,NA,NA,NA,NA,49.18,56.04,56.88
2257,2,3,50.73,NA,NA,NA,NA,NA
2258,1,NA,NA,NA,NA,60.66,63.53,62.15
2259,1,NA,NA,NA,NA,48.38,67.87,73.28
2260,1,NA,NA,NA,NA,55.38,NA,48.2
2261,2,1,NA,66.77,65.85,70.45,76.78,NA
2262,1,NA,NA,NA,NA,54.96,57.42,NA
2263,2,NA,NA,NA,NA,62.65,57.79,57.59
2264,2,NA,NA,NA,NA,54.15,60.49,66.62
2265,1,2,44.2,38.62,47.47,NA,NA,51.03
2266,2,2,62.68,NA,68.59,71.63,NA,NA
2267,1,NA,NA,NA,NA,61.24,57.17,70.25
2268,1,2,53.67,56.53,51.39,NA,NA,NA
2269,1,NA,NA,NA,NA,56.89,NA,50.61
2270,1,NA,NA,NA,NA,42.58,NA,NA
2271,2,NA,NA,NA,NA,84.24,84.93,NA
2272,1,2,54.31,67.53,66.37,67.28,65.91,62.52
2273,1,NA,NA,NA,NA,58.55,57.49,62.8
2274,1,1,37.75,NA,52.13,51.49,NA,NA
2275,2,NA,NA,NA,NA,64.21,62.59,71.66
2276,2,NA,NA,NA,NA,53.22,NA,NA
2277,2,NA,NA,NA,NA,61.88,64.69,65.71
2278,1,1,45.88,54.57,56.46,59.76,59.38,NA
2279,2,2,46.9,54.13,61.79,63.36,NA,NA
2280,2,1,55.79,61.35,68.16,63.59,NA,NA
2281,2,2,42.9,55.29,NA,49.42,NA,NA
2282,1,NA,NA,NA,NA,53.07,54.62,NA
2283,2,NA,NA,NA,NA,68.72,71.25,71.79
2284,1,NA,NA,NA,NA,69.12,76.68,76.85
2285,1,NA,NA,NA,NA,71.88,72.35,76.05
2286,2,1,62.1,63.94,65.82,61.42,NA,30.48
2287,1,2,47.15,NA,NA,NA,NA,NA
2288,2,1,61.38,NA,NA,NA,NA,NA
2289,2,NA,NA,NA,NA,62.59,72.6,78.25
2290,2,NA,NA,NA,NA,53.7,51.21,NA
2291,2,NA,NA,NA,NA,70.58,NA,NA
2292,1,3,38.24,40.98,51.11,53.08,NA,NA
2293,2,2,60.9,68.9,67.44,68.4,67.8,NA
2294,1,1,59.82,56.69,65.86,65.87,NA,76.88
2295,2,3,30.64,NA,NA,NA,NA,NA
2296,2,2,56.46,58.96,66.89,69.08,74.33,NA
2297,2,NA,NA,NA,NA,58.62,64.94,66.63
2298,1,NA,NA,NA,NA,36.8,NA,NA
2299,1,1,50.31,45.61,63.65,67.73,66.88,74.68
2300,2,NA,NA,NA,NA,73,75.72,76.34
2301,1,1,60.43,65.63,72.16,74.78,NA,NA
2302,1,NA,NA,NA,NA,41.74,47.68,55.13
2303,2,1,58.65,63.69,73.11,72.35,71.09,NA
2304,1,NA,NA,NA,NA,78.42,74.81,81.1
2305,2,2,69.98,62.74,NA,NA,82.79,92.1
2306,2,3,55.94,NA,65.06,63.61,65.07,66.46
2307,1,NA,NA,NA,NA,62.39,59.14,68.84
2308,1,NA,47.35,49,52.27,56.08,NA,NA
2309,2,NA,NA,NA,NA,66.05,68.1,68.43
2310,1,2,40.43,40.95,54.48,66.03,58.39,57.02
2311,2,NA,39.16,NA,NA,NA,NA,NA
2312,1,1,40.33,38.68,38.74,34.37,NA,NA
2313,1,1,48.23,57.02,62.25,68.2,71.14,69.98
2314,1,NA,NA,NA,NA,63.24,65.16,66.18
2315,2,NA,NA,NA,NA,48.72,52.26,NA
2316,2,3,69.44,68.64,69.54,75.75,71.16,NA
2317,1,1,45.37,49.23,50.53,NA,48,NA
2318,2,3,NA,NA,NA,NA,NA,NA
2319,2,3,39.13,32.28,NA,NA,NA,NA
2320,2,NA,NA,NA,NA,41.36,NA,NA
2321,1,1,45.09,53.46,58.07,58.49,55.6,NA
2322,2,3,46.46,53.52,51.86,NA,NA,NA
2323,1,2,40.91,29.55,37.12,NA,NA,NA
2324,2,NA,NA,NA,NA,41.74,48.45,51.33
2325,1,2,52.77,56.91,53.32,62.3,NA,NA
2326,2,1,55.08,NA,53.25,58.67,58.41,NA
2327,1,NA,NA,NA,NA,NA,NA,72.17
2328,2,NA,NA,NA,NA,72.81,NA,NA
2329,1,2,48.85,49.56,54.63,61.16,59.83,63.74
2330,2,1,45.96,48.37,56.08,49.45,60.52,NA
2331,2,NA,NA,NA,NA,63.6,63.94,NA
2332,1,3,45.52,NA,39.25,NA,NA,NA
2333,2,3,35.98,57.74,62.32,NA,68.67,66.97
2334,1,NA,NA,NA,NA,69.28,68.37,67.82
2335,2,2,68.8,66.76,70.58,64.6,67.16,NA
2336,2,NA,NA,NA,NA,50.97,58.91,60.82
2337,2,2,72.56,69.1,67.09,72.72,68.56,75.65
2338,1,2,56.31,59.77,64.29,64.99,68.07,66.93
2339,1,2,39.31,49.43,59.81,62.67,68.52,NA
2340,2,NA,40.75,46.47,43.37,52.41,NA,NA
2341,1,1,44.59,47.46,44.34,46.31,NA,NA
2342,2,NA,NA,NA,NA,50.4,NA,NA
2343,1,NA,NA,NA,NA,71.52,74.69,76.51
2344,1,NA,NA,NA,NA,42.84,47.27,46.07
2345,1,1,42.62,52.78,58.09,63.81,56.08,64.18
2346,1,NA,NA,NA,NA,62.2,73.76,NA
2347,2,NA,NA,NA,NA,66.1,66.42,59.06
2348,2,1,40.97,49.1,NA,NA,NA,NA
2349,2,NA,NA,NA,NA,64.23,72.38,68.04
2350,1,1,63.24,59.06,58.39,58.36,58.61,53.51
2351,2,NA,NA,NA,NA,72.92,70.21,74.94
2352,1,2,60.97,NA,65.92,66.39,59.74,NA
2353,1,NA,NA,NA,NA,62.02,62.54,70.21
2354,1,NA,NA,NA,NA,40.39,NA,37.46
2355,1,NA,NA,NA,NA,46.67,51.52,47.9
2356,1,1,55.09,59.67,63.81,65.48,NA,NA
2357,2,NA,NA,NA,NA,56.02,58.73,NA
2358,2,NA,NA,NA,NA,48.72,NA,NA
2359,1,NA,NA,NA,NA,72.07,70.8,73.43
2360,1,NA,NA,NA,NA,53.89,NA,NA
2361,1,1,63.48,64.01,56.72,76.99,NA,NA
2362,2,2,61.4,63.81,NA,70.93,72.72,NA
2363,2,1,63.94,64.46,71.22,NA,NA,NA
2364,1,NA,NA,NA,NA,44.11,49.73,61.2
2365,1,2,56.76,67.34,73.55,73.79,77.31,NA
2366,1,NA,NA,NA,NA,61.85,66.81,65.91
2367,2,NA,NA,NA,NA,60.67,65.28,NA
2368,2,NA,NA,NA,NA,67.33,NA,60.36
2369,1,NA,NA,NA,NA,51.99,52.25,49.78
2370,1,1,47.55,48.11,59.6,59.51,66.88,66.76
2371,2,NA,NA,NA,NA,55.59,67.49,70.9
2372,1,NA,NA,NA,NA,53.81,59.44,61.18
2373,1,NA,NA,NA,NA,79.02,77.68,79.71
2374,1,NA,NA,NA,NA,75.08,NA,NA
2375,2,NA,NA,NA,NA,40.99,40.31,40.26
2376,2,2,61.09,54.65,64.53,NA,NA,NA
2377,2,NA,NA,NA,NA,49.43,56.52,NA
2378,1,NA,NA,NA,NA,54.62,53.42,62.14
2379,2,2,43.53,41.15,65.25,61.28,72.92,75.07
2380,1,NA,NA,NA,NA,59.8,56.69,NA
2381,2,1,55.51,57.36,61.78,63.89,65.52,NA
2382,2,NA,33.31,29.95,NA,NA,NA,NA
2383,2,NA,NA,NA,NA,70.62,76.48,NA
2384,1,3,56.34,49.51,60.81,63.93,60.06,54.1
2385,1,NA,NA,NA,NA,59.05,71.08,68.28
2386,1,3,43.38,NA,61.31,60.49,67.27,NA
2387,2,3,64.39,NA,72.29,77.21,NA,NA
2388,2,2,49.19,53.12,57.17,61.37,NA,56.02
2389,2,NA,NA,NA,NA,69.11,NA,71.93
2390,2,1,58.68,60.28,66.04,68.32,72.26,79.76
2391,1,1,40.65,49.27,50.57,41.7,49.45,NA
2392,1,NA,NA,NA,NA,66.26,NA,NA
2393,2,NA,NA,NA,NA,81.47,81.11,81.64
2394,2,1,46.1,42.02,70.76,NA,66.85,74.94
2395,1,NA,NA,NA,NA,46.73,NA,NA
2396,2,3,45.83,52.43,NA,NA,NA,NA
2397,2,NA,NA,NA,NA,42.33,55.22,66.87
2398,2,NA,NA,NA,NA,64.68,68.73,76.09
2399,1,NA,NA,NA,NA,56.33,57.93,59.77
2400,1,1,47.86,41.59,56.21,64.71,NA,63.15
2401,1,2,46.68,50.34,60.4,62.94,63.48,68.84
2402,2,NA,NA,NA,NA,73.89,82.1,87.24
2403,1,1,61.14,60.15,62.27,NA,NA,75.98
2404,1,NA,37.11,58.21,58.84,62.66,NA,66.28
2405,2,3,59.14,67.31,65.42,72.52,71.42,70.89
2406,1,NA,NA,NA,NA,53.92,55.44,67.62
2407,1,1,53.78,57.52,NA,NA,NA,NA
2408,2,NA,NA,NA,NA,54.13,66.86,78.28
2409,1,NA,NA,NA,NA,46.87,48.42,56.54
2410,1,NA,NA,NA,NA,57.04,NA,58.58
2411,1,1,40.73,NA,NA,43.12,NA,NA
2412,1,1,51.91,59.68,70.85,70.91,NA,NA
2413,2,NA,NA,NA,NA,43.06,NA,NA
2414,2,1,58.43,58.48,65.32,73.35,NA,NA
2415,1,NA,NA,NA,NA,68.42,67.16,74.79
2416,2,NA,NA,NA,NA,56.73,57.32,NA
2417,1,1,52.31,54.39,62.77,58.94,64.91,64.84
2418,2,1,39.87,39.02,46.6,39.29,NA,NA
2419,2,2,49.6,54.38,62.72,66.46,66.4,NA
2420,1,1,33.91,28.29,41.87,NA,NA,NA
2421,2,NA,NA,NA,NA,70.38,74.62,NA
2422,2,2,42.32,NA,NA,NA,NA,NA
2423,2,NA,NA,NA,NA,39.66,38.07,36.1
2424,1,2,66.21,66.3,70.86,69.81,NA,NA
2425,1,NA,NA,NA,NA,71.16,NA,NA
2426,1,1,56.62,71.38,NA,NA,64.53,65.24
2427,1,2,29.12,38.63,39.71,46.77,43.09,54.29
2428,1,NA,NA,NA,NA,70.79,75.53,75.87
2429,1,1,44.07,39.69,41.26,51.57,NA,NA
2430,2,NA,NA,NA,NA,53.26,48.63,58.18
2431,2,NA,NA,NA,NA,66.83,72.24,79.07
2432,1,NA,NA,NA,NA,50.63,58.26,NA
2433,1,NA,NA,NA,NA,54.84,62.92,65.9
2434,2,2,55.59,60.49,62,66.71,65.77,77.08
2435,2,1,59.59,NA,NA,NA,53.4,67.88
2436,1,2,36.76,39.15,53.38,56.79,64.43,62.39
2437,1,3,63.01,71.42,70.42,73.52,79.04,81.68
2438,1,1,36.12,51.57,NA,NA,NA,NA
2439,2,1,61.62,71.89,67.66,70.97,77.6,NA
2440,1,NA,NA,NA,NA,77.23,76.74,73.21
2441,1,2,52.06,NA,NA,NA,NA,NA
2442,1,NA,NA,NA,NA,52.96,50.97,54.02
2443,1,2,45.76,41.88,48.86,NA,NA,NA
2444,1,1,41.92,NA,NA,NA,NA,NA
2445,2,NA,NA,NA,NA,63.32,70.37,NA
2446,1,1,50.77,57.76,60.67,62.77,NA,62.51
2447,1,3,55.15,61.29,63.37,65.98,NA,NA
2448,2,NA,NA,NA,NA,38.55,NA,NA
2449,2,NA,NA,NA,NA,81.95,NA,NA
2450,2,3,31.38,38.31,46.04,39.09,42.79,NA
2451,2,NA,NA,NA,NA,64.87,NA,NA
2452,2,3,40.4,67.11,NA,NA,63.18,63.83
2453,1,2,51.81,53.44,51.39,NA,NA,NA
2454,2,NA,NA,NA,NA,54.17,NA,NA
2455,1,NA,NA,NA,NA,63.84,74.59,68.33
2456,2,NA,NA,NA,NA,34.81,NA,NA
2457,1,1,59.04,NA,73.61,67.25,NA,NA
2458,2,2,45.48,NA,NA,NA,NA,NA
2459,2,3,48.86,NA,69.43,74.2,80.09,NA
2460,1,2,39.6,43.64,43.69,54.07,45.4,NA
2461,2,NA,NA,NA,NA,NA,NA,NA
2462,1,NA,NA,NA,NA,67.86,67.02,NA
2463,1,2,44.71,38.84,54.83,NA,NA,NA
2464,1,1,43.02,48.13,53.45,45.25,NA,46
2465,2,1,59.23,62.07,NA,NA,NA,NA
2466,2,1,36.62,53.63,67.93,NA,66.97,67.87
2467,2,2,60.01,59.33,71.68,74.63,NA,79.88
2468,1,NA,NA,NA,NA,73.04,81.91,NA
2469,1,1,57.6,59.55,63.9,62.14,62.65,NA
2470,2,NA,NA,NA,NA,57.67,52.32,52.46
2471,1,1,41.77,NA,47,55.48,58.84,NA
2472,2,NA,NA,NA,NA,67.95,NA,NA
2473,1,NA,NA,NA,NA,50.91,NA,57.2
2474,1,3,53.37,51.28,62.29,65.74,61.93,57.5
2475,2,NA,NA,NA,NA,NA,NA,NA
2476,1,1,41.73,40.25,NA,NA,NA,NA
2477,1,NA,NA,NA,NA,77.9,80.36,79.15
2478,1,NA,NA,NA,NA,56.38,63.45,NA
2479,1,NA,NA,NA,NA,44.87,54.66,55.73
2480,2,NA,NA,NA,NA,41.75,47.81,48.52
2481,2,NA,NA,NA,NA,75.12,75.07,76.87
2482,1,1,44.21,48.93,56.2,52.22,47.15,42.95
2483,2,NA,NA,NA,NA,59.91,NA,NA
2484,1,NA,NA,NA,NA,47.82,57.29,61.34
2485,1,2,39.86,NA,42.21,47.94,NA,NA
2486,2,NA,NA,NA,NA,43.04,NA,55.89
2487,2,3,57.25,72.25,72.81,72.92,NA,NA
2488,2,2,50.58,46.82,61.95,68.36,69.12,NA
2489,1,1,47.63,55.36,53.19,NA,NA,NA
2490,2,2,72.92,NA,77.37,NA,NA,NA
2491,2,NA,NA,NA,NA,68.93,NA,68.56
2492,2,NA,NA,NA,NA,61.02,NA,NA
2493,2,NA,NA,NA,NA,57.73,57.14,62.62
2494,1,2,45.31,51.26,48.62,57.36,52.56,NA
2495,1,1,50.97,46.51,NA,NA,NA,NA
2496,1,NA,NA,NA,NA,NA,NA,NA
2497,2,NA,NA,NA,NA,83.09,83.53,87.16
2498,2,1,39.4,51.46,48.33,61.24,53.09,46.34
2499,2,NA,NA,NA,NA,55.35,55.35,NA
2500,1,3,57.82,62.65,62.83,NA,NA,67.6
2501,1,1,42.25,NA,NA,NA,NA,NA
2502,2,3,69.85,72.71,77.52,80.57,83.65,85.14
2503,1,NA,NA,NA,NA,55.13,59.19,60.9
2504,2,NA,NA,NA,NA,54.42,57.7,NA
2505,1,NA,NA,NA,NA,59.84,64.43,75.11
2506,1,NA,NA,NA,NA,49.06,59.2,NA
2507,1,NA,NA,NA,NA,61.49,70.37,65.08
2508,1,2,56.45,50.61,67.55,NA,NA,NA
2509,2,NA,NA,NA,NA,69.29,75.56,75.81
2510,1,2,58.93,66.88,69.1,72.21,NA,NA
2511,2,3,58.73,NA,NA,NA,NA,NA
2512,2,NA,NA,NA,NA,80.51,84.06,85.08
2513,2,NA,NA,NA,NA,58.24,55.61,NA
2514,2,1,44.72,47.2,51.39,52.17,60.62,NA
2515,2,NA,NA,NA,NA,56.91,65.13,61.5
2516,1,NA,NA,NA,NA,66.04,63.71,57.65
2517,1,NA,NA,NA,NA,55.67,59.15,61.78
2518,1,NA,NA,NA,NA,66.02,69.93,67.24
2519,1,NA,NA,NA,NA,55.43,64.54,63.33
2520,1,NA,NA,NA,NA,57.95,61.93,66.72
2521,1,NA,NA,NA,NA,50.42,65.15,70.83
2522,2,1,35.22,67.11,61.33,NA,NA,NA
2523,1,NA,NA,NA,NA,63.24,64.12,71.13
2524,1,2,41.61,53.55,56.16,NA,61.84,66.48
2525,1,1,48.7,57.24,67.42,72.63,74.67,74.3
2526,2,NA,NA,NA,NA,61.51,57.75,NA
2527,2,1,32.93,41.2,48.95,NA,50.05,NA
2528,1,1,35.23,44.17,45.65,44.27,53.16,NA
2529,2,NA,NA,NA,NA,64.38,NA,NA
2530,2,NA,NA,NA,NA,44.19,67.18,NA
2531,2,1,41.01,54.46,57.19,51.7,53.21,NA
2532,1,NA,NA,NA,NA,72.12,74.05,69.15
2533,1,NA,NA,NA,NA,54.58,70.32,NA
2534,2,3,67.13,69.81,75.61,NA,NA,NA
2535,1,1,57.2,56.42,58.54,59.96,62.24,NA
2536,2,NA,NA,NA,NA,62.66,NA,44.27
2537,1,NA,NA,NA,NA,54.84,NA,NA
2538,1,NA,NA,NA,NA,68.84,67.54,73.98
2539,2,1,40.52,55.46,62.56,67.86,70.2,72.08
2540,2,2,58.55,62.96,NA,NA,NA,NA
2541,2,NA,NA,NA,NA,72.99,72.74,77.32
2542,2,3,46.44,64.39,64.94,59.53,68.72,NA
2543,2,1,40.01,NA,NA,NA,NA,NA
2544,2,2,37.6,NA,37.88,NA,NA,38.16
2545,2,1,52.16,59.17,57.68,64.08,67.43,75.65
2546,2,NA,NA,NA,NA,66.14,71.51,70.4
2547,2,2,46.56,52.26,54.08,60.8,NA,45.31
2548,2,NA,46.28,63.26,62.42,70.78,70.02,72.62
2549,1,NA,NA,NA,NA,49.46,NA,NA
2550,1,NA,NA,NA,NA,54.53,67.22,70.13
2551,2,NA,NA,NA,NA,71.81,83.09,NA
2552,2,3,67.59,67.58,71.15,71.77,75.73,NA
2553,2,2,49.21,NA,NA,NA,NA,NA
2554,1,1,54.49,60.04,64.65,67.34,71.37,74.61
2555,2,2,46.94,NA,61.86,NA,NA,NA
2556,2,1,42.54,NA,38.56,53.54,NA,NA
2557,1,NA,NA,NA,NA,55.66,58.88,58.21
2558,2,1,61.18,60.94,NA,NA,NA,NA
2559,2,1,58.76,69.13,62.98,73.13,80.76,NA
2560,1,NA,NA,NA,NA,54.77,NA,44.62
2561,1,1,35.22,49.37,42.35,44.51,NA,46.15
2562,2,NA,NA,NA,NA,52.31,47.4,NA
2563,2,3,58.77,62.24,69.95,70.5,NA,78.59
2564,2,3,33.21,43.58,44.81,NA,NA,NA
2565,1,NA,NA,NA,NA,68.87,76.29,NA
2566,2,1,53.23,54.02,64.23,57.57,65.67,NA
2567,2,NA,NA,NA,NA,52.41,68.59,70.06
2568,1,1,44.39,60.59,66.59,NA,NA,NA
2569,2,NA,54.35,NA,56.11,50.29,NA,NA
2570,2,NA,NA,NA,NA,57.96,NA,59.89
2571,1,NA,NA,NA,NA,52.18,NA,NA
2572,2,NA,NA,NA,NA,70.44,70.45,NA
2573,1,1,63.11,71.05,NA,61.39,NA,NA
2574,2,NA,NA,NA,NA,44.09,39.93,NA
2575,2,1,36.96,36.77,65.26,70.57,70.78,67.61
2576,1,2,53.76,60.41,69.83,68.57,70.38,NA
2577,2,2,42.06,NA,NA,NA,NA,NA
2578,2,2,68.89,NA,62.53,NA,NA,NA
2579,1,NA,NA,NA,NA,54.44,NA,NA
2580,1,1,44.08,50.11,61.58,59.44,NA,NA
2581,2,2,68.24,NA,NA,NA,NA,NA
2582,2,NA,NA,NA,NA,NA,NA,NA
2583,2,2,45.64,52.11,61.85,61.38,68.36,64.97
2584,2,1,41.65,37.66,NA,NA,NA,NA
2585,2,NA,NA,NA,NA,49.43,50.23,46.33
2586,2,1,54.88,56.75,60.45,61.91,69.6,NA
2587,1,NA,NA,NA,NA,60.26,65.53,63.14
2588,2,NA,NA,NA,NA,71.55,66.74,64.58
2589,1,NA,NA,NA,NA,50.27,NA,NA
2590,2,2,39.75,47.52,49.11,59.64,52.78,45.47
2591,2,NA,NA,NA,NA,57.07,59.28,NA
2592,2,NA,NA,NA,NA,68.49,69.77,NA
2593,1,1,51.37,52.94,64.82,65.79,69.13,NA
2594,2,NA,NA,NA,NA,67.41,73.13,73.4
2595,1,NA,NA,NA,NA,69.04,70.69,67.52
2596,2,3,NA,62.95,66.66,NA,NA,NA
2597,1,2,44.76,53,55.69,56.27,NA,65.61
2598,2,3,59.14,68.39,72.54,79.11,79.57,81.7
2599,1,2,72.69,67.07,72.31,74.27,82.3,81.54
2600,1,NA,NA,NA,NA,58.16,66.82,61.7
2601,1,2,42.06,NA,NA,NA,NA,NA
2602,2,NA,NA,NA,NA,51.41,63.73,68.12
2603,2,NA,NA,NA,NA,45.77,59.37,71.42
2604,2,2,65.97,NA,NA,NA,NA,NA
2605,1,2,55.08,54,57.14,60.34,66.27,66.93
2606,2,1,49.54,NA,NA,50.61,NA,NA
2607,2,NA,NA,NA,NA,73.42,NA,NA
2608,1,NA,NA,NA,NA,64.85,65.36,65.37
2609,1,2,41.78,47.78,51.66,NA,NA,NA
2610,1,2,64.75,63.37,NA,NA,NA,NA
2611,1,NA,NA,NA,NA,59.32,NA,51.76
2612,1,NA,NA,NA,NA,48.89,NA,NA
2613,2,NA,NA,NA,NA,71.83,78.27,79.58
2614,2,2,45.57,47.21,56.59,53.97,57.27,NA
2615,1,NA,NA,NA,NA,41.32,62.43,NA
2616,2,2,53.15,NA,64.81,66.54,76.31,83
2617,2,1,52.5,NA,54.94,61.83,NA,68.28
2618,2,3,61.5,67.31,66.95,69.48,73.74,77.84
2619,1,1,54.48,NA,60.59,62.69,67.29,NA
2620,1,2,63.12,58.49,60.8,64.23,63.14,61.85
2621,2,3,63.76,67.22,70.22,NA,NA,78.47
2622,1,2,54.1,63.1,60.53,66.74,NA,NA
2623,1,2,50.07,42.57,53.06,62.92,57.38,56.79
2624,1,NA,NA,NA,NA,48.33,67.78,71.68
2625,2,2,59.16,61.58,70,64.52,68.03,61.38
2626,2,1,54.27,NA,NA,NA,NA,NA
2627,1,2,37.72,36.65,38.85,35.89,35.81,NA
2628,2,1,47.31,42.67,44.97,41.52,42.01,NA
2629,2,NA,NA,NA,NA,57.48,57.57,61.66
2630,1,2,49.53,58.05,59.7,61.41,65.22,67.5
2631,1,NA,NA,NA,NA,56.44,NA,NA
2632,1,1,39.75,46.96,46.53,51.09,NA,56.17
2633,2,NA,NA,NA,NA,58.51,NA,NA
2634,1,1,48.33,56.67,68.28,61.31,NA,NA
2635,1,3,56.68,61.03,61.32,70.3,73.66,75.3
2636,2,2,54.93,64.63,64.56,62.4,66.7,67.26
2637,1,2,42.96,55.21,62.81,66.73,65.69,69.08
2638,1,2,53.81,61.16,70.91,NA,77.77,77.45
2639,1,NA,NA,NA,NA,64.34,69.51,69.72
2640,1,NA,NA,NA,NA,74.98,NA,NA
2641,2,3,65.73,67.95,70.85,71.29,NA,73.23
2642,1,1,44.14,46.95,56.85,51.79,64.89,NA
2643,1,1,58.08,NA,71.32,NA,65.94,NA
2644,2,NA,NA,NA,NA,67.98,69.8,62.73
2645,1,3,59.63,62.95,73.31,65.83,NA,NA
2646,1,NA,NA,NA,NA,50.58,62.58,62.14
2647,2,1,56.06,NA,NA,NA,NA,NA
2648,1,NA,NA,NA,NA,58.38,54.17,64.64
2649,2,NA,NA,NA,NA,66.77,NA,NA
2650,2,2,65.68,66.67,73.52,68.86,74.33,NA
2651,1,1,31.27,33.49,42.27,NA,NA,NA
2652,1,1,63.22,59.23,60.36,62.95,NA,NA
2653,2,2,51.47,NA,NA,NA,NA,NA
2654,2,NA,NA,NA,NA,61.96,76.25,70.34
2655,1,NA,NA,NA,NA,52.24,47.58,49.37
2656,1,NA,NA,NA,NA,61.7,NA,NA
2657,2,1,58.72,54.37,54.12,60.28,64,NA
2658,2,1,42.93,NA,34.8,45.35,49.37,42.19
2659,2,1,46.72,50.33,NA,NA,NA,NA
2660,1,NA,NA,NA,NA,60.37,55.01,52.36
2661,2,3,56.7,NA,67.51,73.92,82.2,77.59
2662,1,2,47.11,64.42,NA,NA,NA,NA
2663,2,1,39.25,NA,39.9,44.72,NA,NA
2664,1,2,38.06,52.38,59.29,60.01,NA,NA
2665,2,2,49.52,NA,NA,NA,NA,NA
2666,1,NA,NA,NA,NA,NA,NA,NA
2667,2,NA,NA,NA,NA,81.53,79.07,80.39
2668,2,NA,NA,NA,NA,69.97,75.17,74.07
2669,2,1,46.2,46.88,43.16,54.23,NA,NA
2670,2,NA,NA,NA,NA,75.88,76.47,67.68
2671,2,3,33.26,NA,37.62,35.07,31,NA
2672,1,1,47.7,58.72,65,63.39,66.24,63.87
2673,1,1,59.77,67.25,68.98,69.12,77.24,71.58
2674,2,1,56.19,57.88,69.7,NA,61.77,68.48
2675,2,NA,NA,NA,NA,60.02,NA,NA
2676,2,3,55.14,51.18,49.71,65.52,NA,NA
2677,1,1,50.2,51.81,55.9,67.58,62.12,NA
2678,1,NA,NA,NA,NA,56.85,66.11,NA
2679,2,2,64.06,76.09,79.17,78.95,79.79,86.45
2680,1,2,52.31,53.67,NA,67.6,64.35,NA
2681,2,NA,NA,NA,NA,75.56,75.71,66.35
2682,2,2,44.92,NA,NA,NA,NA,NA
2683,2,2,38.84,53.14,55.65,NA,48.37,53.57
2684,2,NA,NA,NA,NA,NA,NA,NA
2685,1,NA,NA,NA,NA,47.81,NA,NA
2686,1,NA,NA,NA,NA,64.81,70.06,71.47
2687,1,1,52.76,55.49,NA,70.49,NA,NA
2688,1,NA,NA,NA,NA,49.92,52.78,53.61
2689,2,1,56.23,NA,67.38,78.25,NA,NA
2690,1,NA,NA,NA,NA,71.13,NA,NA
2691,2,1,36.74,40.55,47.71,54.52,55.98,52.4
2692,2,2,36.76,61.36,59.62,NA,56.56,NA
2693,1,2,46.75,53.56,55.3,58.22,54.06,53.29
2694,1,1,40.37,NA,NA,NA,NA,NA
2695,1,1,57.61,57.86,55.31,65.18,64.27,65.22
2696,1,NA,NA,NA,NA,67.07,70.79,70.86
2697,2,2,48.58,64.15,70.28,67.28,74.11,NA
2698,2,NA,NA,NA,NA,59.95,66.5,60.83
2699,2,2,46.81,50.43,51.53,52.37,60.48,NA
2700,1,NA,NA,NA,NA,68.62,74.52,78.45
2701,1,2,47.77,51.58,NA,61.32,67.85,NA
2702,1,NA,NA,NA,NA,70.38,77.97,80.13
2703,2,2,50.46,NA,53.03,NA,51.38,NA
2704,1,NA,NA,NA,NA,80.09,83.16,80.36
2705,1,NA,NA,NA,NA,43.36,48.66,NA
2706,1,NA,NA,NA,NA,62.49,NA,NA
2707,2,1,55.33,57.67,69.24,63.68,63.39,NA
2708,1,2,34.09,33.27,52.49,52.81,NA,NA
2709,2,NA,65.06,71.23,72.73,NA,77.07,77.36
2710,2,NA,54.44,NA,54.7,49.53,NA,NA
2711,1,NA,NA,NA,NA,63.44,63.51,NA
2712,1,NA,NA,NA,NA,57.21,61.87,NA
2713,1,NA,NA,NA,NA,55.48,53.75,50.46
2714,1,NA,NA,NA,NA,65.16,70.54,71.76
2715,1,NA,NA,NA,NA,45.21,NA,NA
2716,2,3,61.2,58.59,67.42,70.96,72.62,76.34
2717,1,NA,NA,NA,NA,70.57,70.35,72.66
2718,1,NA,41.47,44.07,56.53,57.69,52.88,NA
2719,1,2,53.28,71.71,NA,71.27,75.9,80.98
2720,1,1,45.34,54.9,54.27,62.95,NA,NA
2721,1,1,44.05,50.65,NA,NA,NA,NA
2722,1,1,44.23,NA,40.78,38.49,54.19,NA
