CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1110,1,NA,NA,NA,NA,63.23,60.38,NA
1111,2,NA,NA,NA,NA,57.44,52.23,NA
1112,1,3,44.48,61.6,60.65,65.32,64.19,69.98
1113,1,NA,NA,NA,NA,43.03,40.85,39.16
1114,1,NA,NA,NA,NA,60.82,71.23,67.88
1115,1,NA,NA,NA,NA,62.22,54.65,56.03
1116,2,3,45.97,NA,62.21,61.22,NA,NA
1117,1,NA,NA,NA,NA,64.49,74.54,69.76
1118,1,NA,NA,NA,NA,52.61,58.36,57.53
1119,2,NA,NA,NA,NA,53.23,NA,NA
1120,2,NA,NA,NA,NA,60.4,63.12,NA
1121,2,NA,NA,NA,NA,52.36,NA,47.09
1122,2,NA,NA,NA,NA,41.11,NA,NA
1123,2,3,58.31,62.04,63.99,65.66,71.34,64.73
1124,2,2,48.38,43.04,65.57,68.47,80.57,NA
1125,2,NA,NA,NA,NA,83.38,83.65,84.77
1126,1,1,41.08,NA,61.94,NA,NA,NA
1127,2,NA,27.13,NA,39.48,NA,NA,NA
1128,2,NA,NA,NA,NA,69.57,71.19,66.34
1129,2,2,NA,51.74,66.06,69.15,NA,NA
1130,1,NA,NA,NA,NA,59.88,NA,NA
1131,2,NA,NA,NA,NA,75.16,73.37,NA
1132,1,2,64.27,70.91,73.38,79.33,80.97,82.22
1133,2,NA,NA,NA,NA,44.12,NA,41.67
1134,2,2,56.59,62.41,65.24,71.14,72.14,NA
1135,2,3,47.43,45.81,57.33,54.03,61.44,65.91
1136,2,NA,NA,NA,NA,62.85,NA,NA
1137,1,2,49.54,54.09,53.98,54.97,66.5,NA
1138,2,1,45.91,38.08,34.93,31.15,NA,NA
1139,1,NA,NA,NA,NA,55.87,53.68,64.94
1140,2,2,71.99,75.24,77.85,81.31,79.76,76.2
1141,2,NA,NA,NA,NA,44.54,38.75,44.31
1142,2,2,55.55,55.45,63.01,64.36,64.23,68.36
1143,2,NA,NA,NA,NA,42.62,51.36,46.67
1144,2,2,27.75,31.03,43.01,36.3,NA,NA
1145,2,1,44.5,NA,NA,NA,NA,NA
1146,2,3,62.34,55.62,64.85,70.68,74.12,85.51
1147,2,NA,NA,NA,NA,63.28,67.68,68.06
1148,1,NA,NA,NA,NA,59.72,NA,62.12
1149,1,2,51.46,53.81,55.91,61.14,63.61,63.26
1150,1,2,57.31,NA,62.03,61.08,NA,NA
1151,2,1,37.83,NA,NA,NA,NA,NA
1152,2,2,35.81,NA,NA,NA,NA,NA
1153,1,1,34.66,35.73,41.63,50.26,NA,NA
1154,1,NA,NA,NA,NA,64.13,64.84,64.13
1155,2,1,51.71,53.55,64.21,63.47,57.6,67.22
1156,1,NA,NA,NA,NA,52.27,48.27,53.43
1157,1,NA,NA,NA,NA,63.38,66.6,63.69
