CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
1108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,1,2,2,2,4,2,2,2,2,4,4
1110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,2,5,3,3,3,4,4,3,3,2,3
1112,1,2,3,2,3,3,2,3,2,3,3
1113,1,1,1,1,1,1,5,2,2,3,2
1114,1,2,2,1,2,2,2,2,1,2,2
1115,1,4,2,2,3,3,5,3,2,3,4
1116,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1118,1,3,2,4,2,2,5,3,4,3,4
1119,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,2,2,2,2,1,1,4,1,2,4,2
1122,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,2,2,2,2,2,2,2,3,2,3,3
1124,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,2,1,1,1,2,1,1,2,2,2,1
1126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,2,1,3,3,3,3,3,3,3,3,3
1129,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1132,1,4,1,1,1,1,1,1,1,1,1
1133,2,5,5,2,4,NA,5,5,5,5,5
1134,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,2,2,2,1,3,2,1,3,1,2,1
1136,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139,1,2,1,2,2,3,2,2,2,4,3
1140,2,2,2,2,2,2,2,2,2,2,2
1141,2,2,2,2,2,2,2,2,2,2,3
1142,2,2,2,4,2,2,2,2,2,2,2
1143,2,3,4,3,4,4,3,4,3,3,4
1144,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1145,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146,2,1,3,3,3,3,2,3,3,3,3
1147,2,2,1,4,1,1,1,1,2,1,1
1148,1,4,2,4,4,2,3,2,4,4,2
1149,1,2,5,NA,2,2,2,5,2,5,5
1150,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,1,1,3,2,3,2,2,3,2,3,2
1155,2,2,3,3,2,3,2,3,3,2,3
1156,1,4,4,2,3,3,4,3,3,3,3
1157,1,2,2,2,4,4,1,2,2,5,4
1158,1,3,3,3,3,3,3,3,3,3,3
1159,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1160,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161,2,2,3,3,2,1,2,3,3,2,1
1162,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1164,2,4,2,2,4,3,2,3,3,4,3
1165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166,2,5,4,3,3,4,5,4,3,3,4
1167,2,2,1,1,2,1,2,1,2,3,1
1168,2,2,2,2,2,2,2,3,2,3,2
1169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1171,1,2,2,2,2,2,2,2,2,3,3
1172,1,3,2,4,3,3,2,3,3,3,3
1173,2,2,1,1,1,1,1,1,1,1,1
1174,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,1,1,2,2,2,1,5,3,3,4,5
1176,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,2,2,1,2,2,1,1,1,2,2,1
1179,2,3,3,3,3,3,3,3,3,3,3
1180,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183,1,4,1,2,1,2,1,2,2,4,4
1184,1,2,3,2,3,3,3,3,3,3,3
1185,2,1,2,1,3,2,1,2,1,3,1
1186,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187,2,2,3,2,2,3,3,3,3,3,3
1188,1,2,1,1,1,1,4,2,2,3,4
1189,2,4,1,1,2,2,2,1,1,2,2
1190,2,2,2,2,2,2,3,4,4,4,4
1191,1,5,2,2,2,2,3,3,3,3,2
1192,1,4,2,1,3,3,2,3,5,3,3
1193,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1195,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1196,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,2,5,1,1,2,1,1,1,1,1,1
1198,2,5,2,2,2,2,4,3,3,3,3
1199,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,1,2,2,2,2,2,4,2,2,3,4
1201,1,2,2,1,2,2,4,2,2,4,2
1202,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1203,2,2,3,3,3,2,4,3,3,3,4
1204,1,2,2,2,2,2,2,2,1,3,2
1205,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1,4,4,2,4,4,2,3,3,3,2
1208,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210,2,5,4,3,4,4,5,4,3,3,4
1211,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,1,2,3,2,3,2,2,3,2,3,2
1213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,1,1,1,2,1,1,1,2,2,2,1
1215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,1,2,2,2,3,3,2,3,2,3,4
1217,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,2,5,1,1,1,1,5,3,3,3,3
1221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,1,5,5,2,4,5,4,5,5,5,5
1223,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,1,4,1,1,2,2,3,2,2,3,3
1225,2,4,2,3,2,1,3,3,3,3,3
1226,2,1,1,1,1,1,1,1,1,2,1
1227,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1229,1,4,2,2,4,2,4,4,2,4,4
1230,2,3,3,2,2,1,2,3,2,1,1
1231,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
