CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
2465,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2466,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2467,2,4,2,2,2,2,4,2,2,2,2
2468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2469,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2470,2,2,1,2,2,2,2,2,2,2,2
2471,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2473,1,5,2,2,2,3,5,3,3,3,5
2474,1,5,5,5,5,5,5,5,5,5,5
2475,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2476,1,2,2,2,2,2,4,3,3,3,3
2477,1,2,2,NA,2,2,2,2,2,3,2
2478,1,1,1,2,1,1,4,2,2,3,3
2479,1,2,3,3,2,4,4,3,4,3,3
2480,2,2,2,1,1,1,NA,NA,NA,NA,NA
2481,2,2,2,2,2,2,2,2,2,2,2
2482,1,5,3,3,3,3,3,3,3,3,3
2483,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2484,1,4,2,3,3,3,4,3,3,4,3
2485,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2486,2,1,1,1,1,1,1,2,2,2,2
2487,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2488,2,2,2,2,2,2,2,2,2,2,2
2489,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2490,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,2,2,2,2,2,2,4,3,3,3,3
2492,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2493,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2494,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2496,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2497,2,2,2,2,2,2,2,2,2,4,4
2498,2,3,3,3,3,3,3,3,3,3,3
2499,2,2,2,2,2,2,4,4,4,4,4
2500,1,2,2,2,2,2,1,2,2,2,1
2501,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2502,2,1,2,2,4,2,1,2,2,4,2
2503,1,3,2,2,4,3,2,2,3,4,3
2504,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2505,1,2,1,1,1,2,2,2,2,3,2
2506,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507,1,4,4,2,4,4,4,4,4,4,4
2508,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2509,2,2,2,2,2,2,1,2,2,2,2
2510,1,2,2,2,3,2,3,3,2,3,2
2511,2,3,3,3,3,3,3,3,3,3,3
2512,2,1,1,1,4,1,1,1,1,4,1
2513,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2514,2,2,1,1,1,1,2,2,2,2,1
2515,2,5,5,5,5,5,5,5,5,5,5
2516,1,5,3,4,2,3,5,3,4,2,3
2517,1,5,2,3,3,2,2,3,2,2,3
2518,1,4,2,3,4,4,2,2,3,3,3
2519,1,2,2,4,3,3,5,4,4,4,4
2520,1,5,5,5,5,5,1,3,2,4,3
2521,1,2,2,2,2,2,4,2,2,2,4
2522,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2523,1,2,2,2,4,2,4,5,4,5,4
2524,1,2,2,2,2,2,3,3,3,3,3
2525,1,3,2,2,3,3,3,2,2,3,3
2526,2,5,3,3,2,3,2,2,2,4,3
2527,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2528,1,2,2,2,2,2,4,2,2,2,3
2529,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2530,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2531,2,2,3,3,3,4,2,3,2,4,2
2532,1,4,4,4,4,5,1,4,4,2,1
2533,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2534,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2535,1,4,3,NA,2,3,NA,4,2,4,3
2536,2,3,3,4,2,2,2,4,2,3,3
2537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2538,1,2,2,2,2,2,2,3,2,3,3
2539,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2541,2,3,2,4,3,2,3,3,3,2,4
2542,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2543,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2544,2,1,1,4,3,1,3,3,3,4,3
2545,2,1,1,1,1,1,2,2,2,3,2
2546,2,2,2,3,3,1,2,4,2,4,5
2547,2,4,4,3,3,4,2,4,3,3,4
2548,2,3,2,2,3,3,2,2,2,3,3
2549,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2550,1,2,2,2,2,3,2,3,2,2,3
2551,2,2,2,2,2,2,2,2,2,2,2
2552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2553,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2554,1,2,2,2,3,1,2,2,2,3,1
2555,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2556,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2557,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2558,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2559,2,1,4,4,4,2,3,2,3,3,4
2560,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2561,1,2,2,2,1,1,2,2,2,1,1
2562,2,4,3,3,3,3,3,3,2,4,3
2563,2,2,2,2,2,2,2,2,2,2,2
2564,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2565,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2566,2,3,1,3,2,1,3,5,5,4,4
2567,2,1,1,1,3,3,4,4,3,5,5
2568,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2569,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2570,2,2,2,2,2,2,2,2,2,2,2
2571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2572,2,2,2,2,2,2,2,2,2,2,2
2573,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2574,2,3,NA,5,4,3,2,4,3,1,2
2575,2,2,2,2,2,1,5,5,4,3,3
2576,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2577,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2578,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2579,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2580,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2581,2,1,2,1,2,2,1,2,1,2,2
2582,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2583,2,2,2,3,1,2,2,3,3,1,2
2584,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2585,2,2,2,2,2,2,5,5,5,5,5
2586,2,2,2,2,2,2,2,2,2,2,2
2587,1,1,2,2,3,1,1,4,3,3,4
2588,2,2,2,2,4,2,2,2,2,4,2
2589,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2590,2,2,3,3,3,3,2,3,2,2,1
2591,2,2,3,4,3,3,2,2,2,3,4
2592,2,4,2,2,2,2,4,2,2,2,2
2593,1,4,2,2,2,2,4,3,3,3,3
2594,2,4,2,2,2,2,4,4,2,2,3
2595,1,2,2,2,1,2,2,1,2,3,1
2596,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597,1,3,4,2,4,4,2,4,4,4,4
2598,2,2,2,2,2,2,1,2,2,1,1
2599,1,2,2,2,2,2,2,2,2,2,2
2600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2601,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2602,2,2,3,3,3,3,4,3,3,3,3
2603,2,2,3,3,3,3,4,4,4,4,4
2604,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2605,1,3,4,2,4,3,2,4,2,4,3
2606,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2607,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2608,1,2,2,2,2,2,3,2,2,2,2
2609,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2610,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2611,1,2,1,1,1,1,4,4,3,5,5
2612,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2613,2,2,5,2,3,4,2,4,4,4,5
2614,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2615,1,3,3,2,2,3,5,5,5,5,3
2616,2,2,2,2,4,2,2,4,2,2,2
2617,2,4,3,2,3,3,2,3,2,2,3
2618,2,2,3,3,3,3,2,3,2,3,4
2619,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2620,1,5,2,2,2,2,2,3,2,4,4
2621,2,2,1,1,1,1,1,2,1,2,1
2622,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2623,1,4,2,2,2,2,4,2,2,2,2
2624,1,4,3,3,3,3,2,3,3,3,3
2625,2,3,3,3,3,3,3,3,3,3,3
2626,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2627,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2629,2,1,1,1,1,1,1,1,1,1,1
2630,1,4,2,3,3,3,3,3,3,3,3
2631,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2632,1,2,2,2,2,2,4,2,2,4,4
2633,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2634,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2635,1,4,1,1,4,2,1,1,2,1,1
2636,2,5,2,3,3,2,4,3,3,4,4
2637,1,1,2,2,2,1,5,4,3,5,5
2638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2639,1,4,3,3,2,3,4,2,2,2,3
2640,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2641,2,2,3,3,3,3,2,3,3,3,3
2642,1,2,2,2,2,1,4,2,2,2,4
2643,1,5,4,2,2,4,2,4,2,4,4
2644,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2645,1,2,2,2,NA,3,4,3,3,3,3
2646,1,2,2,5,4,2,4,4,4,4,4
2647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2648,1,4,NA,NA,NA,NA,2,2,2,4,3
2649,2,3,3,3,3,3,3,3,3,3,3
2650,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2651,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2652,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,2,3,3,3,3,2,3,3,3,3,3
2654,2,3,2,4,4,2,4,2,2,4,2
2655,1,3,2,3,3,3,3,3,3,3,3
2656,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2657,2,2,2,2,2,2,2,2,2,4,2
2658,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2659,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2660,1,2,4,4,4,4,4,2,2,1,1
2661,2,2,2,2,2,2,2,2,2,2,2
2662,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2663,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2665,2,2,1,1,1,1,4,3,3,3,4
2666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2667,2,1,1,1,1,1,1,1,1,1,1
2668,2,2,2,2,2,3,4,2,2,3,3
2669,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2670,2,3,5,3,3,5,1,2,2,3,3
2671,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2672,1,2,2,3,2,2,5,4,3,4,5
2673,1,2,2,2,3,2,2,2,2,3,2
2674,2,3,3,3,3,3,3,3,3,3,3
2675,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2676,2,2,2,1,1,1,1,2,2,2,1
2677,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2678,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2679,2,2,2,2,2,2,2,2,2,2,2
2680,1,2,2,2,2,2,2,2,2,4,4
2681,2,5,5,4,2,1,2,1,2,4,5
2682,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2683,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2684,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,1,2,2,2,1,2,2,2,2,2,2
2687,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2688,1,2,4,2,4,2,2,2,2,2,2
2689,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2690,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2691,2,2,2,2,3,2,2,2,2,2,3
2692,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2693,1,2,2,1,4,2,3,2,2,2,2
2694,1,4,2,2,2,3,4,2,2,3,2
2695,1,4,3,3,2,2,2,3,3,3,3
2696,1,4,4,2,3,2,4,3,3,3,3
2697,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2698,2,2,2,1,2,2,2,3,3,3,3
2699,2,4,3,3,3,3,4,3,3,3,3
2700,1,2,2,2,4,2,4,2,2,4,2
2701,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702,1,2,2,2,4,4,1,1,1,1,1
2703,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2704,1,2,2,2,2,2,2,4,2,3,4
2705,1,3,1,1,1,3,4,4,4,4,4
2706,1,2,2,2,2,2,4,2,2,3,4
2707,2,3,3,3,3,3,3,3,3,3,3
2708,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2709,2,3,2,1,4,3,1,3,2,3,2
2710,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2712,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2713,1,5,2,2,2,2,5,4,4,4,4
2714,1,4,2,2,3,2,4,3,3,3,3
2715,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,2,2,3,2,2,2,2,2,2,2,2
2717,1,2,2,3,3,2,4,5,3,5,5
2718,1,5,1,1,1,4,4,2,2,4,5
2719,1,4,2,2,2,2,4,2,3,3,3
2720,1,2,2,2,2,1,2,3,3,3,3
2721,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2722,1,4,2,3,2,2,4,3,3,3,3
2723,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2724,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2725,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2726,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2727,1,5,2,2,3,3,5,2,2,3,3
2728,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2730,2,4,2,2,3,3,2,3,3,3,3
2731,1,4,4,4,3,2,4,3,3,3,3
2732,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2733,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2735,1,4,1,1,2,1,1,3,4,4,2
2736,2,1,1,1,1,1,1,2,2,2,1
2737,1,3,3,3,3,3,3,3,NA,4,4
2738,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2739,2,2,1,1,1,1,1,3,2,2,4
2740,2,3,1,1,1,1,4,4,4,4,5
2741,1,2,2,2,2,2,2,2,2,2,2
2742,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2743,1,2,2,2,2,1,2,2,2,2,1
2744,2,3,3,3,3,3,3,3,3,3,3
2745,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2746,1,4,3,3,3,2,2,3,3,3,3
2747,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2748,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2749,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2750,2,4,2,2,2,2,4,3,2,2,3
2751,2,4,2,1,2,1,1,1,1,2,1
2752,2,3,3,3,3,3,3,3,3,3,3
2753,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2754,2,4,2,2,3,3,4,2,2,4,4
2755,2,2,2,2,2,2,2,2,2,2,3
2756,1,3,3,3,2,3,2,3,3,3,3
2757,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2758,2,4,3,2,3,2,5,3,3,3,3
2759,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,1,3,3,2,4,3,5,4,4,4,5
2761,2,5,4,4,5,4,2,3,1,2,1
2762,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,2,2,2,2,2,2,2,2,NA,2,2
2764,2,1,1,3,3,3,3,3,3,3,3
2765,1,5,1,4,1,1,1,2,2,2,2
2766,1,3,3,2,2,2,1,2,2,2,2
2767,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2769,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,1,2,3,2,2,2,2,4,3,1,2
2771,1,2,2,2,3,2,2,2,2,3,4
2772,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2775,2,2,3,2,2,2,2,2,2,3,3
2776,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2777,2,1,1,1,2,1,5,3,3,3,3
2778,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2779,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2781,1,2,2,2,2,2,2,3,3,3,3
2782,1,1,4,2,4,3,4,3,3,4,3
2783,1,3,3,3,3,3,3,3,3,3,3
2784,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2785,2,2,2,2,2,2,3,3,3,3,3
2786,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2787,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2788,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2789,2,4,3,3,5,5,3,4,3,5,4
2790,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2791,1,4,2,3,2,3,2,2,2,3,4
2792,1,4,3,2,4,2,2,3,3,4,3
2793,1,2,2,4,2,2,2,2,2,4,4
2794,1,2,3,3,3,3,3,3,3,3,2
2795,1,4,2,2,3,2,2,2,2,3,2
2796,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2797,1,5,3,2,3,4,1,2,2,2,1
2798,2,3,3,3,3,3,5,3,3,3,3
2799,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2800,1,2,2,2,2,2,2,2,2,2,2
2801,2,4,4,1,2,1,2,2,1,1,1
2802,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2803,1,2,2,2,2,2,2,2,2,2,2
2804,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2805,1,3,2,2,2,2,4,3,2,3,4
2806,2,4,2,2,2,2,4,3,2,4,4
2807,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2808,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2809,1,2,2,2,4,2,2,2,2,4,3
2810,2,2,2,2,2,2,2,2,2,2,2
2811,1,2,2,2,2,2,4,4,2,4,4
2812,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2813,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2815,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2816,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2817,1,1,1,1,1,1,3,3,3,3,3
2818,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2819,2,2,1,1,2,2,2,1,1,2,2
2820,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2821,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2822,2,3,1,1,3,1,1,1,2,3,3
2823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2824,2,2,1,1,2,2,5,5,5,5,5
2825,1,2,2,1,2,2,1,2,1,2,1
2826,1,4,2,2,4,3,1,2,2,2,2
2827,2,3,4,3,3,4,3,4,3,3,4
2828,2,2,2,2,3,2,2,3,2,3,2
2829,1,4,2,4,4,4,4,5,5,5,5
2830,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2831,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2832,1,4,2,2,1,1,4,3,3,3,3
2833,2,4,4,4,4,4,2,2,2,2,2
2834,1,1,1,1,3,3,3,3,3,2,2
2835,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2836,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2837,2,3,2,2,2,2,2,2,2,2,2
2838,1,1,2,2,4,2,2,4,2,4,4
2839,1,2,4,2,2,4,1,4,2,2,2
2840,1,4,2,2,2,3,3,2,3,3,4
2841,2,3,3,2,2,3,3,3,2,3,3
2842,2,3,2,3,2,2,2,4,2,4,2
2843,1,1,1,1,2,1,1,1,1,2,1
2844,1,3,3,3,3,2,2,2,3,2,2
2845,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2846,2,2,2,2,2,2,2,2,2,2,3
2847,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2848,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2849,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850,2,2,1,2,1,1,1,3,2,3,2
2851,2,4,4,4,3,3,2,3,4,4,4
2852,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2853,1,3,2,2,4,2,4,3,4,4,4
2854,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2855,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2856,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2857,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2858,1,2,4,2,4,2,4,4,4,4,4
2859,2,4,2,2,3,4,1,2,2,3,2
2860,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2861,2,1,2,1,3,3,4,1,2,2,2
2862,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2863,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2864,2,3,2,2,2,2,4,2,2,4,4
2865,1,2,2,2,2,2,2,2,1,2,2
2866,2,2,2,1,2,2,1,3,2,3,2
2867,2,2,3,4,5,4,3,3,2,3,4
2868,1,3,3,3,3,3,3,3,3,3,3
2869,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2870,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2871,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2872,2,4,2,2,4,3,4,4,3,4,3
2873,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2874,1,4,2,2,3,2,2,2,2,4,3
2875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2876,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2877,2,4,3,2,3,3,4,4,2,4,4
2878,2,3,3,3,3,3,3,3,3,3,3
2879,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2880,2,2,2,2,2,2,2,2,2,2,2
2881,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2882,1,4,1,2,2,1,2,2,2,3,1
2883,1,4,2,2,4,2,2,2,2,4,2
2884,2,2,2,4,2,2,4,3,2,4,3
2885,1,2,2,2,2,2,4,3,2,3,4
2886,1,5,2,2,3,4,5,4,3,3,5
2887,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2888,1,4,3,4,2,3,5,4,4,4,4
2889,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2890,1,4,3,2,4,3,2,2,2,4,3
2891,1,5,4,2,3,4,5,3,2,3,2
2892,1,1,3,2,3,2,5,4,4,4,5
2893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2894,2,4,2,3,2,2,2,4,3,2,2
2895,1,2,3,4,5,2,4,4,2,4,4
2896,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2897,1,2,3,3,3,3,3,3,3,3,3
2898,2,2,2,2,2,3,2,4,2,2,3
2899,2,4,2,2,3,2,2,2,2,2,2
2900,1,2,3,3,3,3,3,3,3,3,3
2901,2,4,3,1,2,NA,4,4,4,4,4
2902,2,2,2,3,2,2,2,2,3,3,3
2903,1,2,4,3,4,4,5,4,4,4,4
2904,1,2,2,2,2,2,2,2,2,2,2
2905,2,4,3,2,4,4,4,4,4,3,3
2906,2,4,1,2,2,2,4,1,2,2,2
2907,2,4,4,3,2,2,4,3,3,3,3
2908,1,2,2,2,1,1,5,4,4,4,4
2909,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2910,2,1,3,3,3,3,2,2,2,2,2
2911,1,2,2,2,2,2,4,3,2,3,3
2912,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2913,1,4,2,2,3,3,4,4,4,3,4
2914,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2915,1,2,3,2,3,3,2,3,3,3,3
2916,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2917,2,2,2,3,2,3,3,3,2,2,3
2918,2,2,2,2,2,2,2,2,2,2,2
2919,1,2,2,3,3,2,3,3,3,3,3
2920,1,4,1,1,1,1,1,1,1,1,1
2921,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2922,2,2,2,2,1,1,5,2,3,3,3
2923,1,1,2,3,5,5,3,1,1,1,1
2924,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2925,2,1,3,2,4,1,2,4,3,4,3
2926,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2927,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2929,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2930,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2931,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2932,2,2,3,2,2,1,3,3,2,3,3
2933,2,1,1,1,1,1,1,1,1,1,1
2934,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2935,2,1,1,1,2,1,1,1,1,2,1
2936,1,2,2,2,2,2,3,3,3,2,3
2937,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2938,2,2,2,2,2,2,5,2,2,2,2
2939,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2940,1,2,2,3,2,2,2,4,4,4,4
