casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2,sci_issues7,sci_irt7
4163,2,1,0,1,1,1,1,1,1,1,1,0,0,69.51,78.66,82.25,0.67,0,0.89,0,3,65.14
6660,2,1,0,1,0,0,1,1,0,0,1,1,0,63.45,77.6,87.53,0.67,0,0.56,0,2,54.2
5538,2,1,0,1,1,1,1,1,0,1,1,0,0,62.29,73.62,79.59,1,1,0.89,0,3,61.81
5263,2,0,0,1,0,1,0,0,0,0,0,0,0,56.33,77.74,82.8,1,1,1,1,3,52.27
3470,2,0,0,1,1,1,1,0,0,0,0,0,0,53.34,69.3,71.93,0.67,0,0.78,0,2,60.03
4824,2,0,0,1,1,1,1,1,1,1,1,1,1,53.18,70.94,85.52,1,1,0.89,0,1,54.03
5888,2,1,0,1,1,0,1,1,1,1,1,1,1,62.91,70.71,74.42,1,1,1,1,3,57.97
3250,2,1,0,1,1,1,1,1,1,1,1,1,1,61.65,69.27,72.01,1,1,1,1,3,58.97
1820,2,0,0,1,0,0,0,0,1,0,0,0,0,57.96,59.2,68.57,1,1,0.78,0,2,56.54
3730,2,0,0,1,1,0,1,1,0,0,0,0,0,58.33,74.42,79.91,1,1,0.89,0,3,54.85
3044,2,1,0,1,1,1,1,1,1,0,0,0,0,57.77,57.85,61.64,1,1,0.67,0,1,53.07
1526,2,0,0,1,0,1,0,1,0,0,0,0,0,49.57,51,62.96,0.67,0,0.89,0,2,45.32
3018,2,0,0,1,1,1,1,1,1,1,0,1,1,59.11,74.87,74.06,1,1,1,1,3,73.38
4431,2,1,1,0,1,1,1,1,1,1,1,1,1,42.81,71.44,78.64,0.33,0,0.56,0,3,48.86
2911,2,1,1,1,0,0,0,1,1,0,1,0,1,46.64,51.76,56.11,0.67,0,0.67,0,1,44.19
1386,2,1,0,0,0,0,0,0,0,0,0,0,0,56.62,67.71,64.62,1,1,0.67,0,1,58.43
5397,2,1,0,1,1,1,1,0,1,0,1,1,0,58.42,75.02,77.1,1,1,1,1,2,62.01
6902,2,1,1,0,0,0,0,0,0,0,0,0,0,45.93,55.83,65,0.67,0,0.67,0,1,44.38
6862,2,0,0,0,0,1,0,0,0,0,0,1,0,61.07,75.9,81.12,0.33,0,0.67,0,1,58.77
3768,2,0,0,1,0,1,1,1,0,1,1,0,0,46.89,56.59,45.75,0.67,0,0.78,0,1,42.03
6873,2,0,0,0,0,0,0,0,1,0,0,1,1,54.64,69.06,69.13,0.5,0,0.88,0,2,49.37
2793,2,1,1,1,0,1,0,1,1,1,1,1,1,44.95,41.76,52.25,1,1,0.89,0,2,35.37
6531,2,1,1,0,0,1,0,0,1,1,1,1,1,41.75,50.31,35.71,1,1,1,1,1,43.31
6545,2,1,0,1,0,0,0,0,1,1,1,0,1,53.2,56.1,57.68,0.5,0,0.88,0,1,48.77
2388,2,0,1,1,0,0,1,1,0,0,1,0,1,47.38,58,58.1,0.5,0,0.88,0,2,49.19
4439,2,1,1,0,0,0,0,0,1,1,1,1,1,46.49,60.63,70.58,1,1,1,1,1,50.36
2763,2,0,0,1,1,1,1,0,1,1,1,1,1,56.97,73.01,78.62,0.67,0,0.78,0,2,54.29
