     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000         *     0.000     0.000     0.000    70.050    78.520    78.770     0.000     0.459     0.495     0.045     3.000 3819
     0.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000    59.360    72.060    75.050     0.651     0.138     0.211     0.000     1.000 5881
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    61.660    70.000    90.010     0.000     0.003     0.020     0.978     4.000 5278
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    69.870    74.470    80.020     0.998     0.000     0.002     0.000     1.000 6693
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    64.220    61.900    79.070     0.000     0.840     0.070     0.090     2.000 4294
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    60.130         *    84.560     0.998     0.000     0.002     0.000     1.000 5682
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    60.660    72.150         *     0.001     0.973     0.025     0.000     2.000 6485
     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000         *     0.000     0.000     0.000    71.660    86.790         *     0.000     0.263     0.404     0.333     3.000 4938
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    55.060    63.960    75.090     0.000     0.021     0.017     0.961     4.000 6080
     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    61.990    62.710    69.110     0.000     0.074     0.080     0.845     4.000 1730
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000    60.090    63.670    69.660     0.037     0.864     0.099     0.000     2.000 5280
     0.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000    58.980    65.770         *     0.008     0.002     0.991     0.000     3.000 2204
     0.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000    57.980    68.850    78.240     0.000     0.693     0.283     0.023     2.000 6715
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    47.490    56.320         *     0.000     0.013     0.043     0.944     4.000 6821
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000    55.030    54.260    68.900     0.363     0.011     0.626     0.000     3.000 2041
     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000    66.300    82.490    91.440     0.027     0.078     0.895     0.000     3.000 4888
     0.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    50.040         *    66.010     0.000     0.693     0.283     0.023     2.000 6611
     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    50.100    55.210    59.190     0.000     0.039     0.037     0.923     4.000 6800
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    46.640    54.220    61.160     0.998     0.000     0.002     0.000     1.000 6469
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    55.690         *    64.750     0.000     0.001     0.005     0.994     4.000 3803
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    47.300    36.890    57.400     0.000     0.001     0.020     0.980     4.000 4168
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    49.280    31.450         *     0.998     0.000     0.002     0.000     1.000 4618
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    51.780    62.250         *     0.001     0.973     0.025     0.000     2.000 5353
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    47.810    43.230         *     0.998     0.000     0.002     0.000     1.000 4533
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    49.730    61.090    67.630     0.000     0.001     0.005     0.994     4.000 2417
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000    47.330    54.610         *     0.004     0.399     0.596     0.001     3.000 6901
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    42.580    46.750         *     0.000     0.000     0.002     0.998     4.000 3094
     1.000         *         *         *         *         *         *         *         *         *     0.000     0.000    48.330    46.610         *     0.439     0.270     0.189     0.102     1.000 1976
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    67.350    78.210         *     0.991     0.000     0.009     0.000     1.000 5373
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000    44.240    45.140    52.570     0.974     0.004     0.022     0.000     1.000 1033
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000         *     0.000    43.590         *    27.010     0.000     0.000     0.002     0.998     4.000 2418
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000    49.850         *         *     0.991     0.001     0.008     0.000     1.000 4916
     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    52.570    55.210    56.850     0.000     0.008     0.017     0.974     4.000 2310
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    36.780    43.510    50.270     0.998     0.000     0.002     0.000     1.000 4853
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000    44.060    39.890    36.180     0.000     0.014     0.967     0.019     3.000 2834
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    36.860    57.500         *     0.998     0.000     0.002     0.000     1.000 3830
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    41.620    46.970         *     0.998     0.000     0.002     0.000     1.000 6085
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000    35.410    48.570    37.240     0.035     0.625     0.339     0.000     2.000 2132
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    32.040         *    51.340     0.998     0.000     0.002     0.000     1.000 2561
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    60.080    82.140    79.430     0.998     0.000     0.002     0.000     1.000 3882
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000    39.060         *         *     0.905     0.007     0.087     0.000     1.000 1024
     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000    40.290    48.710         *     0.039     0.459     0.502     0.000     3.000 5819
     0.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000    55.280    73.480    80.760     0.012     0.031     0.957     0.000     3.000 5031
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    54.290    55.440    67.690     0.998     0.000     0.002     0.000     1.000 1697
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000    35.290    59.730         *     0.003     0.966     0.031     0.000     2.000 3134
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000    43.040    40.740    51.390     0.001     0.973     0.025     0.000     2.000 1397
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    47.890    58.920         *     0.000     0.992     0.007     0.001     2.000 5789
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000    52.620    63.330    69.740     0.007     0.930     0.063     0.000     2.000 1762
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000    42.960    52.170         *     0.037     0.864     0.099     0.000     2.000 5249
