0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	.	0	0	1	1	0	0	1	0	0	0	0	0	0	70.05	78.52	78.77	-0.014	-0.004	0.035	-0.002	-0.008	-0.002	0.021	-0.001	0.062	0.018	-0.156	0.009	-0.004	-0.001	0.009	-0.001	0.428	0.127	-1.076	0.064	0.251	0.074	-0.632	0.037	-1.895	-0.561	4.767	-0.282	0.116	0.034	-0.291	0.017	-0.041	-0.012	0.102	-0.006	-0.024	-0.007	0.06	-0.004	0.18	0.053	-0.453	0.027	-0.011	-0.003	0.028	-0.002	-0.01	-0.003	0.026	-0.002	-0.006	-0.002	0.015	-0.001	0.045	0.013	-0.114	0.007	-0.003	-0.001	0.007	0	3819
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	59.36	72.06	75.05	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5881
1	0	0	0	0	0	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1	68.47	.	.	0.014	0	-0.001	0	0	0	0	0	-0.001	0	0	0	0	0	0	0	-0.119	0.002	0.005	0	0.001	0	0	0	0.006	0	0	0	0	0	0	0	-0.105	0.001	0.004	0	0.001	0	0	0	0.005	0	0	0	0	0	0	0	1.326	-0.018	-0.057	0.002	-0.009	0	0	0	-0.063	0.001	0.003	0	0.004	0	0	0	1435
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	61.66	70	90.01	0.003	0.001	-0.007	0	0	0	-0.001	0	0.001	0	-0.002	0	-0.015	-0.005	0.039	-0.002	-0.025	-0.007	0.063	-0.004	-0.003	-0.001	0.008	0	-0.006	-0.002	0.016	-0.001	0.134	0.04	-0.337	0.02	-0.022	-0.007	0.055	-0.003	-0.003	-0.001	0.007	0	-0.006	-0.002	0.014	-0.001	0.119	0.035	-0.299	0.018	0.277	0.082	-0.697	0.041	0.035	0.01	-0.088	0.005	0.071	0.021	-0.179	0.011	-1.493	-0.442	3.756	-0.222	5278
1	1	.	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	69.87	74.47	80.02	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6693
1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	64.22	61.9	79.07	-0.008	-0.001	-0.001	0.021	0.041	0.003	0.003	-0.103	-0.004	0	0	0.009	-0.001	0	0	0.003	0.252	0.017	0.02	-0.634	-1.262	-0.085	-0.099	3.169	0.11	0.007	0.009	-0.276	0.036	0.002	0.003	-0.091	-0.024	-0.002	-0.002	0.06	0.12	0.008	0.009	-0.301	-0.01	-0.001	-0.001	0.026	-0.003	0	0	0.009	-0.006	0	0	0.015	0.03	0.002	0.002	-0.076	-0.003	0	0	0.007	-0.001	0	0	0.002	4294
1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	60.13	.	84.56	0.038	0.011	-0.095	0.006	0	0	0.001	0	-0.002	-0.001	0.005	0	0	0	0	0	-1.16	-0.343	2.919	-0.173	0.008	0.002	-0.02	0.001	0.056	0.016	-0.14	0.008	-0.004	-0.001	0.009	-0.001	0.11	0.033	-0.277	0.016	-0.001	0	0.002	0	-0.005	-0.002	0.013	-0.001	0	0	-0.001	0	0.028	0.008	-0.07	0.004	0	0	0	0	-0.001	0	0.003	0	0	0	0	0	5682
1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.	0	0	60.66	72.15	.	0.012	0	-0.001	0	-0.059	0.001	0.003	0	0.005	0	0	0	0.002	0	0	0	-0.365	0.005	0.016	-0.001	1.823	-0.024	-0.078	0.003	-0.159	0.002	0.007	0	-0.053	0.001	0.002	0	0.035	0	-0.001	0	-0.173	0.002	0.007	0	0.015	0	-0.001	0	0.005	0	0	0	0.009	0	0	0	-0.044	0.001	0.002	0	0.004	0	0	0	0.001	0	0	0	6485
0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	.	0	.	.	.	.	.	.	.	.	.	.	0	0	71.66	86.79	.	-0.445	0.006	0.019	-0.001	-0.261	0.003	0.011	0	1.971	-0.026	-0.084	0.003	-0.12	0.002	0.005	0	0.011	0	0	0	0.006	0	0	0	-0.048	0.001	0.002	0	0.003	0	0	0	0.024	0	-0.001	0	0.014	0	-0.001	0	-0.108	0.001	0.005	0	0.007	0	0	0	-0.002	0	0	0	-0.001	0	0	0	0.007	0	0	0	0	0	0	0	4938
0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	55.06	63.96	75.09	-0.007	0	-0.001	0.018	-0.001	0	0	0.002	-0.002	0	0	0.005	0.038	0.003	0.003	-0.095	0.215	0.015	0.017	-0.541	0.027	0.002	0.002	-0.068	0.055	0.004	0.004	-0.139	-1.161	-0.078	-0.091	2.915	-0.02	-0.001	-0.002	0.051	-0.003	0	0	0.006	-0.005	0	0	0.013	0.11	0.007	0.009	-0.277	-0.005	0	0	0.013	-0.001	0	0	0.002	-0.001	0	0	0.003	0.028	0.002	0.002	-0.07	6080
