1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	9999	1	1	1	0	0	0	0	0	0	0	0	9999	42.92	68.57	9999	0	0	53.29	63.29	9999	2	1009	0	.991	.009	0	2	2
1	1	1	1	1	1	1	1	1	1	1	1	9999	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	62.35	64.17	85.3	70.27	0	1	55.49	78.89	80.23	1	1011	.998	0	.002	0	1	2
0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	9999	9999	9999	51.24	46.33	57.25	53.25	1	0	45.21	57.33	65.05	2	1012	0	.309	.073	.619	4	2
0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999	9999	9999	9999	9999	47.15	55.81	1	9999	44.31	47.93	51.42	4	1029	0	.861	.125	.014	2	2
0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	40.36	36.2	50.34	51.53	0	0	44.24	45.14	52.57	1	1033	.992	0	.008	0	1	1
1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	9999	1	1	1	1	1	1	0	0	1	1	1	9999	9999	9999	49.89	56.53	59.55	51.25	1	1	48.47	62.57	63.36	1	1036	0	.036	.039	.924	4	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	9999	9999	9999	45.11	59.12	60.45	70.06	0	0	42.68	52.75	59.88	3	1040	0	0	.002	.998	4	3
0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	55.82	44.1	9999	9999	0	0	42.98	59.89	9999	4	1043	0	.008	.296	.696	4	2
0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	75.91	71.1	95.35	87.7	0	0	71.87	88.97	97.56	1	1045	.992	0	.008	0	1	2
1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	59.68	47.98	68.39	61.73	1	0	55.21	69.05	72.27	2	1052	0	.991	.009	0	2	1
