    56.300    69.560    67.830         *         *         *     0.000     3.000    61.171     3.418    62.146     3.485     0.000     0.716     0.004     0.280     2.000
    37.100    34.860    28.660    43.670    37.900         *     1.000     2.000    35.274     1.159    35.284     1.146     0.982     0.000     0.000     0.018     1.000
    49.580         *         *    64.120         *         *     0.000     2.000    51.699     3.484    50.889     3.371     0.003     0.312     0.012     0.672     4.000
    47.050    48.070    42.290         *         *         *     0.000     1.000    44.907     1.113    44.092     2.617     0.472     0.002     0.003     0.522     4.000
    37.950    38.360    56.990         *         *         *     1.000     2.000    41.447     4.418    42.375     3.695     0.117     0.001     0.184     0.698     4.000
    49.440    62.480    64.950    71.550    73.240    75.570     1.000     2.000    57.025     3.983    57.263     3.961     0.000     0.896     0.000     0.104     2.000
    60.560    67.420    69.810    72.810    70.790    74.880     1.000     1.000    62.634     2.545    62.707     2.533     0.000     0.978     0.000     0.022     2.000
    44.480    61.600    60.650    65.320    64.190    69.980     1.000     3.000    52.435     3.356    51.659     3.522     0.001     0.258     0.000     0.741     4.000
    45.970         *    62.210    61.220         *         *     0.000     3.000    50.599     3.614    50.541     3.494     0.004     0.090     0.027     0.879     4.000
    58.310    62.040    63.990    65.660    71.340    64.730     0.000     3.000    58.487     2.660    59.147     2.568     0.000     0.651     0.000     0.349     2.000
    48.380    43.040    65.570    68.470    80.570         *     0.000     2.000    47.367     8.985    47.295     9.047     0.000     0.000     0.983     0.017     3.000
    41.080         *    61.940         *         *         *     1.000     1.000    46.244     4.480    46.530     3.621     0.010     0.148     0.164     0.679     4.000
         *    51.740    66.060    69.150         *         *     0.000     2.000    53.451     4.037    53.769     3.601     0.000     0.256     0.052     0.691     4.000
    64.270    70.910    73.380    79.330    80.970    82.220     1.000     2.000    66.317     3.582    66.331     3.580     0.000     0.995     0.000     0.005     2.000
    56.590    62.410    65.240    71.140    72.140         *     0.000     2.000    58.736     3.497    58.825     3.494     0.000     0.949     0.000     0.051     2.000
    47.430    45.810    57.330    54.030    61.440    65.910     0.000     3.000    47.629     3.301    47.628     3.313     0.012     0.015     0.000     0.973     4.000
    49.540    54.090    53.980    54.970    66.500         *     1.000     2.000    49.457     3.451    49.390     3.479     0.017     0.130     0.000     0.853     4.000
    45.910    38.080    34.930    31.150         *         *     0.000     1.000    40.549    -1.174    40.591    -1.210     0.987     0.000     0.000     0.013     1.000
    71.990    75.240    77.850    81.310    79.760    76.200     0.000     2.000    71.445     2.255    71.457     2.254     0.000     0.997     0.000     0.003     2.000
    55.550    55.450    63.010    64.360    64.230    68.360     0.000     2.000    54.764     2.735    55.321     2.649     0.000     0.662     0.000     0.338     2.000
    27.750    31.030    43.010    36.300         *         *     0.000     2.000    32.738     1.570    32.736     1.367     0.899     0.000     0.006     0.094     1.000
    44.500         *         *         *         *         *     0.000     1.000    45.010     2.458    44.980     3.020     0.234     0.092     0.032     0.642     4.000
    62.340    55.620    64.850    70.680    74.120    85.510     0.000     3.000    57.594     4.182    57.352     4.322     0.000     0.586     0.000     0.414     2.000
    51.460    53.810    55.910    61.140    63.610    63.260     1.000     2.000    51.518     2.876    51.892     2.811     0.004     0.682     0.000     0.314     2.000
    57.310         *    62.030    61.080         *         *     1.000     2.000    55.299     2.567    56.038     2.428     0.005     0.639     0.000     0.356     2.000
    37.830         *         *         *         *         *     0.000     1.000    40.231     2.385    41.169     3.211     0.354     0.015     0.061     0.570     4.000
    35.810         *         *         *         *         *     0.000     2.000    38.882     2.318    37.337     0.641     0.534     0.003     0.075     0.388     1.000
