"hispanic","Gender","LifeSat1","LifeSat2","LifeSat3","LifeSat4","LifeSatA","PYDI1Ab","PYDI2Ab","PYDI3Ab","PYDI4Ab","PYDI5Ab","PYDI6Ab","PYDI7Ab"
1,2,5,4,5,5,81,0,1,1,1,1,1,1
0,1,3,1,4,6,48,1,0,1,0,1,1,1
1,2,3,1,2,1,17,0,1,1,1,1,1,1
1,1,6,3,3,5,80,1,1,1,1,1,1,1
0,1,4,3,3,3,65,0,1,0,1,1,0,1
0,1,4,2,5,2,50,1,1,0,1,1,1,1
0,1,5,4,3,5,85,0,1,1,0,1,1,1
0,2,2,3,2,1,20,0,1,1,0,0,1,0
0,1,4,1,4,4,69,0,1,1,0,0,1,1
0,1,6,3,3,3,40,0,1,1,0,0,1,1
1,2,4,2,3,3,66,0,1,0,1,1,1,1
0,1,4,2,3,3,73,0,0,1,0,1,1,1
1,2,5,1,3,4,71,0,1,1,1,0,0,1
0,1,5,3,4,2,30,0,1,1,1,1,1,1
1,2,1,1,1,1,40,0,1,1,1,1,1,1
1,2,5,4,4,4,70,0,0,1,0,1,1,1
0,1,5,3,5,4,79,0,1,1,1,1,1,1
1,2,4,4,4,3,65,1,1,1,1,1,1,1
0,2,3,3,4,4,59,1,1,1,1,1,1,1
1,2,4,2,1,4,60,1,1,0,1,1,1,1
0,2,2,1,3,1,27,0,1,0,1,0,1,1
1,2,2,1,4,4,33,1,1,1,1,1,1,1
1,1,5,5,4,5,48,1,1,1,0,1,1,0
0,1,3,4,4,3,59,1,1,1,1,0,1,1
0,1,4,3,4,3,58,1,0,1,1,0,0,1
0,1,5,3,5,5,61,0,1,0,1,1,1,1
1,1,4,2,3,3,40,0,1,0,1,0,1,1
0,2,4,4,3,3,80,1,1,1,1,1,1,1
0,1,4,2,3,3,65,0,1,0,1,1,1,1
0,1,5,4,4,4,75,0,1,0,1,1,1,1
0,1,4,3,4,4,68,0,1,1,1,0,0,0
0,2,6,4,5,5,65,0,0,1,1,0,1,1
0,1,3,3,2,3,47,1,1,1,1,1,1,1
0,2,3,2,4,3,25,0,1,0,1,0,1,1
0,2,3,1,3,3,35,0,0,0,1,1,1,1
0,1,5,3,4,3,65,1,1,0,1,1,1,1
0,2,3,2,2,2,60,0,1,1,0,0,0,0
1,1,4,4,4,3,30,1,1,1,1,1,1,1
0,1,4,3,4,4,70,1,1,1,1,1,1,1
0,2,6,1,4,4,0,0,0,1,1,1,0,0
0,2,5,2,5,5,70,0,1,0,0,0,1,0
0,1,5,4,5,5,67,0,1,1,1,0,0,0
0,2,4,4,4,4,51,1,1,1,1,0,1,1
0,1,3,2,3,3,60,1,1,1,1,1,1,1
0,1,4,4,4,4,85,0,0,1,0,0,0,1
0,2,4,2,4,3,66,1,1,0,1,1,1,0
0,1,5,4,3,4,70,1,1,1,1,1,1,1
1,1,4,4,4,5,89,1,1,1,1,1,1,1
0,1,4,3,3,3,51,1,1,1,1,1,1,1
0,2,3,3,3,3,37,0,1,1,1,1,1,1
0,1,6,4,6,5,70,0,0,0,1,1,1,1
0,1,4,3,3,3,50,0,1,0,1,1,1,1
0,1,4,3,4,4,70,0,1,1,0,1,1,1
1,1,4,4,4,3,51,0,1,1,1,0,1,0
0,1,5,2,5,4,73,0,0,1,1,0,1,0
0,2,4,2,3,3,70,1,1,1,1,1,0,1
1,2,4,2,4,4,70,1,1,1,1,1,1,1
0,1,3,3,4,3,43,0,1,1,0,0,1,1
0,2,6,4,5,5,69,0,1,0,1,1,1,1
1,1,2,2,1,2,16,1,1,0,1,1,1,1
0,1,5,2,5,4,65,1,1,1,0,0,1,1
0,1,4,4,4,4,60,1,1,1,1,1,1,1
0,2,4,1,4,4,84,0,1,1,1,0,0,0
1,2,3,3,2,2,36,1,1,0,1,1,1,1
0,1,4,5,4,3,34,0,1,0,1,0,1,1
0,2,4,2,3,4,66,0,1,1,1,0,1,1
0,1,5,1,4,2,28,0,1,1,1,0,1,0
0,1,5,4,4,4,75,1,1,1,1,1,1,1
0,1,4,3,4,3,65,0,1,1,1,0,1,1
0,2,6,4,5,5,82,1,1,0,1,1,1,0
0,1,4,4,4,4,66,0,1,1,1,1,1,1
0,1,4,4,4,4,65,1,1,1,1,1,1,1
0,2,4,3,3,2,45,1,1,1,1,1,1,1
0,1,4,4,4,4,74,1,1,1,1,1,1,1
0,1,5,3,5,4,66,0,0,0,1,1,1,1
0,1,4,3,4,4,76,0,1,1,1,1,1,1
0,2,4,4,5,5,66,0,1,0,0,1,1,0
1,1,4,4,4,5,83,0,1,0,1,1,1,1
0,1,4,4,4,4,62,0,0,0,0,0,0,1
0,2,5,4,5,5,60,1,1,1,0,0,0,1
0,1,2,1,2,6,18,0,0,1,1,1,1,1
0,2,4,2,4,4,63,0,1,1,1,0,1,0
0,2,4,3,4,4,65,1,1,1,1,1,1,1
0,2,2,1,3,1,40,1,1,1,0,1,1,1
0,1,4,2,4,4,33,1,1,1,1,1,1,1
0,1,5,3,2,3,54,1,1,1,1,1,1,1
0,2,6,3,4,5,90,1,1,1,1,0,1,1
0,2,5,2,4,4,49,0,1,0,1,1,1,1
0,2,5,1,5,3,80,0,1,1,1,0,1,1
1,1,5,4,4,3,62,0,1,1,1,0,1,1
0,2,4,3,4,4,65,1,1,1,1,1,1,1
0,1,4,4,3,4,74,0,1,0,0,0,1,1
0,1,4,1,4,4,75,0,1,1,1,1,1,1
0,1,2,2,2,2,14,0,1,0,0,1,1,1
1,2,4,2,2,3,64,0,0,1,0,0,0,1
1,1,4,1,3,3,70,0,0,0,1,0,1,1
1,2,2,2,2,2,58,0,1,1,1,1,1,1
0,1,4,4,3,4,52,0,1,1,1,0,1,1
0,2,5,4,4,5,93,0,1,1,1,1,1,1
1,2,4,3,4,3,50,1,1,1,1,1,1,1
0,2,5,5,5,5,82,0,1,1,1,0,0,0
0,1,5,4,5,3,65,0,0,1,1,0,1,1
0,2,4,2,2,3,90,0,1,1,1,1,1,1
0,1,4,4,4,4,50,1,1,1,1,1,1,1
0,5,5,4,3,4,69,1,1,1,1,1,1,1
0,1,4,2,2,4,56,0,1,1,0,0,1,0
1,5,4,1,4,1,40,1,1,1,1,1,1,1
0,2,5,3,2,3,60,1,1,1,1,1,1,1
1,1,6,4,5,6,50,0,1,1,1,1,1,1
0,2,5,5,4,5,92,0,1,1,1,0,1,1
0,2,2,3,2,2,50,0,0,0,0,0,0,0
0,1,4,4,4,4,71,1,1,1,1,1,1,1
1,2,4,5,3,4,63,1,0,1,1,1,0,0
1,2,4,4,4,4,35,1,1,1,1,1,1,0
0,1,4,3,3,3,37,0,1,1,1,1,1,1
0,1,4,4,4,4,59,0,1,1,1,1,1,1
1,1,4,3,4,4,60,0,0,1,0,1,1,1
0,1,4,3,3,3,77,0,1,1,0,0,1,1
0,1,3,3,2,3,61,1,1,0,1,1,1,0
1,2,4,2,3,4,63,1,1,1,1,1,1,1
0,2,5,4,5,4,66,1,0,0,1,1,1,1
1,2,4,4,4,4,80,1,1,1,1,1,1,1
0,1,4,4,4,4,71,1,1,1,1,1,1,1
0,2,4,4,4,4,60,1,1,1,1,1,1,1
0,1,4,4,4,4,60,1,1,1,1,1,1,1
0,1,5,4,4,4,84,1,1,1,1,1,1,1
0,1,6,4,5,4,71,1,1,0,1,1,1,1
1,2,4,2,4,2,33,1,1,0,1,1,1,1
0,1,4,2,3,3,62,1,1,0,1,1,1,1
0,1,4,4,4,5,83,0,1,1,1,1,1,1
0,2,4,4,5,5,85,1,1,0,0,1,1,1
0,1,4,4,4,4,70,0,1,0,1,1,1,1
0,1,4,3,2,3,71,1,1,1,1,1,1,1
1,1,4,3,1,2,80,1,1,1,1,1,1,1
0,1,5,2,3,4,76,0,1,1,1,0,1,1
0,1,5,3,4,3,60,0,1,1,0,1,1,1
1,2,4,4,5,5,81,0,1,1,1,1,1,1
0,1,4,4,3,4,71,1,1,1,1,0,1,1
0,1,4,2,5,3,57,1,1,1,1,1,1,1
1,1,4,3,3,4,72,0,1,1,0,1,1,1
1,1,4,3,3,3,49,0,0,0,0,0,1,0
0,1,5,4,4,5,69,1,0,1,1,1,1,1
1,1,4,3,4,4,70,1,1,1,1,1,1,1
0,1,4,3,3,4,67,1,1,1,1,1,1,1
1,2,6,6,6,6,95,1,1,1,1,1,1,1
0,2,4,3,4,4,84,1,1,1,1,1,1,1
0,2,5,4,4,4,87,0,1,0,1,1,1,1
0,1,4,3,3,4,30,0,1,1,1,0,1,1
0,2,3,3,3,3,51,0,1,1,1,1,1,1
0,2,5,3,4,5,80,0,1,1,1,0,1,1
0,2,5,5,5,4,81,0,1,1,1,1,1,1
0,1,4,3,4,4,55,1,1,1,1,1,1,1
0,2,4,3,4,4,70,1,0,1,1,0,0,0
1,2,6,3,4,5,65,1,0,1,1,1,1,1
0,2,6,4,2,3,95,0,1,0,1,1,1,1
0,1,5,5,3,5,59,1,1,1,1,1,0,1
0,1,5,3,3,4,73,1,1,1,0,0,1,1
