101221	101	2	1	1	1	1	1	.	.	.	1	1	1	1	1	.	.	.	.	1	.	2	.	1	0	.	209.4799	1012	1	1
101222	101	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	608.2185	1012	.	.
101223	101	2	.	.	.	.	.	.	.	.	0	0	0	0	0	.	.	.	.	1	.	2	.	2	0	.	226.3635	1012	1	0
101226	101	2	0	0	0	0	0	0	0	.	0	0	0	0	0	.	.	.	.	1	.	1	.	4	.	.	0	1012	0	0
101227	101	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	.	2	1	.	235.6428	1012	0	0
102101	102	1	0	0	1	1	1	1	1	1	0	0	0	0	0	.	.	.	.	1	.	1	.	1	0	.	45.0328	1021	0	1
102103	102	1	0	0	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	1	.	2	.	3	1	.	276.7414	1021	1	0
102104	102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	1	.	3	0	.	300.3896	1021	0	0
102105	102	1	.	.	.	.	.	.	.	.	0	1	0	0	0	.	.	.	.	1	.	1	.	1	0	.	310.2792	1021	0	1
102106	102	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	.	2	.	3	0	.	38.5349	1021	1	0
102107	102	1	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	.	1	.	1	.	1	.	.	310.0034	1021	0	1
102108	102	1	.	.	1	0	0	1	1	1	.	.	.	.	.	.	.	.	.	1	.	1	.	1	1	.	314.0446	1021	0	1
102109	102	1	1	1	1	1	0	1	1	1	.	.	.	.	.	.	.	.	.	1	.	2	.	2	.	.	241.8125	1021	1	0
102111	102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	2	.	1	0	.	40.3535	1021	1	1
102112	102	1	.	.	.	.	.	.	.	.	1	1	1	1	1	.	.	.	.	1	.	1	.	3	0	.	19.2341	1021	0	0
102113	102	1	1	1	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	1	.	1	.	2	0	.	298.9628	1021	0	0
102116	102	1	0	0	0	0	0	0	1	0	.	.	.	.	.	1	1	1	1	0	0	1	.	1	.	.	0	1021	0	1
102117	102	1	1	1	1	0	1	1	1	1	1	0	1	0	1	.	.	.	.	1	0	1	.	2	0	.	41.182	1021	0	0
102118	102	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	.	1	.	2	0	.	17.5268	1021	0	0
102120	102	1	1	0	0	0	0	0	0	0	.	.	.	.	.	.	.	.	.	1	0	2	.	4	0	.	271.9975	1021	1	0
102121	102	1	0	1	1	0	0	0	0	0	.	.	.	.	.	.	.	.	.	1	.	1	.	3	1	.	281.7671	1021	0	0
102122	102	1	0	0	1	0	0	0	0	1	0	0	0	1	1	.	.	.	.	1	.	2	.	3	0	.	247.1358	1021	1	0
102162	102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1021	.	.
102163	102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	1021	.	.
102164	102	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	1021	.	.
102201	102	2	1	1	1	1	1	.	1	1	0	0	0	0	0	.	.	.	.	1	0	1	.	1	.	.	0	1022	0	1
102202	102	2	.	.	.	.	.	.	.	.	0	0	0	1	1	.	.	.	.	1	.	2	.	3	0	.	1165.9821	1022	1	0
102203	102	2	0	1	0	0	0	0	0	0	0	0	0	0	1	.	.	.	.	1	.	2	.	2	0	.	30.8206	1022	1	0
102204	102	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	.	2	.	3	1	.	26.2945	1022	1	0
102205	102	2	.	.	.	.	.	.	.	.	0	0	1	1	1	.	.	.	.	1	.	1	.	3	.	.	0	1022	0	0
102206	102	2	.	.	.	.	.	.	.	.	0	0	1	1	0	.	.	.	.	1	.	1	.	1	0	.	870.1291	1022	0	1
102207	102	2	1	0	1	0	0	.	.	0	.	.	.	.	.	1	1	1	1	0	.	1	.	1	0	.	328.0729	1022	0	1
102208	102	2	1	1	1	1	1	1	1	1	1	.	1	1	1	1	1	1	1	0	.	1	.	3	1	.	37.8097	1022	0	0
102209	102	2	0	1	1	1	1	0	1	1	1	0	0	1	1	.	.	.	.	1	.	1	.	3	0	.	33.7199	1022	0	0
102210	102	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1	1	.	1	0	.	569.5098	1022	0	1
102211	102	2	0	1	1	.	.	.	.	.	0	0	0	1	1	.	.	.	.	1	0	2	.	4	1	.	856.9756	1022	1	0
102212	102	2	1	1	1	1	0	0	0	0	0	0	0	0	0	.	.	.	.	1	0	2	.	4	1	.	848.2546	1022	1	0
102213	102	2	.	.	.	1	1	.	.	.	1	1	0	1	1	.	.	.	.	1	0	1	.	4	0	.	233.4211	1022	0	0
102214	102	2	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	.	1	.	1	.	.	0	1022	0	1
102215	102	2	1	1	0	1	1	1	1	1	.	.	.	.	.	.	.	.	.	1	.	1	.	4	0	.	0	1022	0	0
102216	102	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	.	2	.	3	0	.	31.9687	1022	1	0
102217	102	2	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	1	.	2	.	4	0	.	29.7772	1022	1	0
102218	102	2	1	1	1	1	1	1	1	1	0	0	0	1	0	.	.	.	.	1	.	1	.	4	0	.	27.8616	1022	0	0
102219	102	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	.	1	.	1	1	.	31.9823	1022	0	1
102220	102	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	1	.	1	.	.	0	1022	0	1
102221	102	2	0	0	1	1	1	1	1	1	0	1	0	1	0	1	.	1	1	0	0	1	.	2	0	.	42.8511	1022	0	0
102222	102	2	1	1	1	1	1	1	1	1	1	0	1	1	1	.	.	.	.	1	.	2	.	3	.	.	0	1022	1	0
102223	102	2	1	0	1	1	1	1	1	1	0	0	0	0	0	.	.	.	.	1	.	2	.	4	0	.	218.1844	1022	1	0
102224	102	2	0	1	1	1	1	1	1	1	.	.	.	.	.	1	1	1	1	0	.	1	.	4	1	.	34.4416	1022	0	0
102226	102	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	.	1	.	1	1	.	53.5419	1022	0	1
102227	102	2	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	.	1	.	3	0	.	1163.4886	1022	0	0
102228	102	2	0	0	0	0	0	1	1	1	0	0	0	0	0	.	.	.	.	1	.	2	.	2	0	.	235.8395	1022	1	0
102232	102	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	.	2	.	3	0	.	32.8284	1022	1	0
102233	102	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	.	1	0	.	32.4402	1022	1	1
102234	102	2	0	0	1	1	0	.	.	.	1	1	1	1	1	1	1	1	1	0	.	2	.	2	0	.	242.0026	1022	1	0
102235	102	2	1	1	1	1	0	1	1	1	1	1	1	1	1	.	.	.	.	1	.	1	.	2	.	.	0	1022	0	0
102261	102	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	1022	.	.
103101	103	1	0	0	0	1	0	0	1	1	0	0	0	1	0	.	.	.	.	1	.	2	.	4	0	.	543.2071	1031	1	0
103102	103	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	1	0	.	1	.	1	.	.	0	1031	0	1
103103	103	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	.	3	0	.	322.9047	1031	0	0
103104	103	1	0	0	1	0	0	0	1	0	1	1	1	1	1	.	.	.	.	1	.	2	.	3	1	.	582.919	1031	1	0
103107	103	1	0	1	1	1	0	0	1	0	.	.	.	.	.	.	.	.	.	1	0	1	.	3	0	.	0	1031	0	0
103108	103	1	1	0	0	0	0	0	0	0	1	1	1	1	1	.	.	.	.	1	.	1	.	4	0	.	625.9607	1031	0	0
103109	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	1	.	2	.	4	1	.	530.1707	1031	1	0
103110	103	1	0	0	0	0	0	0	0	0	1	0	0	1	1	.	.	.	.	1	.	2	.	3	.	.	0	1031	1	0
103111	103	1	0	1	1	1	1	1	1	1	.	.	.	.	.	.	.	.	.	1	.	2	.	1	0	.	0	1031	1	1
103112	103	1	1	0	1	0	0	0	1	1	.	.	.	.	.	.	.	.	.	1	0	1	.	1	.	.	0	1031	0	1
103114	103	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	.	1	.	.	0	1031	0	1
103115	103	1	1	0	0	0	0	0	0	0	0	0	0	1	0	.	.	.	.	1	.	2	.	1	0	.	244.6891	1031	1	1
103116	103	1	1	0	1	1	1	1	1	1	0	0	0	0	0	.	.	.	.	1	0	2	.	3	0	.	512.403	1031	1	0
103117	103	1	0	0	0	0	0	1	1	1	.	.	.	.	.	.	.	.	.	0	0	1	.	1	1	.	343.6709	1031	0	1
103118	103	1	1	0	0	0	0	.	.	.	0	0	0	1	1	1	1	1	1	0	.	2	.	1	1	.	617.781	1031	1	1
103119	103	1	0	0	1	1	1	0	1	1	0	0	1	1	1	.	.	.	.	1	0	1	.	1	.	.	0	1031	0	1
103122	103	1	0	0	0	1	1	1	1	0	0	0	1	1	1	.	.	.	.	1	.	2	.	3	0	.	637.8604	1031	1	0
103124	103	1	0	0	0	0	0	.	0	0	.	.	.	.	.	.	.	.	.	1	.	2	.	1	0	.	631.8437	1031	1	1
103125	103	1	.	.	.	.	.	.	.	.	0	1	1	1	1	1	1	1	1	0	0	2	.	1	0	.	230.4433	1031	1	1
103126	103	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1031	.	.
103127	103	1	1	1	1	1	1	1	1	1	0	1	1	1	0	.	.	.	.	1	.	1	.	4	0	.	597.6809	1031	0	0
103128	103	1	.	.	.	.	.	.	.	.	1	1	1	1	1	1	1	1	1	0	.	1	.	1	0	.	237.2761	1031	0	1
103129	103	1	1	0	0	1	0	1	1	1	0	0	0	0	1	.	.	.	.	1	.	1	.	3	1	.	715.4267	1031	0	0
103161	103	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	1031	.	.
103162	103	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	0	1031	.	.
103203	103	2	0	.	.	.	.	.	.	.	0	0	0	1	1	1	1	1	1	0	.	2	.	1	1	.	195.5124	1032	1	1
103204	103	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	.	2	.	1	0	.	293.3861	1032	1	1
103205	103	2	1	1	.	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	.	2	.	3	1	.	149.6036	1032	1	0
103210	103	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	.	2	.	2	0	.	49.4844	1032	1	0
103212	103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	.	2	.	1	0	.	50.2058	1032	1	1
103213	103	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2	.	.	0	.	339.3432	1032	1	.
103214	103	2	.	.	1	0	0	0	0	0	0	0	1	0	0	.	.	.	.	1	0	1	.	2	.	.	0	1032	0	0
103215	103	2	.	.	.	.	.	.	.	.	0	0	0	0	1	.	.	.	.	1	0	1	.	1	.	.	0	1032	0	1
103218	103	2	.	.	.	.	0	.	.	.	.	.	.	.	.	.	.	.	.	0	0	1	.	1	.	.	0	1032	0	1
103219	103	2	0	0	0	0	1	0	0	0	.	.	.	.	.	.	.	.	.	1	.	2	.	2	0	.	168.1911	1032	1	0
103221	103	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	.	2	.	3	.	.	0	1032	1	0
103223	103	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	.	1	.	3	0	.	181.8944	1032	0	0
103225	103	2	0	0	0	1	1	1	1	1	0	0	0	0	1	.	.	.	.	1	.	1	.	4	0	.	339.2623	1032	0	0
103226	103	2	0	1	1	0	0	0	0	1	0	1	1	1	1	.	.	.	.	1	.	2	.	1	0	.	194.0006	1032	1	1
103229	103	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	0	.	443.7056	1032	0	.
103230	103	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	608.0924	1032	.	.
103231	103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	.	1	.	2	1	.	0	1032	0	0
103301	103	3	1	0	1	1	0	1	1	0	1	1	1	1	1	.	.	.	.	1	0	1	.	1	.	.	0	1033	0	1
103302	103	3	1	1	1	0	0	0	0	0	.	.	.	.	.	1	1	1	1	0	0	1	.	1	.	.	0	1033	0	1
103303	103	3	1	0	1	1	0	1	1	1	.	.	.	.	.	1	1	1	1	0	.	1	.	2	0	.	88.7832	1033	0	0
103304	103	3	1	0	1	0	0	0	0	0	0	0	0	0	0	.	.	.	.	1	0	2	.	3	0	.	649.6462	1033	1	0
103305	103	3	0	0	0	0	0	0	0	0	.	.	.	.	.	1	1	1	1	0	0	2	.	1	.	.	0	1033	1	1
103306	103	3	1	0	0	0	0	1	0	0	1	0	0	0	0	.	.	.	.	1	.	1	.	1	0	.	718.0307	1033	0	1
103307	103	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	.	1	.	2	.	.	0	1033	0	0
103308	103	3	.	.	.	.	.	.	.	.	1	0	1	1	1	.	.	.	.	0	.	2	.	4	0	.	699.5995	1033	1	0
103309	103	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	.	2	.	1	0	.	70.6853	1033	1	1
