2204	2	2	2	2	5	2	1	4	2	1	4	2	1	1	2	3	5	5	1	4	1	2	5	2	2	63.32	62.04	3	1	1	2	3	3	3	15	5	4	1	9	0	0	9	0	9	0	25	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.28	1	3	3	4	4	5	4	5	5	5	4	4	4	0	0	0	0	58.98	60.26
6715	2	3	2	2	5	2	2	4	2	3	5	2	3	4	4	3	5	4	1	5	4	3	5	2	3	47.52	58.92	3	1	1	2	1	2	1	13	4	3	1	6	0	0	6	0	0	0	32	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	0	0	0	1.3752	1.28	1	1	1	3	4	3	4	3	2	2	3	4	3	1	0	0	0	57.98	60.38
1442	2	5	3	2	5	5	2	5	3	4	2	1	1	3	4	3	5	5	4	4	5	4	3	4	5	54.93	62.02	3	1	1	2	2	2	1	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	0	0	0	0	0	0	1	-99	-99	1	3	2	5	5	3	1	2	2	1	999	999	999	999	47.5	63.41
6821	2	2	2	2	5	3	2	4	2	2	5	2	2	2	2	4	5	4	4	4	2	2	5	4	1	45.82	-96	2	1	1	3	2	3	3	14	4	3	1	8	0	0	8	0	0	0	31	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.35	2	3	3	4	4	4	4	4	4	4	4	2	5	0	0	0	0	47.49	54.07
2041	2	1	1	2	3	4	4	5	1	2	2	1	1	2	2	1	3	2	4	3	2	1	3	2	2	46.47	44.91	2	1	1	1	1	1	1	9	3	2	0	10	0	0	0	0	0	0	24	2	2	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.35	2	3	3	5	5	4	5	5	4	4	5	4	4	0	0	1	0	55.03	57.01
4888	2	2	3	2	5	4	3	4	2	2	3	2	2	1	1	1	5	5	5	5	1	1	5	4	1	72.12	74.12	2	1	1	2	2	2	1	15	5	4	1	3	1	1	3	0	9	0	19	1	2	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.35	2	2	2	4	4	4	4	4	5	5	5	2	5	1	0	1	0	66.3	63.01
3329	2	2	2	2	3	-98	1	4	1	2	3	1	1	2	2	2	3	4	1	4	2	4	3	2	2	47.24	-96	2	1	1	2	2	2	1	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	0	2	3	3	4	5	4	5	5	4	4	2	4	4	0	999	999	999	51.44	55.23
1915	2	1	2	1	5	4	1	5	2	1	4	1	1	1	2	2	4	4	1	3	2	2	4	3	3	52.19	55.6	2	1	1	2	2	2	1	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	0	1	2	2	5	4	5	5	5	5	4	4	3	3	1	999	999	999	55.65	61.37
4768	2	1	2	3	5	3	2	2	2	3	3	2	3	5	3	2	1	1	3	1	3	2	3	3	2	53.65	-96	2	1	1	2	2	2	1	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	0	1	3	3	5	4	3	4	3	1	3	4	3	4	0	999	999	999	56.52	54.53
6611	2	2	2	2	4	4	1	5	1	2	5	1	2	2	2	2	5	4	1	4	3	2	5	3	4	64.52	64.01	2	1	1	2	2	2	1	5	2	1	0	10	0	0	0	0	0	0	22	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.28	1	3	3	4	5	4	5	4	4	3	4	3	2	0	0	0	0	50.04	57.37
6800	2	4	2	2	4	4	2	4	2	3	4	2	2	4	2	2	3	4	2	4	3	3	3	4	4	49.84	54.9	2	1	1	1	4	4	4	11	4	3	1	10	0	0	10	0	0	0	22	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.28	1	1	1	2	4	3	4	4	2	3	3	2	2	1	0	0	0	50.1	50.22
1840	2	1	1	1	5	5	1	5	1	1	3	1	1	1	1	1	3	5	5	5	3	2	3	3	3	44.1	39.47	2	1	1	2	2	2	1	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	0	2	3	3	5	5	5	5	5	5	3	4	3	3	0	999	999	999	43.43	45.33
6469	2	2	3	1	4	4	1	1	1	-98	4	1	1	1	1	1	4	4	4	4	1	4	-98	1	1	44.85	47.1	2	1	1	1	2	2	1	3	2	1	0	10	0	0	0	0	0	0	31	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.35	2	3	3	4	5	999	5	5	5	5	2	5	5	0	0	0	0	46.64	51.8
6115	2	1	1	1	5	5	4	5	5	5	5	2	2	1	1	1	5	5	2	5	1	1	5	3	2	44.33	39.1	2	1	1	5	2	5	4	5	2	1	0	9	0	0	0	0	0	0	32	1	1	1.3125	1.249	1.2959	0	0	0	0	0	0	0	1.28	1	1	1	5	1	1	4	4	5	5	5	3	4	1	0	0	0	40.12	51.42
5593	2	4	4	2	5	2	2	4	4	1	5	1	2	2	2	2	5	4	2	5	2	1	5	2	2	37.37	40.21	2	1	1	2	5	5	4	-95	-95	-95	-95	-95	-95	-99	-99	-99	-95	-95	-95	-95	-95	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	0	0	0	1.3752	0	1	3	3	2	2	5	5	4	4	4	5	4	4	0	999	999	999	39.13	47.94
3803	2	1	1	1	5	5	5	5	1	3	5	1	1	5	5	5	5	5	1	2	-98	2	5	3	3	40.04	-96	2	1	1	2	1	2	1	4	2	1	0	10	0	0	0	0	0	0	32	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.28	1	3	3	5	5	3	5	5	1	999	4	3	3	0	0	0	0	55.69	58.75
4168	2	3	3	2	4	4	2	4	3	3	4	2	2	2	2	2	4	4	4	4	4	3	4	3	4	52.05	56.05	2	1	1	2	-99	2	1	3	2	1	0	10	0	0	0	0	0	0	22	1	1	1.3125	1.249	1.2959	1.2931	1.5405	1.4909	1.3549	0	0	1.3752	1.35	2	3	3	3	3	3	4	4	4	2	3	3	2	0	0	0	0	47.3	47.04
