1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	3.5	0	1	0	2
0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2.5	0	0.042	0.958	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1.5	0	0.959	0.041	2
1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1.5	0	0.263	0.737	3
0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1.5	0	0.987	0.013	2
1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	2.5	0	0.994	0.006	2
0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	2.5	1	0	0	1
1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	4	1	0	0	1
0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	3.5	1	0	0	1
1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0	0.887	0.113	2
1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	3.5	0	0.993	0.007	2
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0.008	0.992	3
0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0.118	0.882	3
0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	0.911	0.089	2
1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	2.5	1	0	0	1
0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1.5	0	0.875	0.125	2
1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	3.5	0	0.201	0.799	3
1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	2.5	0	0.998	0.002	2
1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2.5	0	0.888	0.112	2
1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	3	0	0.998	0.002	2
0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	3	0	0.861	0.139	2
1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	2.5	1	0	0	1
0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	2.5	1	0	0	1
1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	2.5	1	0	0	1
0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	3	1	0	0	1
1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1.5	1	0	0	1
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	2.5	0	0.995	0.005	2
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1.5	0	0.006	0.994	3
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0.006	0.994	3
0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	3	0	0.968	0.032	2
