     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000     0.069     0.001     0.001     0.000     0.000     0.000     0.000     0.000     0.862     0.010     0.056     0.000     0.000     0.000     0.000     0.000     3.000     1.000     9.000
     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.355     0.097     0.007     0.524     0.002     0.003     0.000     0.007     0.002     0.001     0.000     0.004     0.000     0.000     0.000     0.000     1.000     4.000     4.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.012     0.000     0.368     0.000     0.000     0.000     0.000     0.000     0.007     0.000     0.613     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.045     0.001     0.020     0.219     0.033     0.003     0.025     0.489     0.000     0.000     0.000     0.000     0.005     0.000     0.006     0.156     2.000     4.000     8.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.046     0.233     0.000     0.044     0.004     0.131     0.000     0.012     0.000     0.003     0.000     0.001     0.017     0.396     0.000     0.113     4.000     2.000    14.000
     1.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.202     0.296     0.001     0.454     0.000     0.001     0.000     0.001     0.007     0.016     0.000     0.023     0.000     0.000     0.000     0.000     1.000     4.000     4.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.015     0.000     0.021     0.000     0.000     0.000     0.000     0.000     0.191     0.000     0.773     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.006     0.178     0.000     0.009     0.001     0.093     0.000     0.002     0.000     0.002     0.000     0.000     0.005     0.650     0.000     0.053     4.000     2.000    14.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.056     0.000     0.291     0.076     0.000     0.000     0.000     0.000     0.031     0.000     0.485     0.060     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.003     0.015     0.000     0.003     0.027     0.840     0.000     0.079     0.000     0.000     0.000     0.000     0.001     0.025     0.000     0.007     2.000     2.000     6.000
     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000     0.370     0.000     0.125     0.000     0.268     0.001     0.161     0.000     0.000     0.000     0.000     0.000     0.039     0.000     0.036     0.000     1.000     1.000     1.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.037     0.000     0.192     0.050     0.000     0.000     0.000     0.000     0.039     0.000     0.606     0.075     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.016     0.000     0.001     0.005     0.922     0.000     0.025     0.000     0.000     0.000     0.000     0.000     0.027     0.000     0.002     2.000     2.000     6.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.079     0.000     0.009     0.000     0.721     0.007     0.145     0.000     0.000     0.000     0.000     0.000     0.030     0.000     0.009     0.000     2.000     1.000     5.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000     0.028     0.000     0.038     0.000     0.260     0.000     0.623     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.040     0.000     2.000     3.000     7.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.008     0.002     0.000     0.025     0.073     0.113     0.002     0.707     0.000     0.000     0.000     0.000     0.003     0.003     0.000     0.064     2.000     4.000     8.000
     0.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.018     0.000     0.546     0.000     0.000     0.000     0.000     0.000     0.005     0.000     0.431     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.008     0.002     0.000     0.025     0.073     0.113     0.002     0.707     0.000     0.000     0.000     0.000     0.003     0.003     0.000     0.064     2.000     4.000     8.000
     0.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.006     0.000     0.187     0.000     0.003     0.000     0.151     0.000     0.000     0.000     0.001     0.000     0.008     0.000     0.645     0.000     4.000     3.000    15.000
     1.000     0.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     0.349     0.000     0.222     0.000     0.000     0.000     0.000     0.000     0.147     0.000     0.282     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.033     0.001     0.008     0.013     0.000     0.000     0.000     0.000     0.408     0.013     0.284     0.240     0.000     0.000     0.000     0.000     3.000     1.000     9.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.008     0.000     0.237     0.000     0.000     0.000     0.000     0.000     0.008     0.000     0.747     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.026     0.000     0.011     0.126     0.000     0.000     0.000     0.000     0.055     0.001     0.073     0.388     0.009     0.001     0.011     0.299     3.000     4.000    12.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.038     0.015     0.000     0.010     0.000     0.000     0.000     0.000     0.468     0.280     0.011     0.179     0.000     0.000     0.000     0.000     3.000     1.000     9.000
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.013     0.068     0.000     0.013     0.023     0.716     0.000     0.067     0.000     0.000     0.000     0.000     0.003     0.075     0.000     0.022     2.000     2.000     6.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.008     0.000     0.004     0.040     0.000     0.000     0.000     0.000     0.101     0.002     0.134     0.711     0.000     0.000     0.000     0.000     3.000     4.000    12.000
     1.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000     0.392     0.042     0.017     0.523     0.000     0.000     0.000     0.001     0.007     0.001     0.001     0.014     0.000     0.000     0.000     0.000     1.000     4.000     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.006     0.000     0.001     0.047     0.000     0.000     0.000     0.000     0.078     0.008     0.026     0.834     0.000     0.000     0.000     0.000     3.000     4.000    12.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.006     0.178     0.000     0.009     0.001     0.093     0.000     0.002     0.000     0.002     0.000     0.000     0.005     0.650     0.000     0.053     4.000     2.000    14.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.006     0.161     0.000     0.009     0.000     0.000     0.000     0.000     0.013     0.512     0.000     0.026     0.002     0.251     0.000     0.020     3.000     2.000    10.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.012     0.000     0.368     0.000     0.000     0.000     0.000     0.000     0.007     0.000     0.613     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.001     0.000     0.026     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.963     0.000     0.000     0.000     0.000     0.000     3.000     3.000    11.000
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.013     0.068     0.000     0.013     0.023     0.716     0.000     0.067     0.000     0.000     0.000     0.000     0.003     0.075     0.000     0.022     2.000     2.000     6.000
     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.018     0.506     0.000     0.027     0.000     0.000     0.000     0.000     0.010     0.416     0.000     0.021     0.000     0.000     0.000     0.000     1.000     2.000     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.008     0.039     0.000     0.007     0.000     0.000     0.000     0.000     0.095     0.720     0.000     0.131     0.000     0.000     0.000     0.000     3.000     2.000    10.000
