0	0	0	0	0	0	0	0	.	.	.	.	0	2	0	1	196.375	0	101101
1	1	1	1	1	1	1	1	1	1	1	1	.	2	0	0	28.6822	0	101102
0	0	0	1	0	0	1	0	.	.	.	.	.	2	1	1	666.7643	0	101104
1	1	1	1	1	1	1	1	.	.	.	.	.	2	1	1	271.4467	0	101105
1	1	1	0	0	1	1	1	1	1	1	1	.	2	1	0	170.8671	0	101106
1	1	1	0	0	1	1	.	1	1	1	1	0	1	1	0	258.123	.	101107
1	0	0	0	0	0	1	1	.	.	.	.	0	1	0	1	202.8046	0	101108
1	0	1	1	1	1	1	1	.	.	.	.	.	1	0	1	751.2914	0	101109
1	0	1	1	1	1	1	1	.	.	.	.	.	1	1	1	0	.	101110
1	0	1	1	1	1	1	1	.	.	.	.	.	1	1	1	280.6561	0	101111
1	0	1	0	0	0	0	0	.	.	.	.	.	1	0	1	73.7161	0	101112
1	1	1	0	0	0	0	0	1	1	1	1	0	2	0	0	185.7237	0	101113
1	0	1	0	0	0	1	1	.	.	.	.	0	2	1	1	239.2099	0	101114
1	1	1	0	0	1	1	1	.	.	.	.	1	1	1	1	39.5646	0	101115
0	0	0	1	1	1	1	1	.	.	.	.	.	1	0	1	31.2373	0	101116
0	0	0	1	1	1	.	.	.	.	.	.	0	1	0	1	0	.	101117
1	0	0	0	0	0	0	0	.	.	.	.	.	2	0	1	244.1716	0	101118
1	0	0	0	0	1	0	0	1	1	1	1	0	2	1	0	0	.	101119
0	0	0	0	0	0	0	0	.	.	.	.	.	1	1	1	864.8287	1	101120
0	1	1	1	1	1	1	1	1	1	1	1	.	2	0	0	32.061	0	101121
0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	208.3492	1	101122
0	0	0	1	1	1	1	1	1	1	1	0	.	1	1	0	230.0786	0	101123
1	1	1	1	1	0	1	1	.	.	.	.	.	1	1	1	0	.	101124
.	.	.	.	.	.	.	.	1	1	1	1	0	2	1	0	0	.	101125
1	1	1	1	.	.	.	.	1	1	1	0	.	2	1	0	31.3238	0	101126
