3819	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	.	0	0	0	0	69.34	74.15	0	0	0	0	70.05	69.23	78.52	81.66	78.77	0
5881	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	61.71	59.84	0	0	0	0	59.36	65.2	72.06	70	75.05	0
1435	1	.	.	0	.	.	0	.	.	0	.	.	0	.	.	0	.	.	0	.	.	0	.	.	0	.	.	0	.	.	61.95	75.79	0	0	0	0	68.47	69.31	9999	80.57	9999	1
5278	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	60.92	73.85	1	0	0	0	61.66	66.08	70	82.12	90.01	1
6693	1	1	1	1	1	1	.	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	58.8	73.94	0	0	0	0	69.87	65.75	74.47	76.04	80.02	1
4294	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.53	57.67	0	0	1	0	64.22	63.88	61.9	78.31	79.07	1
5682	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	59.65	65.82	0	0	0	0	60.13	62.04	9999	72.38	84.56	1
6485	1	1	.	1	1	.	1	1	.	1	1	.	1	1	.	1	1	.	0	0	.	0	0	.	0	0	.	1	0	.	46.12	9999	0	0	0	0	60.66	64.14	72.15	9999	9999	0
4938	0	0	.	1	1	.	1	0	.	1	1	.	1	0	.	1	1	.	1	0	.	1	0	.	0	.	.	1	0	.	71.19	9999	0	0	0	0	71.66	70.5	86.79	9999	9999	0
6080	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.96	65.32	0	0	0	0	55.06	48.32	63.96	65.59	75.09	1
