KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,49.72,49.48,9999,60.1,1,0,44.41,9999,76.55,3302,0.997,0,0.003,0,1
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,57.63,62.9,64.76,63.57,0,0,9999,9999,61.12,4723,0.986,0,0.013,0,1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,52.05,52.63,51.28,58.55,1,1,37.4,53.41,9999,3747,0.957,0,0.035,0.008,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,54.72,52.65,57.8,59.45,1,1,51.44,59.69,58.65,5225,0.997,0,0.003,0,1
1,1,1,1,1,0,0,0,0,0,1,1,1,9999,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,56.89,45.12,68.03,61.47,1,0,61.85,64.72,65.1,6361,0,0.001,0.006,0.993,4
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,79.67,63.25,97.39,83.45,0,0,69.48,9999,92.29,2182,0.997,0,0.003,0,1
0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,47.11,49.91,53.58,9999,1,0,40.37,9999,62.27,3186,0,0.008,0.966,0.026,3
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,68.54,68.57,80.94,82.96,0,9999,60.5,82.18,88.94,2151,0.986,0,0.013,0,1
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,76.1,71.23,77.43,77.07,0,0,65.1,9999,9999,2709,0.001,0.001,0.987,0.011,3
1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,75.13,69.53,88.31,80.32,0,0,64.64,82.4,96.5,3161,0.028,0,0.088,0.884,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,66.4,67.11,70.16,62.49,0,1,43.1,9999,64.39,3604,0.997,0,0.003,0,1
1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,56.88,63.13,77.59,70.17,1,0,52.87,72.56,79.41,1632,0.659,0,0.331,0.011,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,64.69,54.79,69.33,65.13,0,0,53.19,64.51,72.14,1898,0.95,0,0.049,0,1
0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9999,9999,65.54,59.8,1,1,53.41,65.11,66.69,5379,0,0.003,0.013,0.984,4
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,73.49,68.39,86.76,80.88,0,0,63.15,83.81,84.02,1844,0.092,0,0.103,0.805,4
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,57.63,62.45,69.17,69.15,1,1,55.5,67.61,73.07,1191,0.002,0.001,0.068,0.929,4
0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,46.39,62.6,9999,9999,1,1,43.92,61.63,9999,5048,0.293,0,0.47,0.237,3
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,51.96,54.2,9999,38.93,0,0,53.22,9999,9999,5916,0.965,0,0.029,0.006,1
1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,54.53,63.28,76.16,72.31,0,0,44.16,59.17,78.49,3706,0,0.017,0.898,0.085,3
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,68.99,54.95,83.21,73.36,1,0,64.6,84.74,91.12,4932,0.659,0,0.331,0.011,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,42.97,9999,9999,9999,0,1,38.96,48.96,63.06,4122,0.997,0,0.003,0,1
0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,0,1,57.87,76.01,81.32,2617,0,0.011,0.987,0.003,3
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,54.79,62.24,9999,9999,0,0,40.18,59.13,67.74,2563,0.997,0,0.003,0,1
1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,38.33,41.15,69.64,72.92,0,0,36.96,9999,72.56,2379,0.027,0,0.972,0.001,3
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,34.2,9999,9999,9999,0,0,36.51,49.98,55.38,1958,0,0.201,0.104,0.695,4
0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,32.82,51.21,36.45,9999,1,0,37.1,32.41,40.74,4652,0,0.003,0.013,0.984,4
1,1,1,1,1,1,1,1,0,0,1,0,0,9999,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,65.36,58.04,9999,9999,1,1,59.29,75.64,84.06,5653,0.563,0,0.205,0.232,1
0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,56.66,45.91,9999,9999,1,1,51,64.31,68.39,5681,0,0.003,0.013,0.984,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,79.57,72.96,87.86,83.89,0,0,67.8,80.65,86.98,2123,0.997,0,0.003,0,1
0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,44.97,53.53,9999,9999,0,1,46.64,9999,69.91,3999,0,0.035,0.186,0.779,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,47.04,9999,9999,9999,0,0,50.35,54.29,78.54,3785,0.997,0,0.003,0,1
0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,46.09,52.78,62.12,56.08,1,1,44.32,62.09,68.48,2345,0.001,0,0.056,0.943,4
0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,38.17,9999,56.32,61.08,0,1,45.76,50.06,55.94,3954,0,0.005,0.079,0.916,4
0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,61.83,58.49,62.88,63.14,1,0,62.34,66.27,69.3,2620,0.013,0,0.18,0.806,4
1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,9999,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,41.5,42.87,59.12,47.58,1,0,35.5,48.61,51.17,4961,0.005,0,0.05,0.945,4
0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,74.18,70.19,9999,9999,0,1,69.14,72.46,9999,5171,0.013,0,0.18,0.806,4
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,45.15,37.22,9999,9999,1,1,32.84,49.79,9999,5987,0,0.001,0.006,0.993,4
1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,9999,9999,73.86,61.33,0,0,43.35,66.49,80.66,6122,0.002,0,0.026,0.972,4
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,9999,9999,67.04,66.3,1,0,50.49,67.27,72.39,5084,0.997,0,0.003,0,1
0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,78.4,71.65,83.15,80.66,0,0,69.45,81.72,87.82,3513,0.951,0,0.046,0.003,1
1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,0,44.33,9999,65.69,2544,0,0.179,0.043,0.778,4
1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,42.99,38.33,9999,9999,0,1,38.88,32.62,43.35,6779,0,0.007,0.009,0.984,4
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9999,9999,61.74,66.55,0,0,46.87,62.34,72.31,6515,0.986,0,0.013,0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,52.62,53.03,9999,9999,0,0,53.91,66.73,67.17,5476,0,0.951,0.047,0.002,2
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,70.43,71.1,72.07,75.66,0,0,64.48,9999,9999,1658,0,0.998,0.002,0,2
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,41.72,38.34,44.85,57.45,1,1,41.33,43.27,42.82,1172,0,0.874,0.106,0.02,2
1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,34.62,39.54,60.66,9999,0,1,38.02,45.66,67.45,3548,0.013,0.001,0.436,0.55,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64.8,70.11,77.94,83.98,1,0,69.8,81.54,99.3,3876,0.997,0,0.003,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,76.64,70.26,87.69,82.21,1,9999,68.16,78.03,9999,1214,0.997,0,0.003,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,71.03,68.43,80.04,74.19,1,9999,63.61,77.57,92.4,1802,0.986,0,0.013,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,85.36,77.05,86.03,88.3,1,0,82.54,91.31,92.48,4187,0.997,0,0.003,0,1
0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,46.98,50.78,67.16,76.91,1,0,50.13,66.48,9999,6052,0.009,0,0.99,0.001,3
1,0,1,0,0,1,0,1,0,0,1,9999,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,57.96,62.18,9999,9999,1,0,57.04,66.97,9999,1755,0,0.096,0.879,0.026,3
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,79.63,78.64,9999,9999,0,0,71.24,9999,9999,6333,0.848,0,0.138,0.014,1
1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,67.51,64.67,9999,9999,1,0,74.58,87.07,87.35,4135,0.576,0,0.15,0.273,1
1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,45.43,0,0,55.41,9999,9999,4320,0,0.04,0.957,0.003,3
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59.98,65.97,9999,9999,1,0,62.63,9999,9999,4621,0,0.874,0.106,0.02,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,66.4,61.47,76.44,71.63,1,0,66.12,73.01,83.1,3255,0.997,0,0.003,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.14,68.52,9999,9999,0,0,77.48,9999,9999,5277,0,0.985,0.008,0.008,2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,56.79,63.35,76.36,76.23,1,9999,54.13,71.14,82.88,4762,0,0.842,0.109,0.049,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,76.26,73.48,9999,9999,1,0,72.48,81.25,9999,6547,0.997,0,0.003,0,1
0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9999,9999,69.04,66.32,1,0,52.13,66.58,63.41,5362,0,0.666,0.309,0.025,2
1,0,1,0,0,0,0,0,0,0,1,1,9999,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,58.28,51.6,74.75,66.37,1,9999,58.83,69.47,78.66,1184,0,0.954,0.031,0.015,2
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,74.11,69.91,91.17,85.01,1,0,76.1,9999,9999,5431,0.997,0,0.003,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,75.91,71.37,91.92,87.57,1,0,75.12,82.15,9999,6284,0.986,0,0.013,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,39.19,9999,9999,9999,1,0,41.16,9999,9999,2287,0.997,0,0.003,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,58.61,9999,9999,1,0,57.72,9999,9999,5729,0,0.995,0.004,0.001,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,61.28,9999,9999,1,0,55.08,9999,9999,6415,0,0.998,0.002,0,2
0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,9999,51.18,9999,9999,1,0,56.08,9999,9999,5078,0.596,0,0.248,0.156,1
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,60.76,67.49,9999,9999,1,0,60.79,9999,9999,3644,0,0.096,0.879,0.026,3
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,55.94,46.3,9999,9999,1,0,57.01,9999,9999,3508,0,0.545,0.136,0.319,2
0,1,0,1,1,1,0,1,0,0,1,0,0,0,9999,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,48.08,46.09,9999,9999,1,0,53.42,9999,9999,4358,0.001,0.002,0.245,0.752,4
1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,58.36,64.97,75.97,70.93,0,1,59.03,77.13,77.73,6539,0.965,0,0.029,0.006,1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,37.48,36.06,9999,9999,0,0,9999,9999,9999,1814,0,0.983,0.014,0.003,2
1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,24.56,44.06,9999,9999,0,1,35.49,9999,9999,5597,0.127,0,0.165,0.708,4
0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,58.99,65.68,74.7,76.47,0,0,63.07,75.08,70.44,1072,0.986,0,0.013,0,1
0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,49.81,51.26,57.1,9999,1,0,55.62,61.56,66.2,4554,0,0.097,0.053,0.85,4
0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,81.45,81.09,94.02,89.84,0,0,71.49,92.66,95.29,4188,0.817,0,0.183,0.001,1
1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,66.75,67.72,87.29,76.33,1,0,65.51,79.74,83.77,6863,0.017,0.001,0.792,0.19,3
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,9999,0,0,0,0,0,0,58.23,59.3,79.44,66.9,1,1,62.98,72.93,75.07,1955,0,0.007,0.992,0.001,3
0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,73.21,70.91,76.15,80.97,1,0,65.79,75.49,79.65,1132,0.986,0,0.013,0,1
1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.39,46.04,65.31,9999,0,0,49.29,72.73,71.49,5566,0.001,0.005,0.95,0.044,3
1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,0,65.42,64.61,79.05,78.51,0,0,61.88,9999,89.77,4580,0.735,0,0.235,0.03,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,0,9999,44.34,50.65,9999,5697,0,0.563,0.037,0.4,2
0,1,1,1,1,0,1,0,0,0,0,1,9999,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,64.21,71.71,77.44,75.9,1,1,60.66,73.06,80.99,2719,0.002,0.001,0.105,0.892,4
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,63.36,53.56,84.81,60.53,1,0,63.45,79.19,86.07,3770,0,0.954,0.031,0.015,2
1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,52.56,59.56,73.38,70.1,1,0,48.37,72.21,75.13,5576,0,0.011,0.924,0.064,3
1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,38.93,69.22,65.59,0,0,60.74,9999,78.72,1609,0.003,0.001,0.976,0.021,3
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,9999,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,57.03,52.02,81.87,67.82,0,0,61.58,81.04,77.98,5833,0.997,0,0.003,0,1
0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,9999,58.85,67.12,57.83,1,0,56.53,66.92,65.77,3549,0.107,0,0.847,0.046,3
1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.39,59.38,71.15,72.97,1,0,53.91,68.12,72,3601,0,0.053,0.42,0.527,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,76,67.34,89.81,83.32,1,0,65.56,87.34,89.02,5879,0.997,0,0.003,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,67.5,70.73,83.8,82.73,0,0,67.02,83.14,89.1,3610,0.997,0,0.003,0,1
1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,9999,1,1,1,1,1,1,0,0,0,0,0,0,0,0,59.98,62.55,9999,9999,1,0,52.94,9999,9999,1826,0.028,0,0.088,0.884,4
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,9999,1,0,0,0,58.48,47.17,9999,52.84,1,1,57.31,65.49,74.98,1175,0,0.001,0.006,0.993,4
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.44,50.06,63.32,63.58,1,0,48.56,60.67,57.18,1222,0,0.983,0.014,0.003,2
1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,63.86,60.94,85.76,75.18,1,1,58.37,75.94,80.11,4363,0.659,0,0.331,0.011,1
0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,9999,9999,90.93,84.86,0,1,70.76,83.67,86.47,5836,0.986,0,0.013,0,1
1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,60.26,60.04,74.98,71.37,1,9999,60.77,74.08,87.72,2554,0.659,0,0.331,0.011,1
1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.56,74.9,84.19,73.71,1,0,66.2,85.83,85.1,5842,0.001,0.003,0.94,0.056,3
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,9999,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,58.71,50.18,75.65,73.63,0,0,58.78,68.65,80.7,5072,0,0.998,0.002,0,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,78.01,66.6,95.48,83.33,0,0,74.4,93.71,96.02,6463,0.997,0,0.003,0,1
0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,39.68,30.71,9999,9999,0,0,46.05,50.73,68.39,3555,0.872,0,0.117,0.011,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,63.52,62.17,79.7,69.57,1,9999,61.03,77.94,86.23,1654,0.997,0,0.003,0,1
1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59.11,58.65,81.05,77.59,0,0,54.88,69.49,87.9,4589,0.965,0,0.029,0.006,1
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,69.91,74.88,89.35,82.79,0,1,51.02,90.57,89.58,3389,0.185,0,0.713,0.102,3
1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,45.36,42.73,9999,9999,1,0,43.78,59.73,58.63,2991,0.008,0.001,0.386,0.605,4
1,1,0,0,0,1,1,0,0,1,1,9999,9999,9999,9999,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,88.84,83.94,86.15,93.13,0,0,79.98,92.12,95.39,2235,0,0.003,0.988,0.009,3
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,66.81,61.21,76.59,71.62,1,0,69.79,73.6,83.9,5894,0,0.001,0.006,0.993,4
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,64.18,67.02,78.44,72.25,1,0,65.04,73.16,9999,4637,0.997,0,0.003,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,70.04,74.87,93.77,79.08,0,0,64.27,85.83,92.57,2099,0.997,0,0.003,0,1
1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,55.64,51.96,9999,9999,0,0,56.18,61.36,64.61,6796,0.001,0,0.022,0.977,4
1,1,1,1,1,1,0,0,0,1,0,0,9999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,68.34,66.31,81.13,82.02,0,0,66.44,76.99,9999,5046,0.052,0,0.105,0.843,4
1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,60.38,55.21,73.2,65.69,1,0,57.61,72.38,78.87,2637,0,0.001,0.006,0.993,4
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,58.21,59.13,78.82,81.33,0,0,55.98,77.74,86.58,1701,0,0.995,0.004,0.001,2
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,61.33,62.03,72.35,72.12,1,0,54.51,74.62,78.47,3007,0.997,0,0.003,0,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,62.43,62.83,77.92,68.62,0,0,64.56,70.59,84.78,4796,0,0.998,0.002,0,2
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,68.23,49.66,9999,9999,0,0,62.71,72.98,9999,2755,0.957,0,0.035,0.008,1
