KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,0,0,0,70.99,70.46,75.42,68.92,1,0,61.65,69.27,72.01,3250,0.997,0,0.003,0,1
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,56.96,54.16,9999,52.41,0,0,57.96,59.2,68.57,1820,0,0.096,0.879,0.026,3
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,62.19,62.77,9999,64.6,0,0,58.33,74.42,79.91,3730,0.563,0,0.205,0.232,1
1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,57.05,50.05,65.75,62.39,1,0,57.77,57.85,61.64,3044,0.017,0,0.895,0.087,3
1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,9999,0,0,1,1,1,1,1,0,1,0,0,0,0,0,53.5,53.02,9999,9999,1,0,54.42,9999,63.26,4949,0.001,0,0.022,0.977,4
0,1,1,1,1,1,1,1,0,1,1,9999,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,43.82,44.53,9999,43.54,1,0,40.16,9999,57.77,1864,0.872,0,0.117,0.011,1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,65.43,68.4,9999,76.69,0,0,59.11,74.87,74.06,3018,0.659,0,0.331,0.011,1
0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,74.1,72.79,9999,9999,1,0,70.89,82.28,9999,4030,0.011,0,0.946,0.042,3
0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,59.72,70.3,62.64,1,0,56.62,67.71,64.62,1386,0,0.081,0.072,0.847,4
1,1,1,0,1,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.58,64.57,9999,9999,0,0,56.55,9999,9999,3843,0,0.018,0.036,0.947,4
0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,9999,9999,75.43,75.44,1,0,58.42,75.02,77.1,5397,0,0.007,0.992,0.001,3
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,42.89,55.3,61.54,51.22,1,1,45.93,55.83,65,6902,0.004,0.001,0.959,0.037,3
0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,65.22,61.52,81.11,70.53,0,0,61.07,75.9,81.12,6862,0.013,0,0.18,0.806,4
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,40.16,45.26,69.51,65.77,0,0,54.64,69.06,69.13,6873,0,0.001,0.006,0.993,4
1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,44.56,31.73,9999,9999,1,1,44.95,41.76,52.25,2793,0.103,0,0.505,0.392,3
0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,56.57,63.3,9999,9999,0,1,52.79,9999,67.62,2806,0.001,0,0.056,0.943,4
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,60.75,66.02,9999,9999,0,0,52.43,9999,9999,3341,0,0.929,0.027,0.044,2
1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.56,61.49,9999,9999,1,1,50.31,9999,73.48,6680,0,0.053,0.42,0.527,4
0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.55,43.02,9999,9999,1,1,47.44,9999,65.04,3051,0.009,0,0.99,0.001,3
0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.88,9999,59.44,65.34,0,0,53.81,70.62,9999,4120,0.107,0,0.847,0.046,3
1,1,1,1,1,1,0,1,0,1,1,0,0,0,9999,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,56.16,59.22,70.03,68.65,1,1,46.49,60.63,70.58,4439,0.576,0,0.15,0.273,1
1,1,1,1,1,1,1,9999,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,65.77,67.78,77.96,76.89,0,0,56.97,73.01,78.62,2763,0.995,0,0.005,0,1
1,1,1,1,1,9999,9999,9999,9999,9999,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,45.05,57.27,67.54,63,1,1,51.07,60.91,67.17,2023,0.654,0,0.031,0.315,1
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,37.35,9999,43.56,0,0,51.85,9999,9999,4770,0,0.995,0.004,0.001,2
1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,64.05,58.13,9999,9999,1,1,63.07,75.27,9999,3839,0,0.545,0.136,0.319,2
1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,46.86,9999,9999,9999,1,0,46.09,55.39,9999,3420,0,0.146,0.756,0.097,3
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,62,9999,9999,1,0,55.8,9999,65,4798,0.681,0,0.28,0.039,1
1,1,1,1,1,1,1,1,0,0,0,1,9999,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40.18,44.34,9999,47.63,1,0,43.19,9999,9999,5640,0.563,0,0.205,0.232,1
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,58.44,50.7,63.02,9999,1,0,54.92,9999,9999,5363,0.997,0,0.003,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,50.4,49.45,9999,63.48,1,0,46.47,9999,9999,3608,0,0.954,0.031,0.015,2
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,72.63,74.19,79.6,80.24,1,0,70.79,79.06,87.89,3412,0.986,0,0.013,0,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,0,0,47.65,9999,9999,2511,0,0.998,0.002,0,2
1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,48.76,53.81,9999,9999,1,0,55.32,45.16,47.73,5399,0.997,0,0.003,0,1
1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,64.73,60.23,63.07,9999,1,0,63.79,9999,9999,3683,0,0.001,0.006,0.993,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,56.76,56.76,71.03,68.39,1,0,49.48,68.81,71.88,2825,0.997,0,0.003,0,1
