AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N1,N2,N3
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.62,39.83,9999,9999,0,0,49.28,31.45,9999,4618,0.969,0,0.021,0.01,1,1,9999
1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,49.91,9999,9999,9999,1,1,44.11,9999,9999,5374,0.001,0,0.018,0.981,4,9999,9999
1,0,1,1,1,1,0,1,9999,0,1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.86,66.37,61.98,68.94,0,0,51.78,62.25,9999,5353,0.036,0,0.35,0.614,4,4,9999
1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.42,36.76,38.16,9999,0,1,47.81,43.23,9999,4533,0,0.075,0.335,0.59,4,1,9999
1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,56.37,54.39,63.82,64.91,1,1,49.73,61.09,67.63,2417,0,0.006,0.917,0.077,3,2,4
1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,52.56,47.99,51.13,60.63,1,1,47.33,54.61,9999,6901,0.001,0.004,0.435,0.56,4,3,9999
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,45.31,49.88,9999,9999,0,0,42.58,46.75,9999,3094,0.997,0,0.003,0,1,2,9999
1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.92,47.34,9999,9999,0,0,48.33,46.61,9999,1976,0.997,0,0.003,0,1,1,9999
1,1,1,1,1,0,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,34.9,32.28,9999,9999,0,0,36.17,9999,9999,2319,0.989,0,0.009,0.002,1,9999,9999
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,71.89,69.56,72.21,82.16,1,0,67.35,78.21,9999,5373,0.997,0,0.003,0,1,1,3
0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,40.36,36.2,50.34,51.53,0,0,44.24,45.14,52.57,1033,0.346,0,0.332,0.322,1,1,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.49,39.02,9999,9999,0,9999,43.59,9999,27.01,2418,0,0.013,0.352,0.635,4,2,2
0,1,1,1,0,0,1,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,1,0,9999,9999,9999,5318,0.004,0.001,0.839,0.156,3,9999,9999
0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,40.78,9999,9999,9999,0,0,40.21,9999,9999,2212,0,0.997,0.003,0.001,2,9999,9999
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,1,0,49.85,9999,9999,4916,0.415,0,0.31,0.275,1,1,9999
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,45.52,40.95,58.62,58.39,1,1,52.57,55.21,56.85,2310,0,0.235,0.058,0.708,4,2,4
1,1,0,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42,9999,9999,9999,0,1,35.06,48.05,9999,1382,0,0.235,0.058,0.708,4,9999,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,52.68,37.39,9999,9999,1,1,46.66,9999,9999,1656,0.997,0,0.003,0,1,9999,9999
1,0,0,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,61.75,57.52,9999,9999,1,0,57.68,9999,9999,2407,0,0.112,0.029,0.859,4,9999,9999
1,1,1,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,60.73,60.19,9999,9999,0,0,57.58,71.65,9999,4924,0.962,0,0.03,0.008,1,9999,9999
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40.61,35.54,52.07,48.32,1,0,36.78,43.51,50.27,4853,0.965,0,0.034,0.001,1,1,2
1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,41.73,35.84,33.44,36.16,1,1,44.06,39.89,36.18,2834,0.635,0,0.363,0.002,1,3,3
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,43.07,44.46,9999,44.68,0,1,36.86,57.5,9999,3830,0.002,0.003,0.901,0.094,3,1,9999
0,1,1,1,1,0,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,60.34,61.7,9999,9999,1,0,57.84,9999,9999,5401,0.002,0,0.051,0.947,4,9999,9999
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,36.94,30.31,9999,9999,0,1,41.62,46.97,9999,6085,0.958,0,0.039,0.003,1,1,9999
1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,36.98,36.81,9999,9999,1,1,35.41,48.57,37.24,2132,0,0.023,0.835,0.142,3,4,9999
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,45.23,49.37,9999,9999,1,1,32.04,9999,51.34,2561,0.989,0,0.009,0.002,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,66.56,64.08,83.55,71.53,1,1,60.08,82.14,79.43,3882,0.764,0,0.204,0.031,1,1,1
1,1,1,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,34.84,9999,9999,9999,0,0,42.35,9999,9999,6809,0,0.008,0.03,0.961,4,9999,9999
1,0,0,1,1,0,1,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,1,1,0,1,1,1,0,0,0,0,60.29,49.76,76.61,56.71,1,1,39.9,9999,80.4,4501,0.034,0,0.838,0.128,3,9999,1
1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42.48,38.33,9999,9999,0,0,39.06,9999,9999,1024,0,0.023,0.973,0.004,3,1,9999
1,1,1,1,1,1,1,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,35.46,33.49,38.38,9999,1,0,37.75,49.83,9999,2651,0.583,0,0.177,0.24,1,9999,9999
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,38.85,31.52,9999,45.14,0,0,40.29,48.71,9999,5819,0.976,0,0.019,0.004,1,4,9999
0,9999,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,61.26,56.52,79.81,70.9,0,1,55.28,73.48,80.76,5031,0.001,0.002,0.079,0.918,4,3,1
1,1,1,1,1,1,1,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,47.65,42.79,9999,9999,0,0,41.37,9999,9999,3409,0.583,0,0.177,0.24,1,9999,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,41.57,59.39,9999,9999,0,0,47.01,9999,9999,5326,0.997,0,0.003,0,1,9999,9999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,58.5,49.48,64.57,65,0,1,54.29,55.44,67.69,1697,0.997,0,0.003,0,1,1,3
1,1,1,0,0,0,9999,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,38.42,43.28,9999,9999,0,0,40.86,9999,9999,5961,0.001,0.038,0.725,0.236,3,9999,9999
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,37.58,60.28,9999,9999,0,1,35.29,59.73,9999,3134,0,0.025,0.051,0.924,4,4,9999
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,42.87,52.55,55.75,48.48,1,1,43.04,40.74,51.39,1397,0.057,0,0.134,0.808,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,57.06,47.08,54.91,58.69,0,0,47.89,58.92,9999,5789,0.997,0,0.003,0,1,4,9999
0,1,0,0,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,37.25,36.03,9999,9999,1,9999,34.91,9999,9999,5865,0,0.131,0.827,0.042,3,9999,9999
0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,60.19,44.44,9999,9999,0,1,52.62,63.33,69.74,1762,0.346,0,0.332,0.322,1,4,4
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,43.8,53.43,9999,9999,1,1,42.96,52.17,9999,5249,0.001,0,0.018,0.981,4,4,4
1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,50.34,64.45,9999,9999,1,0,48.63,48.46,9999,6590,0.003,0,0.108,0.889,4,1,1
1,1,1,1,1,0,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,43.99,39.7,9999,9999,1,1,30.47,9999,9999,6473,0.851,0,0.077,0.072,1,9999,9999
1,1,1,1,1,0,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.73,45.87,9999,9999,1,1,47.71,9999,9999,1331,0.003,0,0.023,0.973,4,9999,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,33.4,32.63,9999,9999,1,1,38.18,9999,9999,6835,0.997,0,0.003,0,1,9999,9999
0,0,0,0,9999,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,9999,1,0,0,0,32.43,35.63,37.17,34.56,1,1,30.4,36.99,9999,5282,0,0.193,0.788,0.019,3,4,3
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,39.81,45.88,9999,9999,0,1,38.89,48.88,37.41,6229,0.839,0,0.16,0.001,1,1,1
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,52.08,41.86,9999,51.51,1,1,51,57.65,9999,4591,0,0.057,0.911,0.032,3,3,9999
1,1,1,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,45.91,37.63,9999,9999,0,1,35.53,9999,9999,1672,0.962,0,0.03,0.008,1,9999,9999
1,1,1,1,1,1,1,0,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42.55,53.52,9999,9999,0,1,45.06,9999,9999,2322,0.976,0,0.019,0.004,1,9999,9999
0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,43.33,48.56,1,1,33.6,44.29,9999,2007,0.346,0,0.332,0.322,1,4,9999
0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.16,32.85,9999,9999,1,0,35.03,53.47,9999,5248,0.001,0.001,0.965,0.032,3,1,9999
1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42.84,32.21,9999,9999,1,1,42.17,54.13,9999,2085,0.033,0,0.422,0.545,4,4,9999
1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.46,47.24,9999,9999,1,1,43.56,9999,9999,6417,0,0.092,0.214,0.694,4,1,9999
1,0,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.86,40.19,9999,9999,1,1,32.71,9999,9999,6013,0.958,0,0.041,0,1,9999,9999
1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,9999,9999,9999,9999,9999,0,0,0,33.03,37.48,52.02,52.32,0,1,33.26,41.99,45.78,4347,0.067,0,0.921,0.013,3,1,4
1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9999,9999,70.42,62.43,0,1,51.42,65.46,9999,6597,0.63,0,0.368,0.003,1,2,4
0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,54.01,48.5,9999,9999,0,1,43.61,60.35,9999,5919,0.037,0,0.948,0.015,3,4,9999
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,65,59.76,90.4,76.49,1,0,68.15,89.89,91.3,2250,0,0,0.005,0.995,4,4,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,65.96,70.07,87.75,74.32,1,0,62.13,76.57,9999,1685,0,0.897,0.029,0.075,2,4,9999
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,66.76,54.87,76.87,62.11,1,0,63.53,76.12,9999,6744,0,0.997,0.003,0.001,2,4,4
0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,37.93,34.96,9999,33.68,0,0,38.93,9999,47.39,5303,0,0.997,0.003,0.001,2,9999,2
