AB39A,AB39H,AB39I,AB39K,AB39L,AB39M,AB39T,AB39U,AB39W,AB39X,GA32A,GA32H,GA32I,GA32K,GA32L,GA33A,GA33H,GA33I,GA33K,GA33L,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L,STEM,STEMSUP,ENGINEER,MATHG8,SCIG8,MATHG11,SCIG11,FEMALE,MINORITY,MATHG7,MATHG10,MATHG12,CASENUM,CPROB1,CPROB2,CPROB3,CPROB4,N1,N2,N3
0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,56.39,9999,9999,9999,1,0,59.46,9999,9999,5340,0.002,0.001,0.969,0.029,3,3,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,0,35.54,9999,9999,1152,0.997,0,0.003,0,1,9999,9999
0,0,1,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,9999,9999,9999,9999,1,0,37.78,9999,9999,2246,0.004,0.031,0.926,0.04,3,9999,9999
1,0,1,0,0,0,1,0,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,57.87,55.33,9999,9999,1,1,58.72,9999,9999,1978,0.001,0.001,0.996,0.002,3,9999,9999
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,58.36,64.97,75.97,70.93,0,1,59.03,77.13,77.73,6539,0,0.991,0.007,0.003,2,1,1
1,1,1,0,0,0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,9999,33.83,9999,9999,2005,0,0.046,0.725,0.23,3,9999,9999
1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,45.27,52.84,9999,9999,0,0,41.25,9999,9999,4305,0.714,0,0.245,0.041,1,3,9999
0,0,0,1,1,0,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,41.44,9999,9999,9999,1,0,49.89,9999,9999,2332,0.011,0,0.891,0.097,3,9999,9999
0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,69.18,60.59,9999,9999,1,0,62.84,73.85,9999,2568,0,0.001,0.011,0.988,4,4,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,50.61,9999,9999,1,0,60.41,9999,9999,2508,0.997,0,0.003,0,1,9999,9999
1,1,1,0,0,0,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,49.91,46.58,9999,9999,0,0,52.41,9999,9999,5914,0,0.045,0.585,0.37,3,9999,9999
0,0,9999,0,0,1,0,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,35.63,9999,9999,1,0,39.31,9999,9999,6097,0,0.018,0.979,0.002,3,9999,9999
0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.48,36.06,9999,9999,0,0,9999,9999,9999,1814,0.001,0.001,0.983,0.015,3,3,2
0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,24.56,44.06,9999,9999,0,1,35.49,9999,9999,5597,0.001,0.002,0.989,0.008,3,2,4
1,1,1,1,1,1,0,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,65.49,60.27,86.91,78.2,0,0,9999,9999,9999,2773,0.053,0,0.089,0.858,4,9999,9999
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,58.99,65.68,74.7,76.47,0,0,63.07,75.08,70.44,1072,0.023,0,0.976,0,3,4,1
1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,49.81,51.26,57.1,9999,1,0,55.62,61.56,66.2,4554,0.381,0,0.604,0.015,3,4,4
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,81.45,81.09,94.02,89.84,0,0,71.49,92.66,95.29,4188,0.989,0,0.011,0,1,1,1
1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,66.75,67.72,87.29,76.33,1,0,65.51,79.74,83.77,6863,0.053,0,0.089,0.858,4,2,3
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,9999,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,58.23,59.3,79.44,66.9,1,1,62.98,72.93,75.07,1955,0,0.554,0.442,0.004,2,2,3
1,1,9999,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,55.14,56.33,9999,9999,1,1,49.34,57.76,9999,6854,0.661,0,0.329,0.01,1,1,9999
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,59.48,9999,9999,0,0,57.72,9999,9999,5957,0,0.997,0.003,0.001,2,1,9999
1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,73.21,70.91,76.15,80.97,1,0,65.79,75.49,79.65,1132,0.63,0,0.368,0.003,1,1,1
1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,52.39,46.04,65.31,9999,0,0,49.29,72.73,71.49,5566,0.003,0.003,0.476,0.518,4,2,3
1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42.58,37.53,49.61,54.36,0,0,49.66,52.44,9999,4297,0.053,0,0.089,0.858,4,1,9999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,49.81,9999,9999,9999,1,9999,52.47,52.97,9999,2274,0,0.997,0.003,0.001,2,2,9999
0,1,1,0,1,0,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,0,1,1,1,1,0,1,1,1,1,0,65.42,64.61,79.05,78.51,0,0,61.88,9999,89.77,4580,0.015,0,0.764,0.221,3,9999,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9999,9999,9999,9999,0,9999,44.34,50.65,9999,5697,0,0.997,0.003,0.001,2,2,2
0,1,9999,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,64.21,71.71,77.44,75.9,1,1,60.66,73.06,80.99,2719,0.025,0,0.94,0.035,3,4,4
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,63.36,53.56,84.81,60.53,1,0,63.45,79.19,86.07,3770,0,0.997,0.003,0.001,2,2,2
1,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,62.73,52.14,9999,9999,0,0,53.17,9999,9999,1076,0,0.991,0.007,0.003,2,9999,9999
1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,52.56,59.56,73.38,70.1,1,0,48.37,72.21,75.13,5576,0,0.869,0.045,0.086,2,3,3
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,42.06,38.38,9999,9999,0,1,41.8,52.07,9999,5873,0.959,0,0.041,0,1,4,9999
0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,1,1,0,1,1,1,0,0,0,0,0,9999,38.93,69.22,65.59,0,0,60.74,9999,78.72,1609,0,0.997,0.003,0.001,2,9999,3
0,1,1,1,1,9999,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,57.03,52.02,81.87,67.82,0,0,61.58,81.04,77.98,5833,0.985,0,0.014,0.001,1,4,1
1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,9999,58.85,67.12,57.83,1,0,56.53,66.92,65.77,3549,0,0.004,0.007,0.989,4,3,3
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,52.52,52.98,61.16,60.53,1,0,53.15,57.98,9999,1942,0,0.009,0.173,0.818,4,2,9999
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,58.39,59.38,71.15,72.97,1,0,53.91,68.12,72,3601,0,0.897,0.029,0.075,2,2,4
1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,44.06,52.7,65.73,66.43,0,0,40.2,61.7,9999,5831,0,0.917,0.052,0.031,2,3,9999
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.6,52.08,57,64.31,0,9999,52.41,54.53,9999,4230,0,0.083,0.272,0.645,4,2,9999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,76,67.34,89.81,83.32,1,0,65.56,87.34,89.02,5879,0.997,0,0.003,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,67.5,70.73,83.8,82.73,0,0,67.02,83.14,89.1,3610,0.997,0,0.003,0,1,4,1
1,1,1,1,1,1,1,1,9999,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,59.98,62.55,9999,9999,1,0,52.94,9999,9999,1826,0.993,0,0.006,0.001,1,4,4
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,9999,1,1,1,1,1,1,0,0,0,0,0,0,0,0,58.48,47.17,9999,52.84,1,1,57.31,65.49,74.98,1175,0.989,0,0.009,0.002,1,1,4
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.44,50.06,63.32,63.58,1,0,48.56,60.67,57.18,1222,0,0.164,0.702,0.134,3,2,2
0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,63.86,60.94,85.76,75.18,1,1,58.37,75.94,80.11,4363,0,0.903,0.095,0.002,2,1,1
0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,9999,9999,90.93,84.86,0,1,70.76,83.67,86.47,5836,0.348,0,0.641,0.011,3,4,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,66.49,63.59,84.68,81.58,1,0,64.95,76.69,9999,4834,0,0,0.005,0.995,4,4,9999
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,60.26,60.04,74.98,71.37,1,9999,60.77,74.08,87.72,2554,0,0.997,0.003,0.001,2,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,69.56,74.9,84.19,73.71,1,0,66.2,85.83,85.1,5842,0,0.991,0.007,0.003,2,2,3
1,1,1,1,1,1,1,9999,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.71,50.18,75.65,73.63,0,0,58.78,68.65,80.7,5072,0.996,0,0.004,0,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,78.01,66.6,95.48,83.33,0,0,74.4,93.71,96.02,6463,0.997,0,0.003,0,1,1,1
1,0,1,1,0,0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,1,1,1,1,1,1,0,1,0,0,0,39.68,30.71,9999,9999,0,0,46.05,50.73,68.39,3555,0,0.066,0.654,0.28,3,9999,1
0,0,9999,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,62.39,9999,9999,9999,0,1,52.57,81.26,9999,2689,0,0.037,0.216,0.747,4,1,9999
1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,63.52,62.17,79.7,69.57,1,9999,61.03,77.94,86.23,1654,0,0.01,0.023,0.967,4,1,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,59.11,58.65,81.05,77.59,0,0,54.88,69.49,87.9,4589,0,0.111,0.779,0.109,3,2,1
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,69.91,74.88,89.35,82.79,0,1,51.02,90.57,89.58,3389,0.591,0,0.129,0.28,1,4,3
0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,57.96,55.49,9999,9999,1,0,58,73.04,9999,2687,0.025,0,0.184,0.792,4,4,9999
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,45.36,42.73,9999,9999,1,0,43.78,59.73,58.63,2991,0,0.991,0.007,0.003,2,3,4
1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,58.14,43.04,79.46,80.57,0,0,60.3,73.72,9999,1124,0.198,0,0.565,0.237,3,3,9999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,71.5,67.28,9999,9999,1,0,62.03,9999,9999,4173,0,0.997,0.003,0.001,2,2,9999
1,9999,9999,9999,9999,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,88.84,83.94,86.15,93.13,0,0,79.98,92.12,95.39,2235,0.973,0,0.027,0,1,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,66.81,61.21,76.59,71.62,1,0,69.79,73.6,83.9,5894,0,0.997,0.003,0.001,2,4,4
0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,64.18,67.02,78.44,72.25,1,0,65.04,73.16,9999,4637,0,0.935,0.063,0.002,2,4,1
0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,9999,9999,9999,9999,0,0,37.82,9999,9999,4446,0,0.997,0.003,0.001,2,9999,9999
1,1,1,1,9999,9999,9999,1,9999,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,1,54.8,72.73,9999,2556,0.359,0,0.12,0.521,4,2,9999
0,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,43.69,53.58,9999,9999,1,0,44.72,9999,9999,1900,0,0.001,0.04,0.959,4,9999,9999
1,0,1,9999,1,1,1,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,51.75,57.06,9999,9999,1,1,57.67,9999,9999,2044,0.128,0,0.767,0.105,3,9999,9999
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,70.04,74.87,93.77,79.08,0,0,64.27,85.83,92.57,2099,0.697,0,0.292,0.011,1,1,1
0,0,0,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,61.28,59.61,9999,9999,1,0,58.83,9999,9999,5174,0,0.384,0.044,0.572,4,9999,9999
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,46.82,40.76,9999,9999,0,0,52.28,62.76,9999,3987,0.093,0,0.088,0.819,4,1,9999
0,1,1,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.78,55.98,9999,9999,1,0,54.68,9999,9999,1606,0,0.001,0.04,0.959,4,9999,9999
0,0,0,0,1,0,0,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,40.71,9999,9999,9999,0,0,46.79,9999,9999,1581,0,0.043,0.883,0.074,3,9999,9999
0,0,0,1,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,52,50.59,9999,9999,1,9999,52.48,9999,9999,2070,0.037,0,0.948,0.015,3,9999,9999
1,1,0,1,1,0,0,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,1,0,56.21,60.08,9999,9999,1,0,55.1,9999,9999,4125,0,0.001,0.038,0.961,4,9999,9999
0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,55.06,52.41,9999,9999,1,1,51.26,50.17,9999,2939,0,0.018,0.016,0.966,4,4,9999
0,9999,9999,0,1,0,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,73.77,68.64,9999,9999,1,0,63.62,9999,9999,5077,0.353,0,0.642,0.005,3,9999,9999
1,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,55.35,56.93,9999,9999,1,0,56.17,9999,9999,4592,0,0.934,0.06,0.006,2,9999,9999
1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,55.64,51.96,9999,9999,0,0,56.18,61.36,64.61,6796,0.001,0.011,0.837,0.152,3,4,4
1,0,0,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,65.54,63.2,9999,9999,1,0,60.18,9999,9999,4787,0,0.897,0.029,0.075,2,9999,9999
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.9,53.32,9999,9999,1,0,47.07,9999,9999,1542,0,0.759,0.09,0.152,2,2,9999
0,0,9999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,68.34,66.31,81.13,82.02,0,0,66.44,76.99,9999,5046,0,0.938,0.058,0.004,2,3,4
1,1,1,1,1,0,1,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,66.3,66.43,9999,9999,1,0,62.55,9999,9999,3802,0.131,0,0.141,0.728,4,9999,9999
1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,0,80.35,71.72,9999,9999,0,0,66.48,9999,9999,6286,0.997,0,0.003,0,1,9999,9999
1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,60.38,55.21,73.2,65.69,1,0,57.61,72.38,78.87,2637,0,0.235,0.058,0.708,4,4,4
0,1,1,1,1,0,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,0,60.66,50.61,9999,9999,0,0,60.48,9999,9999,1320,0.622,0,0.215,0.163,1,9999,9999
1,0,0,1,0,1,0,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,9999,9999,0,0,68.77,9999,9999,4966,0,0.087,0.791,0.122,3,9999,9999
1,0,1,1,1,0,0,0,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,48.38,65.36,9999,9999,0,0,47.94,9999,9999,3684,0.001,0.002,0.114,0.883,4,9999,9999
0,1,1,0,0,0,1,1,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,50.64,41.16,9999,9999,0,9999,55.83,9999,9999,3556,0,0.005,0.964,0.031,3,9999,9999
1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.21,59.13,78.82,81.33,0,0,55.98,77.74,86.58,1701,0,0.021,0.155,0.824,4,3,2
0,1,1,0,1,1,0,0,1,1,1,0,9999,9999,9999,1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.79,62.91,9999,9999,1,9999,59.3,9999,9999,6156,0.067,0,0.82,0.113,3,2,9999
1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,61.33,62.03,72.35,72.12,1,0,54.51,74.62,78.47,3007,0.309,0,0.69,0.001,3,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,62.43,62.83,77.92,68.62,0,0,64.56,70.59,84.78,4796,0.962,0,0.03,0.008,1,4,2
1,1,1,1,1,1,1,9999,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,58.86,62.13,9999,9999,0,0,54.69,9999,9999,1742,0.996,0,0.004,0,1,9999,9999
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,53.86,44.03,9999,9999,1,0,58,53.11,9999,6870,0,0.338,0.062,0.6,4,3,9999
0,0,1,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,70.93,73.57,9999,9999,1,0,63.93,9999,9999,4562,0,0.97,0.024,0.006,2,9999,9999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,68.23,49.66,9999,9999,0,0,62.71,72.98,9999,2755,0.997,0,0.003,0,1,4,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,78.59,63.18,87.3,84.89,0,0,75.42,80.89,9999,6087,0.997,0,0.003,0,1,4,3
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,59.43,68.64,75.41,71.16,0,0,58.03,73.41,9999,2316,0.997,0,0.003,0,1,1,9999
1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,50.3,9999,70.79,58.41,0,0,43.05,62.98,68.99,2326,0.001,0,0.018,0.981,4,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,55.62,56.27,86.5,67.88,0,0,58.56,62.29,9999,4369,0.997,0,0.003,0,1,1,9999
1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,64.12,74.02,78.38,0,0,57.83,71,9999,3183,0.21,0,0.675,0.115,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,9999,9999,73.07,73.56,1,0,60.52,9999,9999,1261,0,0.997,0.003,0.001,2,2,9999
0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,62.1,50.19,80.62,73.28,1,0,70.07,81.96,86.09,6253,0,0.001,0.04,0.959,4,1,1
1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,9999,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,62.7,59.59,76.18,69.54,1,0,61.49,73.65,77.84,5898,0,0.009,0.173,0.818,4,2,4
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.35,48.29,9999,9999,1,0,50.14,58.43,51.84,3102,0,0.015,0.882,0.103,3,2,2
0,1,0,1,1,1,0,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,50.89,51.35,9999,9999,1,0,45.3,9999,9999,1782,0.402,0,0.527,0.072,3,9999,9999
