1	1	1	1	1	0	2	79.14	3	2	2	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	1	.	1	1	2	2	0	0	0.031	0	0.969	4
0	0	0	0	0	0	3	.	1	2	2	1	0	0	0.031	0	0.969	4
0	0	0	0	0	1	2	53.55	2	2	2	.	0	0	0.031	0	0.969	4
1	1	1	1	1	0	2	70.27	1	1	1	1	1	0.982	0.008	0.01	0	1
0	0	0	0	0	1	3	53.25	1	1	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	1	2	45.11	3	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	4	67.45	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	1	4	.	2	2	2	1	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	1	37.44	3	2	1	1	0	0	0.031	0	0.969	4
1	1	1	1	1	0	4	82.05	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	0	1	0	2	75.05	2	2	2	2	0	0.801	0.157	0.042	0	1
0	0	0	0	1	0	.	57.04	3	3	2	2	0	0.001	0.192	0.808	0	3
1	1	1	0	0	0	2	66.7	3	3	3	2	1	0.037	0.961	0	0.002	2
1	1	1	0	1	0	2	76.68	3	3	3	1	0	0.801	0.157	0.042	0	1
0	0	0	0	0	1	1	50.76	1	1	1	1	0	0	0.031	0	0.969	4
1	0	1	0	0	1	2	70.07	1	2	2	2	0	0.002	0.88	0	0.117	2
1	0	0	0	0	1	5	55.81	1	1	1	2	.	0	0.173	0	0.827	4
1	1	1	1	1	0	2	51.53	3	2	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	4	51.25	2	2	2	1	1	0	0.031	0	0.969	4
1	0	1	1	1	1	2	58.17	2	2	1	1	0	0.67	0.074	0.256	0	1
1	0	1	1	1	0	.	58.07	2	2	2	2	0	0.67	0.074	0.256	0	1
0	0	0	0	0	0	2	70.06	3	3	3	3	0	0	0.031	0	0.969	4
1	0	1	0	1	1	2	.	3	3	2	2	0	0.178	0.476	0.347	0	2
0	0	0	1	0	0	2	.	2	2	2	2	0	0	0.175	0	0.825	4
1	1	1	1	1	0	2	87.7	3	3	3	2	0	0.982	0.008	0.01	0	1
1	1	1	0	1	1	1	.	3	3	3	3	0	0.801	0.157	0.042	0	1
0	0	1	0	1	1	5	54.42	1	1	1	1	1	0.04	0.647	0.313	0	2
0	0	0	0	0	1	2	61.73	1	1	1	1	0	0	0.031	0	0.969	4
1	0	1	0	0	1	2	.	1	2	1	2	0	0.002	0.88	0	0.117	2
0	0	0	0	0	0	2	.	3	3	3	3	1	0	0.031	0	0.969	4
0	0	0	0	0	0	2	.	1	1	1	1	1	0	0.031	0	0.969	4
0	0	0	0	0	0	4	75.69	3	3	3	3	0	0	0.031	0	0.969	4
0	0	1	0	0	0	2	63.18	2	2	2	2	0	0	0.534	0	0.466	2
0	0	0	0	0	1	2	.	1	1	1	2	0	0	0.031	0	0.969	4
1	1	0	0	0	1	2	33.07	1	3	.	.	1	0.002	0.92	0	0.078	2
1	0	1	1	1	1	2	71.67	2	2	2	2	0	0.67	0.074	0.256	0	1
0	0	0	1	1	1	2	49.7	3	2	3	1	0	0.004	0.048	0.949	0	3
0	0	1	0	0	1	2	55.55	1	1	2	1	0	0	0.534	0	0.466	2
1	0	0	0	0	0	3	57.16	2	2	2	2	1	0	0.173	0	0.827	4
1	1	1	1	1	0	2	80.05	3	3	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	2	65.49	1	1	1	1	0	0	0.031	0	0.969	4
1	1	1	1	1	0	4	76.47	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	73.89	2	3	3	2	1	0.982	0.008	0.01	0	1
1	0	0	1	1	1	3	68.46	1	2	1	1	0	0.015	0.032	0.953	0	3
1	1	1	1	1	0	2	80.3	3	3	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	2	69.44	1	2	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	0	2	50.54	2	2	2	2	0	0.982	0.008	0.01	0	1
1	0	1	0	0	1	2	52.66	1	2	2	1	0	0.002	0.88	0	0.117	2
1	0	0	0	0	1	3	.	1	2	1	1	0	0	0.173	0	0.827	4
0	0	0	0	0	1	2	62.56	2	2	2	2	0	0	0.031	0	0.969	4
1	0	0	0	0	0	4	62.43	2	3	2	1	0	0	0.173	0	0.827	4
0	0	1	0	0	1	4	.	3	3	2	1	0	0	0.534	0	0.466	2
1	1	1	1	1	0	3	67.27	3	2	2	2	0	0.982	0.008	0.01	0	1
1	0	0	0	0	1	2	51.81	1	1	1	1	0	0	0.173	0	0.827	4
1	1	1	0	0	1	2	68.5	2	2	2	2	0	0.037	0.961	0	0.002	2
1	1	1	1	1	0	3	65.33	2	2	3	2	0	0.982	0.008	0.01	0	1
0	1	1	1	1	0	5	58.09	2	2	2	2	0	0.918	0.045	0.037	0	1
0	0	0	0	0	0	1	68.58	2	3	3	3	0	0	0.031	0	0.969	4
0	1	1	0	0	1	2	73.24	2	2	2	2	0	0.006	0.979	0	0.015	2
0	0	0	0	0	0	.	48.83	2	2	2	2	0	0	0.031	0	0.969	4
1	1	1	0	0	1	1	50.9	2	2	2	2	1	0.037	0.961	0	0.002	2
0	0	0	1	0	0	2	52.23	1	1	1	1	0	0	0.175	0	0.825	4
1	0	1	0	0	1	2	64.19	2	3	2	1	0	0.002	0.88	0	0.117	2
0	1	1	0	1	1	1	40.85	2	2	2	1	1	0.419	0.494	0.087	0	2
1	1	1	1	1	1	2	71.23	3	1	2	1	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	4	54.65	2	2	2	2	0	0	0.534	0	0.466	2
0	0	0	0	0	1	2	58.36	1	1	1	1	1	0	0.031	0	0.969	4
0	1	1	0	1	0	2	.	1	2	1	1	1	0.419	0.494	0.087	0	2
1	0	1	0	0	0	3	71.34	3	3	3	2	0	0.002	0.88	0	0.117	2
1	1	1	1	1	0	2	83.65	3	3	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	2	71.19	1	1	2	1	0	0	0.031	0	0.969	4
1	1	1	1	1	1	2	80.97	2	2	2	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	2	.	1	1	3	2	.	0	0.031	0	0.969	4
1	0	1	1	1	0	2	61.44	3	3	3	3	0	0.67	0.074	0.256	0	1
1	1	1	0	0	1	2	53.68	2	1	3	2	0	0.037	0.961	0	0.002	2
1	1	1	1	1	0	4	79.76	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	0	0	1	38.75	2	2	3	3	0	0.478	0.522	0	0	2
1	1	1	1	1	0	2	64.23	3	2	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	1	51.36	3	3	3	3	1	0	0.031	0	0.969	4
1	0	0	0	0	0	3	74.12	1	1	1	1	0	0	0.173	0	0.827	4
1	1	1	1	1	0	2	67.68	2	3	3	2	0	0.982	0.008	0.01	0	1
0	1	0	0	1	1	2	.	2	2	3	1	0	0.017	0.389	0.594	0	3
1	0	1	0	0	1	1	63.61	1	2	1	1	0	0.002	0.88	0	0.117	2
1	0	1	0	1	1	2	64.84	2	2	2	2	0	0.178	0.476	0.347	0	2
1	0	0	1	0	0	2	57.6	2	2	2	3	0	0.002	0.58	0	0.418	2
0	0	0	0	0	1	1	48.27	2	2	2	2	0	0	0.031	0	0.969	4
1	1	1	0	0	1	2	66.6	2	3	2	2	0	0.037	0.961	0	0.002	2
0	0	0	0	0	1	2	74.98	1	1	1	1	0	0	0.031	0	0.969	4
1	0	0	1	1	0	2	79.78	3	3	2	2	0	0.015	0.032	0.953	0	3
1	0	0	0	0	0	2	65.23	2	1	2	1	0	0	0.173	0	0.827	4
0	0	0	0	0	0	3	65.66	3	2	2	1	0	0	0.031	0	0.969	4
1	1	1	0	1	0	4	.	2	3	3	2	0	0.801	0.157	0.042	0	1
1	0	1	0	1	0	5	.	2	2	2	2	0	0.178	0.476	0.347	0	2
1	1	1	0	0	1	2	58.82	2	2	2	2	0	0.037	0.961	0	0.002	2
1	0	0	0	0	1	2	57.45	2	2	2	2	1	0	0.173	0	0.827	4
1	1	1	1	1	0	1	68.93	3	.	3	3	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	3	52.84	1	2	2	1	1	0	0.031	0	0.969	4
1	1	1	1	1	0	2	79.94	3	3	2	3	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	2	64.65	3	3	3	2	0	0	0.031	0	0.969	4
1	1	1	0	0	1	2	64.94	3	2	2	3	0	0.037	0.961	0	0.002	2
0	0	0	0	0	1	2	66.37	2	2	3	2	.	0	0.031	0	0.969	4
1	1	1	0	1	0	5	80.55	3	3	3	2	0	0.801	0.157	0.042	0	1
0	0	0	0	0	0	.	.	1	1	1	1	0	0	0.031	0	0.969	4
0	1	1	0	0	1	2	70.59	1	2	1	1	0	0.006	0.979	0	0.015	2
1	1	1	1	1	0	2	52.75	1	2	2	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	2	82.85	2	2	2	2	0	0	0.031	0	0.969	4
0	0	0	0	1	1	1	69.15	2	2	2	2	1	0.001	0.192	0.808	0	3
1	0	0	0	0	1	3	56.75	2	3	3	2	0	0	0.173	0	0.827	4
1	1	1	1	1	0	2	70.17	2	2	2	2	.	0.982	0.008	0.01	0	1
0	0	0	0	0	0	3	66.24	1	2	3	2	0	0	0.031	0	0.969	4
0	1	1	0	0	1	2	55.08	2	2	2	2	1	0.006	0.979	0	0.015	2
0	1	1	0	1	1	2	66.97	1	2	2	2	0	0.419	0.494	0.087	0	2
0	0	0	0	0	0	1	39	1	1	2	2	1	0	0.031	0	0.969	4
1	1	1	0	1	1	2	66.32	2	3	3	3	0	0.801	0.157	0.042	0	1
1	0	0	0	1	1	4	68.59	2	2	2	2	0	0.003	0.136	0.861	0	3
0	0	0	0	0	0	2	39.36	1	2	1	2	0	0	0.031	0	0.969	4
1	0	1	0	1	1	2	58.57	2	2	3	1	.	0.178	0.476	0.347	0	2
1	1	1	1	1	1	5	82.21	2	2	2	2	.	0.982	0.008	0.01	0	1
1	0	1	0	0	1	5	63.86	1	1	1	1	0	0.002	0.88	0	0.117	2
0	0	0	0	0	0	1	65.93	1	2	2	2	1	0	0.031	0	0.969	4
0	0	0	0	0	1	2	63.58	3	3	3	2	0	0	0.031	0	0.969	4
0	1	1	0	0	1	2	60.43	2	2	2	2	0	0.006	0.979	0	0.015	2
0	0	0	0	0	0	2	73.45	2	2	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	0	2	.	1	3	3	2	1	0.982	0.008	0.01	0	1
0	0	1	0	0	1	4	55.97	1	1	1	1	0	0	0.534	0	0.466	2
1	0	1	1	1	0	2	.	3	3	3	3	0	0.67	0.074	0.256	0	1
1	1	1	1	1	0	.	78.18	1	1	1	1	0	0.982	0.008	0.01	0	1
1	.	0	0	0	0	2	63.37	3	3	2	2	1	0	0.304	0	0.696	4
1	1	1	1	1	0	4	.	3	3	3	1	0	0.982	0.008	0.01	0	1
0	1	0	0	0	1	4	.	1	1	1	1	0	0	0.644	0	0.356	2
1	0	1	0	0	0	3	.	3	3	3	2	1	0.002	0.88	0	0.117	2
0	0	0	0	0	1	.	42.02	1	2	2	2	0	0	0.031	0	0.969	4
1	0	1	0	0	0	2	66.62	1	1	1	1	0	0.002	0.88	0	0.117	2
0	1	0	1	0	0	1	62.52	3	2	1	1	0	0.007	0.917	0	0.076	2
0	0	0	0	0	1	2	.	1	1	1	1	0	0	0.031	0	0.969	4
0	0	0	0	0	0	2	50.19	1	1	1	1	0	0	0.031	0	0.969	4
1	0	0	0	0	1	2	62.96	1	1	1	2	0	0	0.173	0	0.827	4
1	1	1	1	1	0	2	73.19	1	1	1	2	.	0.982	0.008	0.01	0	1
0	0	0	0	0	0	1	.	1	1	1	1	0	0	0.031	0	0.969	4
0	0	0	0	0	1	2	56.85	1	1	1	2	0	0	0.031	0	0.969	4
0	0	1	1	1	1	2	54.11	2	2	2	2	0	0.314	0.209	0.477	0	3
1	1	1	0	0	1	2	67.71	2	2	2	1	0	0.037	0.961	0	0.002	2
0	1	1	0	1	0	1	64.17	2	3	3	3	0	0.419	0.494	0.087	0	2
1	0	0	0	1	0	3	.	3	3	3	2	0	0.003	0.136	0.861	0	3
0	0	0	0	0	0	2	60.35	2	2	2	2	0	0	0.031	0	0.969	4
0	0	0	0	0	1	2	54.56	1	1	1	1	0	0	0.031	0	0.969	4
1	1	1	0	0	1	2	.	2	2	2	2	0	0.037	0.961	0	0.002	2
1	1	1	1	0	1	2	68.58	2	2	2	2	0	0.478	0.522	0	0	2
1	1	1	1	1	0	2	58.32	1	3	3	2	1	0.982	0.008	0.01	0	1
1	1	1	1	1	1	2	64.35	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	62.31	3	3	3	3	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	2	62.6	2	2	2	2	0	0	0.534	0	0.466	2
1	1	1	1	1	0	2	73.41	2	3	3	3	0	0.982	0.008	0.01	0	1
1	0	0	0	0	1	2	.	2	1	1	1	0	0	0.173	0	0.827	4
1	1	1	1	1	0	4	.	2	3	3	2	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	2	55.11	2	2	3	2	1	0	0.534	0	0.466	2
1	1	1	0	0	0	3	62.01	2	2	2	2	0	0.037	0.961	0	0.002	2
0	0	0	0	0	0	2	33.97	2	2	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	1	2	52.26	2	2	2	3	1	0.982	0.008	0.01	0	1
1	1	1	1	1	1	4	.	3	2	2	1	0	0.982	0.008	0.01	0	1
0	1	0	0	1	0	2	64.29	2	.	3	2	1	0.017	0.389	0.594	0	3
1	1	1	1	1	0	4	80.77	2	3	3	1	0	0.982	0.008	0.01	0	1
1	1	0	1	0	1	2	74.84	2	2	1	2	0	0.044	0.944	0	0.012	2
1	1	1	1	1	0	2	68.97	2	3	2	2	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	2	52.07	1	2	2	2	1	0	0.534	0	0.466	2
1	1	1	1	1	0	4	.	3	3	3	3	.	0.982	0.008	0.01	0	1
1	0	1	0	0	1	3	.	2	3	3	1	0	0.002	0.88	0	0.117	2
1	1	1	1	1	0	4	.	3	3	3	2	0	0.982	0.008	0.01	0	1
0	0	.	0	0	0	5	53.62	2	3	2	2	.	0	0.112	0	0.888	4
0	0	0	.	1	1	2	55.6	1	2	1	2	0	0.002	0.127	0.871	0	3
1	0	1	1	1	1	3	77.81	1	2	2	1	0	0.67	0.074	0.256	0	1
0	0	0	0	0	1	2	49.62	1	1	1	1	0	0	0.031	0	0.969	4
1	1	1	1	1	0	2	.	3	3	3	3	0	0.982	0.008	0.01	0	1
1	1	1	1	1	1	4	82.82	3	3	3	3	0	0.982	0.008	0.01	0	1
1	1	0	1	1	0	2	52.49	1	2	1	1	0	0.346	0.055	0.599	0	3
0	.	0	0	0	1	1	65.09	2	2	2	1	0	0	0.063	0	0.937	4
1	0	1	0	0	1	1	39.66	1	1	1	1	1	0.002	0.88	0	0.117	2
0	1	0	0	0	1	2	67.4	2	2	1	1	0	0	0.644	0	0.356	2
1	1	1	0	1	0	1	58.86	2	2	3	2	0	0.801	0.157	0.042	0	1
0	0	0	0	0	0	2	62.5	1	2	1	1	0	0	0.031	0	0.969	4
1	0	0	1	1	0	4	.	2	2	2	2	0	0.015	0.032	0.953	0	3
1	1	1	1	1	0	2	77.14	3	3	3	3	0	0.982	0.008	0.01	0	1
0	0	0	0	0	1	2	46.18	1	1	1	1	0	0	0.031	0	0.969	4
0	0	0	0	0	1	2	57.32	2	2	2	2	0	0	0.031	0	0.969	4
0	1	0	0	1	0	2	80.11	2	2	2	2	0	0.017	0.389	0.594	0	3
1	1	1	1	1	0	2	37.97	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	73.46	2	3	2	1	0	0.982	0.008	0.01	0	1
0	1	1	0	0	0	2	62.06	2	2	2	2	0	0.006	0.979	0	0.015	2
1	1	1	0	1	1	4	73.46	2	2	2	2	0	0.801	0.157	0.042	0	1
0	0	0	0	0	0	.	.	2	2	2	2	0	0	0.031	0	0.969	4
1	0	1	0	1	0	2	60.06	3	1	3	1	0	0.178	0.476	0.347	0	2
1	1	1	1	1	0	3	76.41	3	3	3	2	1	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	70.32	2	3	3	3	0	0.982	0.008	0.01	0	1
1	1	1	0	0	1	2	82.69	2	2	2	1	0	0.037	0.961	0	0.002	2
1	0	0	0	0	1	2	50.2	2	2	2	1	0	0	0.173	0	0.827	4
1	0	0	0	0	0	2	66.65	2	2	2	2	1	0	0.173	0	0.827	4
0	1	1	1	1	1	5	.	2	2	2	2	0	0.918	0.045	0.037	0	1
0	0	0	0	0	1	2	60.82	2	2	2	2	1	0	0.031	0	0.969	4
0	1	0	1	1	1	5	81.29	3	3	3	2	0	0.113	0.108	0.779	0	3
0	1	1	0	0	0	2	74.17	3	2	2	2	0	0.006	0.979	0	0.015	2
0	0	1	0	0	1	2	73.44	2	2	2	1	0	0	0.534	0	0.466	2
1	0	1	1	1	1	2	47.01	2	2	3	3	1	0.67	0.074	0.256	0	1
1	1	1	0	0	0	2	79.61	2	2	2	2	0	0.037	0.961	0	0.002	2
0	0	0	0	0	0	2	53.38	1	1	1	1	0	0	0.031	0	0.969	4
1	1	1	0	0	0	2	83.67	3	3	3	3	0	0.037	0.961	0	0.002	2
0	1	0	0	0	1	3	74.15	2	1	2	1	0	0	0.644	0	0.356	2
0	0	0	0	0	1	1	.	1	1	1	1	1	0	0.031	0	0.969	4
0	0	0	0	0	1	2	62.64	2	1	2	1	0	0	0.031	0	0.969	4
1	0	0	0	0	0	5	.	3	2	2	2	0	0	0.173	0	0.827	4
0	0	0	0	0	1	2	67.71	1	2	2	1	0	0	0.031	0	0.969	4
1	1	1	0	1	1	2	64.62	2	2	3	3	0	0.801	0.157	0.042	0	1
0	0	0	1	1	0	2	62.96	1	2	2	2	0	0.004	0.048	0.949	0	3
0	1	0	1	0	1	3	62.28	2	2	3	1	0	0.007	0.917	0	0.076	2
0	0	0	0	0	1	5	48.48	1	1	1	1	1	0	0.031	0	0.969	4
0	0	0	0	0	1	2	62.38	1	2	2	1	1	0	0.031	0	0.969	4
1	0	0	0	0	0	3	51	3	3	3	2	0	0	0.173	0	0.827	4
1	1	1	1	1	1	2	69.51	1	2	2	1	0	0.982	0.008	0.01	0	1
0	0	0	0	1	0	2	37.91	2	2	3	2	0	0.001	0.192	0.808	0	3
1	0	1	1	0	0	3	.	2	2	3	2	0	0.062	0.92	0	0.018	2
0	0	1	0	0	1	2	49.87	2	1	1	1	1	0	0.534	0	0.466	2
0	0	0	0	0	1	5	73.3	2	1	2	2	0	0	0.031	0	0.969	4
1	1	0	0	1	0	4	.	3	3	3	2	0	0.073	0.281	0.646	0	3
1	0	1	0	0	1	3	.	2	1	2	2	0	0.002	0.88	0	0.117	2
1	1	1	1	1	1	2	58.47	3	3	3	1	0	0.982	0.008	0.01	0	1
1	0	0	0	0	1	2	61.43	2	2	2	2	0	0	0.173	0	0.827	4
1	1	1	1	1	0	2	57.48	.	.	.	.	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	.	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	1	46.99	3	3	3	3	1	0.982	0.008	0.01	0	1
1	1	1	0	1	1	3	.	2	2	2	1	0	0.801	0.157	0.042	0	1
0	0	0	0	0	0	2	.	2	2	2	2	0	0	0.031	0	0.969	4
0	1	1	1	1	1	2	51.58	2	2	2	2	0	0.918	0.045	0.037	0	1
1	1	1	0	1	0	2	88.09	3	3	3	2	0	0.801	0.157	0.042	0	1
0	0	0	0	0	1	2	68.28	2	2	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	0	4	79.52	2	.	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	2	87.31	3	3	3	2	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	4	71.52	1	1	1	1	0	0	0.031	0	0.969	4
0	1	0	0	1	1	2	50.03	2	2	2	1	0	0.017	0.389	0.594	0	3
1	1	1	1	1	1	2	63.15	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	1	1	0	0	2	54.36	1	1	2	1	0	0.478	0.522	0	0	2
1	1	1	1	1	1	3	75.2	3	3	3	1	0	0.982	0.008	0.01	0	1
0	1	1	0	0	1	2	69.88	1	2	2	1	0	0.006	0.979	0	0.015	2
1	1	1	1	1	0	2	65.08	3	3	3	3	0	0.982	0.008	0.01	0	1
0	0	0	0	0	0	2	58.7	2	1	1	2	1	0	0.031	0	0.969	4
0	0	0	0	0	0	4	44.78	2	2	2	2	1	0	0.031	0	0.969	4
1	0	1	0	1	1	2	67.51	3	3	3	1	1	0.178	0.476	0.347	0	2
0	0	0	0	0	1	2	53.54	3	2	3	2	0	0	0.031	0	0.969	4
1	1	1	1	1	0	2	79.5	2	2	2	3	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	4	75.7	3	2	2	2	0	0	0.534	0	0.466	2
1	1	1	1	1	0	2	76.85	2	1	.	1	0	0.982	0.008	0.01	0	1
0	0	1	0	0	1	2	80.69	2	1	2	2	0	0	0.534	0	0.466	2
0	1	0	.	1	1	2	75.91	2	2	2	2	0	0.058	0.27	0.672	0	3
0	0	1	0	0	1	2	62.37	2	2	2	1	0	0	0.534	0	0.466	2
1	1	1	0	0	1	2	70.14	2	2	2	2	0	0.037	0.961	0	0.002	2
1	0	.	.	0	0	4	.	2	2	3	3	0	0.005	0.488	0	0.507	4
0	0	0	0	0	0	1	51.26	1	2	2	2	0	0	0.031	0	0.969	4
1	1	1	1	1	1	2	69.27	1	2	2	1	1	0.982	0.008	0.01	0	1
0	1	0	0	0	0	3	65.39	3	2	3	2	0	0	0.644	0	0.356	2
1	1	1	1	1	0	3	52.49	3	3	3	3	0	0.982	0.008	0.01	0	1
1	1	1	1	1	0	4	81.88	3	3	3	3	0	0.982	0.008	0.01	0	1
0	0	1	1	0	0	2	67.14	2	1	2	2	0	0.01	0.875	0	0.115	2
1	1	1	0	1	0	3	60.36	3	3	3	2	1	0.801	0.157	0.042	0	1
0	0	0	0	0	0	1	46.39	1	1	1	1	1	0	0.031	0	0.969	4
1	1	1	0	0	1	2	.	2	3	3	2	0	0.037	0.961	0	0.002	2
1	0	0	0	0	0	2	85.34	2	2	2	1	0	0	0.173	0	0.827	4
0	0	0	0	0	1	1	65.3	1	3	1	1	1	0	0.031	0	0.969	4
1	0	0	0	1	0	4	68.53	1	2	2	1	0	0.003	0.136	0.861	0	3
0	0	0	0	0	0	3	64.25	2	2	2	2	0	0	0.031	0	0.969	4
1	0	1	0	0	0	2	67.58	3	3	3	2	0	0.002	0.88	0	0.117	2
1	1	1	0	0	1	1	49.28	1	1	2	3	0	0.037	0.961	0	0.002	2
1	1	1	1	1	1	2	72.39	2	2	2	2	0	0.982	0.008	0.01	0	1
1	1	0	0	0	1	2	67.11	2	2	2	2	0	0.002	0.92	0	0.078	2
1	1	1	0	0	0	2	73.54	3	3	3	3	0	0.037	0.961	0	0.002	2
0	0	0	0	0	1	3	.	1	1	2	1	1	0	0.031	0	0.969	4
1	1	1	1	1	0	2	82.39	3	2	2	2	0	0.982	0.008	0.01	0	1
