     1.000     1.000     1.000     1.000     1.000     0.000     2.000    79.140     3.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000         *     1.000     1.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     3.000         *     1.000     2.000     2.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    53.550     2.000     2.000     2.000         *     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    70.270     1.000     1.000     1.000     1.000     1.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     3.000    53.250     1.000     1.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     1.000     2.000    45.110     3.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.000     4.000    67.450     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     4.000         *     2.000     2.000     2.000     1.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000    37.440     3.000     2.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     4.000    82.050     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     0.000     1.000     0.000     2.000    75.050     2.000     2.000     2.000     2.000     0.000     0.801     0.157     0.042     0.000     1.000
     0.000     0.000     0.000     0.000     1.000     0.000         *    57.040     3.000     3.000     2.000     2.000     0.000     0.001     0.192     0.808     0.000     3.000
     1.000     1.000     1.000     0.000     0.000     0.000     2.000    66.700     3.000     3.000     3.000     2.000     1.000     0.037     0.961     0.000     0.002     2.000
     1.000     1.000     1.000     0.000     1.000     0.000     2.000    76.680     3.000     3.000     3.000     1.000     0.000     0.801     0.157     0.042     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000    50.760     1.000     1.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     1.000     0.000     0.000     1.000     2.000    70.070     1.000     2.000     2.000     2.000     0.000     0.002     0.880     0.000     0.117     2.000
     1.000     0.000     0.000     0.000     0.000     1.000     5.000    55.810     1.000     1.000     1.000     2.000         *     0.000     0.173     0.000     0.827     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    51.530     3.000     2.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     4.000    51.250     2.000     2.000     2.000     1.000     1.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     1.000     1.000     1.000     1.000     2.000    58.170     2.000     2.000     1.000     1.000     0.000     0.670     0.074     0.256     0.000     1.000
     1.000     0.000     1.000     1.000     1.000     0.000         *    58.070     2.000     2.000     2.000     2.000     0.000     0.670     0.074     0.256     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000    70.060     3.000     3.000     3.000     3.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     1.000     0.000     1.000     1.000     2.000         *     3.000     3.000     2.000     2.000     0.000     0.178     0.476     0.347     0.000     2.000
     0.000     0.000     0.000     1.000     0.000     0.000     2.000         *     2.000     2.000     2.000     2.000     0.000     0.000     0.175     0.000     0.825     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    87.700     3.000     3.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000         *     3.000     3.000     3.000     3.000     0.000     0.801     0.157     0.042     0.000     1.000
     0.000     0.000     1.000     0.000     1.000     1.000     5.000    54.420     1.000     1.000     1.000     1.000     1.000     0.040     0.647     0.313     0.000     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    61.730     1.000     1.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     1.000     0.000     0.000     1.000     2.000         *     1.000     2.000     1.000     2.000     0.000     0.002     0.880     0.000     0.117     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000         *     3.000     3.000     3.000     3.000     1.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000         *     1.000     1.000     1.000     1.000     1.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     4.000    75.690     3.000     3.000     3.000     3.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     0.000     1.000     0.000     0.000     0.000     2.000    63.180     2.000     2.000     2.000     2.000     0.000     0.000     0.534     0.000     0.466     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000         *     1.000     1.000     1.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     0.000     0.000     0.000     1.000     2.000    33.070     1.000     3.000         *         *     1.000     0.002     0.920     0.000     0.078     2.000
     1.000     0.000     1.000     1.000     1.000     1.000     2.000    71.670     2.000     2.000     2.000     2.000     0.000     0.670     0.074     0.256     0.000     1.000
     0.000     0.000     0.000     1.000     1.000     1.000     2.000    49.700     3.000     2.000     3.000     1.000     0.000     0.004     0.048     0.949     0.000     3.000
     0.000     0.000     1.000     0.000     0.000     1.000     2.000    55.550     1.000     1.000     2.000     1.000     0.000     0.000     0.534     0.000     0.466     2.000
     1.000     0.000     0.000     0.000     0.000     0.000     3.000    57.160     2.000     2.000     2.000     2.000     1.000     0.000     0.173     0.000     0.827     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    80.050     3.000     3.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    65.490     1.000     1.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     4.000    76.470     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    73.890     2.000     3.000     3.000     2.000     1.000     0.982     0.008     0.010     0.000     1.000
     1.000     0.000     0.000     1.000     1.000     1.000     3.000    68.460     1.000     2.000     1.000     1.000     0.000     0.015     0.032     0.953     0.000     3.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    80.300     3.000     3.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    69.440     1.000     2.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    50.540     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     0.000     1.000     0.000     0.000     1.000     2.000    52.660     1.000     2.000     2.000     1.000     0.000     0.002     0.880     0.000     0.117     2.000
     1.000     0.000     0.000     0.000     0.000     1.000     3.000         *     1.000     2.000     1.000     1.000     0.000     0.000     0.173     0.000     0.827     4.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    62.560     2.000     2.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     4.000    62.430     2.000     3.000     2.000     1.000     0.000     0.000     0.173     0.000     0.827     4.000
     0.000     0.000     1.000     0.000     0.000     1.000     4.000         *     3.000     3.000     2.000     1.000     0.000     0.000     0.534     0.000     0.466     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     3.000    67.270     3.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     0.000     0.000     0.000     0.000     1.000     2.000    51.810     1.000     1.000     1.000     1.000     0.000     0.000     0.173     0.000     0.827     4.000
     1.000     1.000     1.000     0.000     0.000     1.000     2.000    68.500     2.000     2.000     2.000     2.000     0.000     0.037     0.961     0.000     0.002     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     3.000    65.330     2.000     2.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     1.000     1.000     1.000     1.000     0.000     5.000    58.090     2.000     2.000     2.000     2.000     0.000     0.918     0.045     0.037     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     1.000    68.580     2.000     3.000     3.000     3.000     0.000     0.000     0.031     0.000     0.969     4.000
     0.000     1.000     1.000     0.000     0.000     1.000     2.000    73.240     2.000     2.000     2.000     2.000     0.000     0.006     0.979     0.000     0.015     2.000
     0.000     0.000     0.000     0.000     0.000     0.000         *    48.830     2.000     2.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000    50.900     2.000     2.000     2.000     2.000     1.000     0.037     0.961     0.000     0.002     2.000
     0.000     0.000     0.000     1.000     0.000     0.000     2.000    52.230     1.000     1.000     1.000     1.000     0.000     0.000     0.175     0.000     0.825     4.000
     1.000     0.000     1.000     0.000     0.000     1.000     2.000    64.190     2.000     3.000     2.000     1.000     0.000     0.002     0.880     0.000     0.117     2.000
     0.000     1.000     1.000     0.000     1.000     1.000     1.000    40.850     2.000     2.000     2.000     1.000     1.000     0.419     0.494     0.087     0.000     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     2.000    71.230     3.000     1.000     2.000     1.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     1.000     0.000     0.000     1.000     4.000    54.650     2.000     2.000     2.000     2.000     0.000     0.000     0.534     0.000     0.466     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    58.360     1.000     1.000     1.000     1.000     1.000     0.000     0.031     0.000     0.969     4.000
     0.000     1.000     1.000     0.000     1.000     0.000     2.000         *     1.000     2.000     1.000     1.000     1.000     0.419     0.494     0.087     0.000     2.000
     1.000     0.000     1.000     0.000     0.000     0.000     3.000    71.340     3.000     3.000     3.000     2.000     0.000     0.002     0.880     0.000     0.117     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    83.650     3.000     3.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000    71.190     1.000     1.000     2.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     1.000     1.000     1.000     2.000    80.970     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     2.000         *     1.000     1.000     3.000     2.000         *     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     1.000     1.000     1.000     0.000     2.000    61.440     3.000     3.000     3.000     3.000     0.000     0.670     0.074     0.256     0.000     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     2.000    53.680     2.000     1.000     3.000     2.000     0.000     0.037     0.961     0.000     0.002     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     4.000    79.760     2.000     2.000     2.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     1.000     1.000     1.000     1.000     0.000     0.000     1.000    38.750     2.000     2.000     3.000     3.000     0.000     0.478     0.522     0.000     0.000     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    64.230     3.000     2.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     1.000    51.360     3.000     3.000     3.000     3.000     1.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     0.000     0.000     0.000     0.000     3.000    74.120     1.000     1.000     1.000     1.000     0.000     0.000     0.173     0.000     0.827     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     2.000    67.680     2.000     3.000     3.000     2.000     0.000     0.982     0.008     0.010     0.000     1.000
     0.000     1.000     0.000     0.000     1.000     1.000     2.000         *     2.000     2.000     3.000     1.000     0.000     0.017     0.389     0.594     0.000     3.000
     1.000     0.000     1.000     0.000     0.000     1.000     1.000    63.610     1.000     2.000     1.000     1.000     0.000     0.002     0.880     0.000     0.117     2.000
     1.000     0.000     1.000     0.000     1.000     1.000     2.000    64.840     2.000     2.000     2.000     2.000     0.000     0.178     0.476     0.347     0.000     2.000
     1.000     0.000     0.000     1.000     0.000     0.000     2.000    57.600     2.000     2.000     2.000     3.000     0.000     0.002     0.580     0.000     0.418     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000    48.270     2.000     2.000     2.000     2.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     1.000     1.000     0.000     0.000     1.000     2.000    66.600     2.000     3.000     2.000     2.000     0.000     0.037     0.961     0.000     0.002     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     2.000    74.980     1.000     1.000     1.000     1.000     0.000     0.000     0.031     0.000     0.969     4.000
     1.000     0.000     0.000     1.000     1.000     0.000     2.000    79.780     3.000     3.000     2.000     2.000     0.000     0.015     0.032     0.953     0.000     3.000
     1.000     0.000     0.000     0.000     0.000     0.000     2.000    65.230     2.000     1.000     2.000     1.000     0.000     0.000     0.173     0.000     0.827     4.000
