1054	2	129	1	3	2	.	1	0	1	0	0	1	1	2	2	2	2	1	2	2	2	2	1	0
1055	1	239	2	2	2	.	0	0	0	0	0	2	3	1	3	2	3	3	1	3	3	.	0	1
1056	1	238	2	1	2	.	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	.	0	1
1057	2	142	1	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1058	1	239	2	3	4	75.69	0	0	0	0	0	3	3	2	3	2	2	3	2	2	3	.	0	0
1059	1	204	2	3	2	63.18	0	0	1	0	0	2	2	2	2	2	3	2	2	1	2	.	0	0
1060	2	108	1	1	2	.	.	.	.	.	.	3	3	3	3	3	3	3	3	3	3	3	1	1
1061	1	307	2	3	2	53.59	.	.	.	.	.	2	2	2	2	2	2	2	1	3	2	.	0	0
1062	1	206	1	3	2	.	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	.	1	0
1063	2	127	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1064	2	308	1	1	2	33.07	1	1	0	0	0	1	1	3	3	2	3	.	.	.	.	.	1	1
1065	2	116	1	3	2	71.67	1	0	1	1	1	2	2	1	2	1	2	2	3	2	2	3	1	0
1066	2	146	1	3	2	49.7	0	0	0	1	1	2	3	3	2	1	2	3	2	1	1	2	1	0
1067	2	135	1	3	2	55.55	0	0	1	0	0	1	1	1	1	2	2	2	2	1	1	1	1	0
1068	1	227	2	1	3	58.48	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1069	1	211	2	1	3	57.16	1	0	0	0	0	2	2	1	2	2	2	2	2	2	2	.	0	1
1070	1	240	2	3	2	80.05	1	1	1	1	1	2	3	2	3	2	2	3	2	2	2	.	0	0
1071	2	104	1	3	2	65.49	0	0	0	0	0	2	1	1	1	3	2	1	2	2	1	1	1	0
1072	2	115	2	3	4	76.47	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	0	0
1073	2	126	2	1	2	73.89	1	1	1	1	1	3	2	2	3	3	2	3	2	3	2	3	0	1
1074	1	228	1	3	3	68.46	1	0	0	1	1	1	1	1	2	1	1	1	2	1	1	.	1	0
1075	1	309	2	3	2	80.3	1	1	1	1	1	2	3	2	3	2	2	3	2	3	2	.	0	0
1076	2	115	2	3	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1077	1	206	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1078	1	216	1	3	2	69.44	0	0	0	0	0	2	1	2	2	3	1	2	2	1	2	.	1	0
1079	2	141	1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1080	2	147	2	3	2	50.54	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0
1081	1	307	1	3	2	52.66	1	0	1	0	0	2	1	3	2	3	2	2	3	3	1	.	1	0
1082	2	140	1	3	2	61.06	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1083	1	307	1	3	1	62.09	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1084	1	220	1	3	2	67.89	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1085	1	228	1	3	3	.	1	0	0	0	0	1	1	2	2	1	1	1	2	2	1	.	1	0
1086	2	110	1	1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1087	2	301	1	3	2	62.56	0	0	0	0	0	2	2	3	2	2	2	2	3	2	2	3	1	0
1088	1	303	2	3	4	62.43	1	0	0	0	0	1	2	3	3	2	2	2	1	1	1	.	0	0
1089	2	130	1	3	4	.	0	0	1	0	0	2	3	2	3	2	2	2	3	2	1	2	1	0
1090	1	208	2	3	3	67.27	1	1	1	1	1	2	3	1	2	2	2	2	2	2	2	.	0	0
1091	2	111	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1092	2	309	2	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1093	1	206	1	4	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1094	2	147	1	3	2	37.9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1095	2	104	2	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1096	1	210	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1097	2	141	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1098	1	229	1	3	2	51.81	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	.	1	0
1099	1	242	1	3	2	68.5	1	1	1	0	0	2	2	1	2	2	2	2	3	2	2	.	1	0
1100	1	205	2	3	3	65.33	1	1	1	1	1	1	2	1	2	1	1	3	2	3	2	.	0	0
