0	0	0	0	0	0	0	0	64	0	0	1	0	3
0	1	1	1	1	0	1	0	56	0.223	0	0.088	0.689	4
1	1	1	1	1	1	1	0	95	0.935	0	0	0.064	1
0	1	0	1	1	1	0	1	96	0.003	0	0.086	0.912	4
1	1	1	1	1	1	1	0	92	0.935	0	0	0.064	1
1	1	1	1	1	1	1	0	83	0.935	0	0	0.064	1
1	1	1	1	1	1	1	1	95	0.935	0	0	0.064	1
0	1	1	1	1	1	1	1	80	0.644	0	0.001	0.355	1
1	1	1	1	1	1	1	1	86	0.935	0	0	0.064	1
1	1	0	0	1	0	1	0	41	0	0	0.288	0.712	4
1	1	1	1	1	1	1	1	64	0.935	0	0	0.064	1
0	0	0	1	0	0	0	0	1	0	0	1	0	3
1	1	1	1	1	1	1	0	87	0.935	0	0	0.064	1
0	1	1	1	1	0	1	1	36	0.223	0	0.088	0.689	4
0	0	0	0	0	1	0	1	15	0	0.166	0.834	0	3
0	1	0	0	0	0	0	0	0	0	0	1	0	3
0	0	1	1	1	1	0	0	73	0.002	0	0.19	0.807	4
1	0	0	1	1	1	1	1	66	0.016	0	0.006	0.978	4
0	1	0	0	0	1	0	0	47	0	0.523	0.477	0	2
0	1	0	1	1	1	1	0	69	0.055	0	0.003	0.942	4
0	0	0	0	0	0	1	1	70	0	0	1	0	3
0	1	1	0	1	0	1	0	26	0	0	0.344	0.656	4
0	1	0	1	1	1	1	0	32	0.055	0	0.003	0.942	4
0	1	0	0	1	1	1	0	55	0	0	0.013	0.987	4
0	0	0	1	1	1	1	0	23	0.002	0	0.013	0.985	4
1	0	0	1	0	0	0	1	25	0	0	1	0	3
0	1	1	0	1	1	1	1	1	0	0	0.008	0.992	4
1	1	1	1	1	1	1	1	70	0.935	0	0	0.064	1
0	0	1	1	0	1	1	0	61	0.003	0.891	0.106	0	2
0	1	1	0	0	0	0	0	55	0	0	1	0	3
1	1	1	1	1	1	1	0	92	0.935	0	0	0.064	1
0	0	0	1	0	0	0	0	12	0	0	1	0	3
0	0	0	0	0	1	0	0	30	0	0.166	0.834	0	3
