1001	2	.	.	.	.	.	.	.	.	.	.
1002	2	.	.	.	.	.	.	.	.	.	.
1003	1	.	.	.	.	.	.	.	.	.	.
1004	1	.	.	.	.	.	.	.	.	.	.
1005	1	.	.	.	.	.	.	.	.	.	.
1006	2	.	.	.	.	.	.	.	.	.	.
1007	2	1	1	1	1	1	1	1	1	1	1
1008	1	1	1	0	1	1	0	0	0	0	0
1009	2	1	1	1	1	1	0	0	0	0	0
1010	1	0	1	0	0	0	0	0	0	0	0
1011	2	1	1	1	1	1	1	1	1	1	1
1012	1	0	0	0	1	1	0	0	0	0	0
1013	1	1	1	1	1	1	1	1	1	1	1
1014	2	1	1	1	1	1	1	1	1	1	1
1015	1	.	.	.	.	.	.	.	.	.	.
1016	1	1	1	1	1	0	1	1	1	1	1
1017	2	.	.	.	.	.	.	.	.	.	.
1018	1	0	0	0	0	0	0	0	0	0	0
1019	2	1	1	1	1	1	1	1	1	1	1
1020	2	1	1	1	1	1	1	1	1	0	1
1021	2	1	1	1	0	0	0	0	0	0	1
1022	2	.	.	.	.	.	.	.	.	.	.
1023	2	.	.	.	.	.	.	.	.	.	.
1024	2	.	.	.	.	.	.	.	.	.	.
1025	2	0	0	1	0	0	1	1	1	0	0
1026	2	1	1	1	0	1	1	1	1	0	1
1027	1	1	1	1	0	1	0	0	0	0	0
1028	1	0	0	0	1	1	1	0	1	0	0
1029	1	0	1	0	1	1	1	0	0	0	0
1030	2	.	.	.	.	.	.	.	.	.	.
1031	2	.	.	.	.	.	.	.	.	.	.
1032	1	.	.	.	.	.	.	.	.	.	.
1033	2	0	1	1	1	1	1	1	1	1	1
1034	1	.	.	.	.	.	.	.	.	.	.
1035	1	.	.	.	.	.	.	.	.	.	.
1036	1	1	1	0	0	0	0	0	0	0	0
1037	1	0	0	1	1	1	1	0	1	1	1
1038	2	1	1	1	1	1	1	0	1	1	1
1039	1	.	.	.	.	.	.	.	.	.	.
1040	2	0	0	0	0	0	0	0	0	0	0
1041	2	.	.	.	.	.	.	.	.	.	.
1042	1	1	1	1	1	1	1	0	1	0	1
1043	2	0	0	1	0	0	0	0	0	1	0
1044	2	.	.	.	.	.	.	.	.	.	.
1045	2	0	1	1	1	1	1	1	1	1	1
1046	1	.	.	.	.	.	.	.	.	.	.
1047	1	.	.	.	.	.	.	.	.	.	.
1048	1	0	1	1	0	0	1	1	1	0	1
1049	1	0	0	1	1	0	0	0	1	0	1
1050	2	.	.	.	.	.	.	.	.	.	.
1051	1	.	.	.	.	.	.	.	.	.	.
1052	1	1	1	1	1	1	0	0	0	0	0
1053	1	.	.	.	.	.	.	.	.	.	.
1054	1	0	1	1	0	0	1	0	1	0	0
1055	2	1	0	0	0	0	0	0	0	0	0
1056	2	0	0	0	0	0	0	0	0	0	0
1057	1	.	.	.	.	.	.	.	.	.	.
1058	2	0	0	0	0	0	0	0	0	0	0
1059	2	0	1	1	1	1	0	0	1	0	0
1060	1	.	.	.	.	.	.	.	.	.	.
1061	2	.	.	.	.	.	.	.	.	.	.
1062	1	1	1	1	0	1	0	0	0	0	0
1063	2	.	.	.	.	.	.	.	.	.	.
1064	1	0	0	0	1	1	1	1	0	0	0
1065	1	1	0	0	1	.	1	0	1	1	1
1066	1	0	0	1	1	0	0	0	0	1	1
1067	1	0	0	1	1	1	0	0	1	0	0
1068	2	.	.	.	.	.	.	.	.	.	.
1069	2	0	1	1	1	1	1	0	0	0	0
1070	2	0	1	1	1	1	1	1	1	1	1
1071	1	1	1	1	0	1	0	0	0	0	0
1072	2	0	1	1	1	1	1	1	1	1	1
1073	2	0	1	1	1	1	1	1	1	1	1
1074	1	0	1	1	0	0	1	0	0	1	1
1075	2	1	1	1	1	1	1	1	1	1	1
1076	2	.	.	.	.	.	.	.	.	.	.
1077	1	.	.	.	.	.	.	.	.	.	.
1078	1	0	1	0	1	0	0	0	0	0	0
1079	1	.	.	.	.	.	.	.	.	.	.
1080	2	1	1	1	1	1	1	1	1	1	1
1081	1	1	1	1	1	1	1	0	1	0	0
1082	1	.	.	.	.	.	.	.	.	.	.
1083	1	.	.	.	.	.	.	.	.	.	.
1084	1	.	.	.	.	.	.	.	.	.	.
1085	1	0	0	0	1	0	1	0	0	0	0
1086	1	.	.	.	.	.	.	.	.	.	.
1087	1	0	1	1	1	1	0	0	0	0	0
1088	2	1	1	1	1	1	1	0	0	0	0
